created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1653842527000.0,2022-05-29 23:42:07,215839128,hendra_roestoe,HendraRoestoeMulyana,saya lebih percaya kpd dr  siti fadilah supari  karena beliau juga yg membuka topeng virus flu burung dl untuk di jadikan lahan bisnis vaksin,https://twitter.com/hendra_roestoe/status/1530952637507506177,"[('percaya', 'n'), ('kpd', 'n'), ('dr', 'n'), ('siti', 'n'), ('fadilah', 'n'), ('supari', 'n'), ('beliau', 'n'), ('yg', 'n'), ('membuka', 'n'), ('topeng', 'n'), ('virus', 'n'), ('flu', 'n'), ('burung', 'n'), ('dl', 'n'), ('jadikan', 'n'), ('lahan', 'n'), ('bisnis', 'n'), ('vaksin', 'n')]",HOAKS
1653725462000.0,2022-05-28 15:11:02,1362243328276762626,wahiidin,wahiidin, smoga sj bukan jd bisnis  ada yg bilang klo bisnisnya senjata spy laku harus ada perang  takutnya jd gitu jg  ada bisnis vaksin tentunya harus ada penyakit  bisa disebut senjata biologis gak itu ya   entahlah ,https://twitter.com/wahiidin/status/1530461634774577152,"[('smoga', 'n'), ('sj', 'n'), ('jd', 'n'), ('bisnis', 'n'), ('yg', 'n'), ('bilang', 'n'), ('klo', 'v'), ('bisnisnya', None), ('senjata', 'n'), ('spy', 'v'), ('laku', None), ('perang', 'n'), ('takutnya', 'n'), ('jd', 'n'), ('gitu', 'n'), ('jg', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('penyakit', 'n'), ('senjata', 'v'), ('biologis', 'n'), ('gak', 'n'), ('ya', 'n')]",HOAKS
1653710726000.0,2022-05-28 11:05:26,1528282299091275777,UmJihan69,Um Jihan, logikanya  kenapa ke afrika  afrika daya belinya gak ada   gimana mau buat bisnis vaksin  salah  malah suruh diminta bantuan  ,https://twitter.com/UmJihan69/status/1530399823932731392,"[('logikanya', 'n'), ('afrika', None), ('afrika', None), ('daya', None), ('belinya', None), ('gak', None), ('gimana', None), ('bisnis', 'n'), ('vaksin', 'n'), ('salah', 'n'), ('suruh', 'n'), ('bantuan', 'n')]",HOAKS
1653672274000.0,2022-05-28 00:24:34,1426251818527444992,KaiAndromeda,Mandroid|Kai,wajar   komnas ini ada hanya utk menguatkan bisnis vaksin ini terus berjalan mulus  ketika ada gugatan dipengadilan  komnas ini pasti jdi saksi pelindung negara  coba aja statementnya begini   rata rata pasien meninggal setelah di vaksin  lbp   bubarkan komnas kipi  ,https://twitter.com/KaiAndromeda/status/1530238547902734336,"[('wajar', 'n'), ('komnas', 'n'), ('utk', None), ('menguatkan', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('berjalan', 'n'), ('mulus', None), ('gugatan', 'n'), ('dipengadilan', 'n'), ('komnas', None), ('jdi', 'n'), ('saksi', 'n'), ('pelindung', 'n'), ('negara', 'n'), ('coba', 'n'), ('aja', 'n'), ('statementnya', 'n'), ('pasien', 'n'), ('meninggal', None), ('vaksin', 'n'), ('lbp', 'n'), ('bubarkan', 'n'), ('komnas', 'n'), ('kipi', 'v')]",HOAKS
1653641907000.0,2022-05-27 15:58:27,1131257783486013440,MasN4jib,71B, bisnis vaksin ga diitung  ,https://twitter.com/MasN4jib/status/1530111177573175297,"[('bisnis', 'n'), ('vaksin', 'n'), ('ga', 'n'), ('diitung', 'n')]",HOAKS
1653622439000.0,2022-05-27 10:33:59,1530026270582419457,Orasi_Id,Orasi.Id, virus ohvirus  padahal kita bisa menolak dari awal  nyatanya kalau banyak kepentingan dalam bisnis vaksin,https://twitter.com/Orasi_Id/status/1530029521726222336,"[('virus', 'n'), ('ohvirus', 'n'), ('menolak', 'n'), ('kepentingan', 'v'), ('bisnis', 'n'), ('vaksin', 'n')]",HOAKS
1653612120000.0,2022-05-27 07:42:00,366549945,andri_anto7121,andrianto,itu penjanjian tipuan yg di gunakan utk penghubung  bisnis vaksin  perhutangan  amp  penarikan sumbangan berkedok kemanusiaan setelah mereka melakukan penyebarkan tipuan wabah ,https://twitter.com/andri_anto7121/status/1529986241403400192,"[('penjanjian', None), ('tipuan', 'n'), ('yg', 'n'), ('utk', None), ('penghubung', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('perhutangan', 'n'), ('amp', None), ('penarikan', 'n'), ('sumbangan', None), ('berkedok', 'n'), ('kemanusiaan', 'n'), ('penyebarkan', None), ('tipuan', 'n'), ('wabah', 'n')]",HOAKS
1653609350000.0,2022-05-27 06:55:50,1340273082926125057,ZPembayun,Zidnia Pembayun,  amp  bisnis vaksin pastinya,https://twitter.com/ZPembayun/status/1529974623143505921,"[('amp', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('pastinya', 'n')]",HOAKS
1653581791000.0,2022-05-26 23:16:31,1344682642961141760,AndiPitopang6,Andi Pitopang, bentar lagi bisnis vaksin cacar monyet ,https://twitter.com/AndiPitopang6/status/1529859031036092418,"[('bentar', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('cacar', 'n'), ('monyet', 'n')]",HOAKS
1580303008000.0,2020-01-29 20:03:28,895339916174925824,mhmmd_khaedir,Khaedir,masa ada yang percaya sih virus corona menyebar lewat hp xiaomi  yaelah  gobloknya stadium berapa itu   parah bett,https://twitter.com/mhmmd_khaedir/status/1222505541160714240,"[('percaya', 'n'), ('sih', 'n'), ('virus', 'n'), ('corona', 'n'), ('menyebar', 'n'), ('hp', 'n'), ('xiaomi', 'n'), ('yaelah', 'n'), ('gobloknya', 'n'), ('stadium', 'n'), ('parah', 'n'), ('bett', 'n')]",HOAKS
