created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1609428096000.0,2020-12-31 22:21:36,1104396980661346304,Hexazor121,Hexazor12🧲,     ketua komisi a dprd dki jakarta mujiyono meminta pemprov dki jakarta segera menarik rem darurat untuk memperketat pembatasan sosial berskala besar    alasannya sudah tepat   dikarenakan kondisi covid sekarang   saran saya bang  wna juga harus dipantau,https://twitter.com/Hexazor121/status/1344665015035445250,"[('ketua', 'n'), ('komisi', 'v'), ('a', None), ('dprd', 'n'), ('dki', 'n'), ('jakarta', 'n'), ('mujiyono', 'n'), ('pemprov', 'n'), ('dki', 'n'), ('jakarta', 'n'), ('menarik', 'n'), ('rem', 'n'), ('darurat', 'n'), ('memperketat', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('alasannya', 'n'), ('kondisi', 'n'), ('covid', 'n'), ('saran', 'v'), ('bang', 'n'), ('wna', 'n'), ('dipantau', 'n')]",1
1609333149000.0,2020-12-30 19:59:09,68930552,mediaindonesia,Media Indonesia,hal itu sesuai dengan keputusan kepala dinas pertamanan dan hutan kota provinsi dki jakarta nomor     tahun      tentang penggunaan kembali rth pada pembatasan sosial berskala besar  psbb     ,https://twitter.com/mediaindonesia/status/1344266774930341888,"[('sesuai', 'n'), ('keputusan', None), ('kepala', 'n'), ('dinas', 'n'), ('pertamanan', 'v'), ('hutan', 'n'), ('kota', 'n'), ('provinsi', 'n'), ('dki', 'n'), ('jakarta', 'n'), ('nomor', 'n'), ('penggunaan', 'n'), ('rth', None), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n')]",1
1609289372000.0,2020-12-30 07:49:32,2340155395,suaradotcom,suaradotcom,pemerintah kabupaten lebak memutuskan memperpanjang pembatasan sosial berskala besar  psbb    ,https://twitter.com/suaradotcom/status/1344083161555247106,"[('pemerintah', 'n'), ('kabupaten', 'v'), ('lebak', None), ('memutuskan', 'n'), ('memperpanjang', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n')]",1
1609276584000.0,2020-12-30 04:16:24,1258676516965068802,PolsekmatramanH,PolsekMatraman Humas,kegiatan tim pemburu covid    melaksanakan giat operasi bina karuna jaya dalam rangka  pencegahan penyebaran virus covid      corona  dalam masa pembatasan sosial berskala besar   psbb  di wilayah kec  matraman jak tim  ,https://twitter.com/PolsekmatramanH/status/1344029525240291328,"[('kegiatan', 'n'), ('tim', 'n'), ('pemburu', 'n'), ('covid', 'n'), ('melaksanakan', 'n'), ('giat', 'n'), ('operasi', None), ('bina', 'n'), ('karuna', 'n'), ('jaya', 'n'), ('rangka', 'n'), ('pencegahan', 'n'), ('penyebaran', 'v'), ('virus', 'n'), ('covid', 'n'), ('corona', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('wilayah', 'n'), ('kec', 'n'), ('matraman', 'n'), ('jak', 'n'), ('tim', 'n')]",1
1609251756000.0,2020-12-29 21:22:36,1088295819617267713,PrasetyoEdi_,Prasetyo Edi Marsudi,mulai dari penerapan physical distancing  melakukan berbagai kegiatan di rumah saja  bekerja  belajar dan beribadah dari rumah hingga pembatasan sosial berskala besar ,https://twitter.com/PrasetyoEdi_/status/1343925391593938944,"[('penerapan', 'v'), ('physical', None), ('distancing', 'n'), ('kegiatan', 'n'), ('rumah', 'n'), ('belajar', 'n'), ('beribadah', 'n'), ('rumah', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n')]",1
1609248242000.0,2020-12-29 20:24:02,456426648,merdekadotcom,Merdeka.com,langgar aturan psbb  kafe dan panti pijat di tangerang disegel  satu kafe dan griya pijat di kelapa dua  kabupaten tangerang disegel satuan polisi pamong praja  satpol pp   karena melanggar aturan pembatasan sosial berskala besar  psbb   bahkan griya   ,https://twitter.com/merdekadotcom/status/1343910649777123334,"[('langgar', 'n'), ('aturan', 'n'), ('psbb', 'n'), ('kafe', None), ('panti', 'n'), ('pijat', 'n'), ('tangerang', 'n'), ('disegel', 'n'), ('kafe', None), ('griya', 'n'), ('pijat', 'n'), ('kelapa', 'n'), ('kabupaten', 'v'), ('tangerang', None), ('disegel', 'n'), ('satuan', None), ('polisi', 'n'), ('pamong', None), ('praja', 'n'), ('satpol', 'n'), ('pp', 'n'), ('melanggar', 'n'), ('aturan', 'v'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('griya', 'n')]",1
1609215287000.0,2020-12-29 11:14:47,1169093578028486656,fraksinasdemjkt,Fraksi Nasdem DKI Jakarta,pembatasan sosial berskala besar  psbb  ketat belum perlu dilakukan meskipun penambahan kasus positif covid    terus melonjak    psbb psbbjakarta covid       ,https://twitter.com/fraksinasdemjkt/status/1343772426895691776,"[('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('ketat', 'n'), ('penambahan', 'n'), ('positif', 'n'), ('covid', 'n'), ('melonjak', 'n'), ('psbb', 'n'), ('psbbjakarta', 'n'), ('covid', 'n')]",1
1609212180000.0,2020-12-29 10:23:00,1258676516965068802,PolsekmatramanH,PolsekMatraman Humas,giat tim pemburu covid     dipimpin pa pengendali iptu warsito kanit sabhara polsek matraman   beserta anggota dan unsur   pilar melaksanakan pendisiplinan  protokol kesehatan kepada warga masyarakat dimasa pembatasan sosial berskala besar   psbb  di sentra ekonomi  ,https://twitter.com/PolsekmatramanH/status/1343759395394527234,"[('giat', 'n'), ('tim', 'n'), ('pemburu', 'n'), ('covid', 'n'), ('dipimpin', 'n'), ('pa', 'n'), ('pengendali', 'n'), ('iptu', 'n'), ('warsito', 'n'), ('kanit', 'n'), ('sabhara', 'n'), ('polsek', 'n'), ('matraman', 'n'), ('beserta', 'n'), ('anggota', None), ('unsur', None), ('pilar', None), ('melaksanakan', 'n'), ('pendisiplinan', 'n'), ('protokol', 'n'), ('kesehatan', 'v'), ('warga', 'n'), ('masyarakat', 'n'), ('dimasa', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('sentra', 'n'), ('ekonomi', 'n')]",1
1609212050000.0,2020-12-29 10:20:50,1258676516965068802,PolsekmatramanH,PolsekMatraman Humas,giat tim pemburu covid     dipimpin pa pengendali iptu warsito kanit sabhara polsek matraman beserta anggota dan unsur   pilar melaksanakan pendisiplinan protokol kesehatan kepada warga masyarakat di masa pembatasan sosial berskala besar   psbb    di sentra ekonomi  ,https://twitter.com/PolsekmatramanH/status/1343758851275812864,"[('giat', 'n'), ('tim', 'n'), ('pemburu', 'n'), ('covid', 'n'), ('dipimpin', 'n'), ('pa', 'n'), ('pengendali', 'n'), ('iptu', 'n'), ('warsito', 'n'), ('kanit', 'n'), ('sabhara', 'n'), ('polsek', 'n'), ('matraman', 'n'), ('beserta', 'n'), ('anggota', None), ('unsur', None), ('pilar', None), ('melaksanakan', 'n'), ('pendisiplinan', 'n'), ('protokol', 'n'), ('kesehatan', 'v'), ('warga', 'n'), ('masyarakat', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('sentra', 'n'), ('ekonomi', 'n')]",1
1609211982000.0,2020-12-29 10:19:42,1258676516965068802,PolsekmatramanH,PolsekMatraman Humas,giat tim pemburu covid    dipimpin  pa pengendali iptu warsito kanit sabhara polsek matraman   beserta anggota pengamanan dalam melaksanakan pendisiplinan protokol kesehatan kepada warga masyarakat dimasa pembatasan sosial berskala besar   psbb  di stasiun kereta api pondok jati  ,https://twitter.com/PolsekmatramanH/status/1343758567426334720,"[('giat', 'n'), ('tim', 'n'), ('pemburu', 'n'), ('covid', 'n'), ('dipimpin', 'n'), ('pa', 'n'), ('pengendali', 'n'), ('iptu', 'n'), ('warsito', 'n'), ('kanit', 'n'), ('sabhara', 'n'), ('polsek', 'n'), ('matraman', 'n'), ('beserta', 'n'), ('anggota', 'n'), ('pengamanan', 'n'), ('melaksanakan', 'n'), ('pendisiplinan', 'n'), ('protokol', 'n'), ('kesehatan', 'v'), ('warga', 'n'), ('masyarakat', 'n'), ('dimasa', 'n'), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('stasiun', 'n'), ('kereta', 'n'), ('api', 'n'), ('pondok', 'n'), ('jati', 'n')]",1
