created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1657986104000.0,2022-07-16 22:41:44,516165629,KAI121,Kereta Api Indonesia, jika penumpang sudah vaksin booster tidak wajib menunjukkan hasil negatif pcr antigen ya  informasi lengkap syarat dan ketentuan perjalanan dengan ka dapat dilakukan pengecekan via link   trims    ,https://twitter.com/KAI121/status/1548332059826929667,"[('penumpang', 'n'), ('vaksin', 'n'), ('booster', 'n'), ('wajib', 'n'), ('hasil', 'n'), ('negatif', 'n'), ('pcr', 'n'), ('antigen', 'n'), ('ya', 'n'), ('informasi', 'n'), ('lengkap', 'n'), ('syarat', 'n'), ('ketentuan', None), ('perjalanan', 'n'), ('ka', 'v'), ('pengecekan', 'n'), ('via', None), ('link', 'n'), ('trims', 'n')]",1
1657878531000.0,2022-07-15 16:48:51,47080055,farouk321,Firoun,lebih buruk lagi vaksin buat anak anak yang wajib dan sudah terbukti efektif  justru tidak dilakukan karena prioritas vaksin yang ini  membahayakan anak anak  terjadi di seluruh dunia    ,https://twitter.com/farouk321/status/1547880866306658305,"[('buruk', 'n'), ('vaksin', 'n'), ('anak', 'n'), ('anak', 'n'), ('wajib', 'n'), ('terbukti', 'n'), ('efektif', None), ('prioritas', 'n'), ('vaksin', 'v'), ('membahayakan', 'n'), ('anak', 'n'), ('anak', 'n'), ('dunia', 'n')]",1
1657522880000.0,2022-07-11 14:01:20,516165629,KAI121,Kereta Api Indonesia, selamat siang kak  baik  jika perjalanan dilakukan sebelum tanggal    juli       bagi penumpang yang sudah vaksin dosis kedua  maka tidak wajib menunjukkan hasil rapid test antigen pcr ya    ,https://twitter.com/KAI121/status/1546389157215637510,"[('selamat', 'n'), ('siang', 'n'), ('kak', 'v'), ('perjalanan', 'n'), ('tanggal', None), ('juli', 'n'), ('penumpang', 'n'), ('vaksin', 'n'), ('dosis', 'n'), ('wajib', 'n'), ('hasil', 'n'), ('rapid', None), ('test', 'n'), ('antigen', 'n'), ('pcr', 'n'), ('ya', 'n')]",1
1655216573000.0,2022-06-14 21:22:53,2254654273,contactap2,Contact Center AP II, bagi wna wajib dengan minimal vaksin dosis kedua dan membawa pula visa kitas kitap serta tidak diperlukan melampirkan bukti kepemilikan asuransi kesehatan serta tidak dilakukan karantina      terima kasih   boni,https://twitter.com/contactap2/status/1536715804217327619,"[('wna', 'n'), ('wajib', 'n'), ('minimal', None), ('vaksin', 'n'), ('dosis', 'n'), ('membawa', 'n'), ('visa', 'n'), ('kitas', 'n'), ('kitap', 'v'), ('melampirkan', 'n'), ('bukti', 'n'), ('kepemilikan', 'n'), ('asuransi', 'n'), ('kesehatan', 'n'), ('karantina', 'n'), ('terima', 'n'), ('kasih', 'n'), ('boni', 'n')]",1
1652697049000.0,2022-05-16 17:30:49,985527492,lisdewa,Dewa Susadia,     kalau kematian ditentukan oleh karrna tidak vaksinasi bukan karena ketentuan all h baru wajib dilakukan  saya masih bersandar hanya kpd all h bukan kpd vaksin ,https://twitter.com/lisdewa/status/1526148156576018433,"[('kematian', None), ('ditentukan', 'n'), ('karrna', None), ('vaksinasi', 'n'), ('ketentuan', 'v'), ('all', None), ('h', 'n'), ('wajib', 'n'), ('bersandar', 'n'), ('kpd', 'v'), ('all', None), ('h', 'n'), ('kpd', 'n'), ('vaksin', 'n')]",1
1652517674000.0,2022-05-14 15:41:14,24700727,mnurihsan,Muhammad Nur Ihsan ,   syarat wajib vaksin   vaksin ini yg sering ditanyakan  harus minimal   kali vaksin utama  booster tidak jadi syarat utama  selama check in saat mendarat di soetta menyatakan  hijau   bisa masuk fast lane dan langsung ke imigrasi  entah mengapa beredar booster harus dilakukan,https://twitter.com/mnurihsan/status/1525395800938795009,"[('syarat', 'n'), ('wajib', None), ('vaksin', 'n'), ('vaksin', 'n'), ('yg', 'n'), ('minimal', None), ('kali', 'n'), ('vaksin', 'n'), ('utama', None), ('booster', 'n'), ('syarat', 'n'), ('utama', None), ('check', 'n'), ('in', None), ('mendarat', 'n'), ('soetta', 'n'), ('hijau', 'n'), ('masuk', 'n'), ('fast', 'r'), ('lane', None), ('langsung', 'n'), ('imigrasi', None), ('beredar', 'n'), ('booster', 'n')]",1
1651563003000.0,2022-05-03 14:30:03,1355045236104302595,presidendungu,Presidendungu,vaksinasi sifatnya sukarela kata jendral andika tapi mengapa maksa yg mau dapat kjp saja wajib vaksin gak peduli ada komorbid atau tidak dan di seluruh indonesia dilakukan mandatori ,https://twitter.com/presidendungu/status/1521391620796534784,"[('vaksinasi', 'n'), ('sifatnya', 'n'), ('sukarela', 'n'), ('jendral', None), ('andika', None), ('maksa', 'n'), ('yg', 'n'), ('kjp', 'n'), ('wajib', 'n'), ('vaksin', 'n'), ('gak', 'n'), ('peduli', None), ('komorbid', 'n'), ('indonesia', 'n'), ('mandatori', 'n')]",1
1650958804000.0,2022-04-26 14:40:04,2916147380,Fraksi_Gerindra,Fraksi Gerindra DPR RI, boleh menggunakan vaksin tidak halal itu dalam kondisi darurat  jika tidak ada yang halal  sedangkan vaksinasi harus segera dilakukan  namun jika kondisi tidak darurat  kehalalan ini penting  karenanya pemerintah wajib menjamin ketersediaan vaksin halal   ujar putih sari ,https://twitter.com/Fraksi_Gerindra/status/1518857427676176385,"[('vaksin', 'n'), ('halal', 'n'), ('kondisi', 'n'), ('darurat', 'n'), ('halal', 'n'), ('vaksinasi', 'n'), ('kondisi', 'n'), ('darurat', 'n'), ('kehalalan', 'n'), ('pemerintah', 'n'), ('wajib', 'n'), ('menjamin', 'n'), ('ketersediaan', 'n'), ('vaksin', 'n'), ('halal', 'n'), ('putih', 'n'), ('sari', 'n')]",1
1650378816000.0,2022-04-19 21:33:36,2254654273,contactap2,Contact Center AP II, wajib membawa hasil pcr negatif dari negara keberangkatan dgn masa berlaku  x   jam  vaksinasi lengkap  mengunduh peduli lindungi  untuk yg sudah vaksin kedua atau ketiga tidak dilakukan karantina    ,https://twitter.com/contactap2/status/1516424781599768576,"[('wajib', 'n'), ('membawa', 'n'), ('hasil', 'n'), ('pcr', 'n'), ('negatif', None), ('negara', 'n'), ('keberangkatan', 'n'), ('dgn', 'n'), ('berlaku', 'n'), ('x', 'n'), ('jam', 'n'), ('vaksinasi', 'n'), ('lengkap', 'n'), ('mengunduh', 'n'), ('peduli', 'n'), ('lindungi', 'n'), ('yg', 'n'), ('vaksin', 'n'), ('ketiga', 'n'), ('karantina', 'n')]",1
1649649437000.0,2022-04-11 10:57:17,341987176,CommuterLine,KAI Commuter, selamat siang  perihal tersebut tidak perlu dilakukan  saat ini pengguna wajib menunjukkan sertifikat vaksin  minimal dosis pertama  dengan cara scan qr code melalui aplikasi pedulilindungi atau dapat menunjukkan sertifikat vaksin dalam bentuk hasil cetak digital  terima kasih ,https://twitter.com/CommuterLine/status/1513365543386255361,"[('selamat', 'n'), ('siang', 'n'), ('perihal', 'n'), ('pengguna', 'n'), ('wajib', 'n'), ('sertifikat', 'n'), ('vaksin', 'n'), ('minimal', None), ('dosis', 'n'), ('scan', None), ('qr', 'n'), ('code', 'n'), ('aplikasi', 'n'), ('pedulilindungi', 'n'), ('sertifikat', 'n'), ('vaksin', 'n'), ('bentuk', 'n'), ('hasil', 'n'), ('cetak', 'n'), ('digital', None), ('terima', 'n'), ('kasih', 'n')]",1
