created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1.65E+12,5/29/2022 23:42,215839128,hendra_roestoe,HendraRoestoeMulyana,saya lebih percaya kpd dr  siti fadilah supari  karena beliau juga yg membuka topeng virus flu burung dl untuk di jadikan lahan bisnis vaksin,https://twitter.com/hendra_roestoe/status/1530952637507506177,"[('percaya', 'n'), ('kpd', 'n'), ('dr', 'n'), ('siti', 'n'), ('fadilah', 'n'), ('supari', 'n'), ('beliau', 'n'), ('yg', 'n'), ('membuka', 'n'), ('topeng', 'n'), ('virus', 'n'), ('flu', 'n'), ('burung', 'n'), ('dl', 'n'), ('jadikan', 'n'), ('lahan', 'n'), ('bisnis', 'n'), ('vaksin', 'n')]",HOAKS
1.65E+12,5/28/2022 15:11,1.36E+18,wahiidin,wahiidin, smoga sj bukan jd bisnis  ada yg bilang klo bisnisnya senjata spy laku harus ada perang  takutnya jd gitu jg  ada bisnis vaksin tentunya harus ada penyakit  bisa disebut senjata biologis gak itu ya   entahlah ,https://twitter.com/wahiidin/status/1530461634774577152,"[('smoga', 'n'), ('sj', 'n'), ('jd', 'n'), ('bisnis', 'n'), ('yg', 'n'), ('bilang', 'n'), ('klo', 'v'), ('bisnisnya', None), ('senjata', 'n'), ('spy', 'v'), ('laku', None), ('perang', 'n'), ('takutnya', 'n'), ('jd', 'n'), ('gitu', 'n'), ('jg', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('penyakit', 'n'), ('senjata', 'v'), ('biologis', 'n'), ('gak', 'n'), ('ya', 'n')]",HOAKS
1.65E+12,5/28/2022 11:05,1.53E+18,UmJihan69,Um Jihan, logikanya  kenapa ke afrika  afrika daya belinya gak ada   gimana mau buat bisnis vaksin  salah  malah suruh diminta bantuan  ,https://twitter.com/UmJihan69/status/1530399823932731392,"[('logikanya', 'n'), ('afrika', None), ('afrika', None), ('daya', None), ('belinya', None), ('gak', None), ('gimana', None), ('bisnis', 'n'), ('vaksin', 'n'), ('salah', 'n'), ('suruh', 'n'), ('bantuan', 'n')]",HOAKS
1.65E+12,5/28/2022 0:24,1.43E+18,KaiAndromeda,Mandroid|Kai,wajar   komnas ini ada hanya utk menguatkan bisnis vaksin ini terus berjalan mulus  ketika ada gugatan dipengadilan  komnas ini pasti jdi saksi pelindung negara  coba aja statementnya begini   rata rata pasien meninggal setelah di vaksin  lbp   bubarkan komnas kipi  ,https://twitter.com/KaiAndromeda/status/1530238547902734336,"[('wajar', 'n'), ('komnas', 'n'), ('utk', None), ('menguatkan', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('berjalan', 'n'), ('mulus', None), ('gugatan', 'n'), ('dipengadilan', 'n'), ('komnas', None), ('jdi', 'n'), ('saksi', 'n'), ('pelindung', 'n'), ('negara', 'n'), ('coba', 'n'), ('aja', 'n'), ('statementnya', 'n'), ('pasien', 'n'), ('meninggal', None), ('vaksin', 'n'), ('lbp', 'n'), ('bubarkan', 'n'), ('komnas', 'n'), ('kipi', 'v')]",HOAKS
1.65E+12,5/27/2022 15:58,1.13E+18,MasN4jib,71B, bisnis vaksin ga diitung  ,https://twitter.com/MasN4jib/status/1530111177573175297,"[('bisnis', 'n'), ('vaksin', 'n'), ('ga', 'n'), ('diitung', 'n')]",HOAKS
1.65E+12,5/27/2022 10:33,1.53E+18,Orasi_Id,Orasi.Id, virus ohvirus  padahal kita bisa menolak dari awal  nyatanya kalau banyak kepentingan dalam bisnis vaksin,https://twitter.com/Orasi_Id/status/1530029521726222336,"[('virus', 'n'), ('ohvirus', 'n'), ('menolak', 'n'), ('kepentingan', 'v'), ('bisnis', 'n'), ('vaksin', 'n')]",HOAKS
1.65E+12,5/27/2022 7:42,366549945,andri_anto7121,andrianto,itu penjanjian tipuan yg di gunakan utk penghubung  bisnis vaksin  perhutangan  amp  penarikan sumbangan berkedok kemanusiaan setelah mereka melakukan penyebarkan tipuan wabah ,https://twitter.com/andri_anto7121/status/1529986241403400192,"[('penjanjian', None), ('tipuan', 'n'), ('yg', 'n'), ('utk', None), ('penghubung', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('perhutangan', 'n'), ('amp', None), ('penarikan', 'n'), ('sumbangan', None), ('berkedok', 'n'), ('kemanusiaan', 'n'), ('penyebarkan', None), ('tipuan', 'n'), ('wabah', 'n')]",HOAKS
1.65E+12,5/27/2022 6:55,1.34E+18,ZPembayun,Zidnia Pembayun,  amp  bisnis vaksin pastinya,https://twitter.com/ZPembayun/status/1529974623143505921,"[('amp', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('pastinya', 'n')]",HOAKS
1.65E+12,5/26/2022 23:16,1.34E+18,AndiPitopang6,Andi Pitopang, bentar lagi bisnis vaksin cacar monyet ,https://twitter.com/AndiPitopang6/status/1529859031036092418,"[('bentar', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('cacar', 'n'), ('monyet', 'n')]",HOAKS
1.58E+12,1/29/2020 20:03,8.95E+17,mhmmd_khaedir,Khaedir,masa ada yang percaya sih virus corona menyebar lewat hp xiaomi  yaelah  gobloknya stadium berapa itu   parah bett,https://twitter.com/mhmmd_khaedir/status/1222505541160714240,"[('percaya', 'n'), ('sih', 'n'), ('virus', 'n'), ('corona', 'n'), ('menyebar', 'n'), ('hp', 'n'), ('xiaomi', 'n'), ('yaelah', 'n'), ('gobloknya', 'n'), ('stadium', 'n'), ('parah', 'n'), ('bett', 'n')]",HOAKS
1.59E+12,3/31/2020 6:59,155787551,FirstMediaCares,First Media, selamat pagi first people  kami akan mnjdwlkn kdtngn teknisi yg sdh dilengkapi masker dan sarung tangan serta peralatannya sdh disterilkan dgn desinfectan  mhn konfirmasi kmbli  tks  mrs,https://twitter.com/FirstMediaCares/status/1244776337312641024,"[('selamat', 'n'), ('pagi', 'n'), ('first', 'r'), ('people', 'n'), ('mnjdwlkn', 'n'), ('kdtngn', 'n'), ('teknisi', 'n'), ('yg', 'n'), ('sdh', 'n'), ('dilengkapi', 'n'), ('masker', 'n'), ('sarung', 'n'), ('tangan', 'v'), ('peralatannya', 'n'), ('sdh', 'n'), ('disterilkan', 'n'), ('dgn', 'n'), ('desinfectan', 'n'), ('mhn', 'n'), ('konfirmasi', 'n'), ('kmbli', 'n'), ('tks', 'n'), ('mrs', 'n')]",HOAKS
1.59E+12,3/31/2020 6:59,290812446,nunayauna,taehyuna∞,sekarang ga perlu pake baju yang ada namanya  mereka full ketutup bahkan pake masker dan kacamata aja orang masih bisa ngenalin,https://twitter.com/nunayauna/status/1244776241762144256,"[('ga', 'n'), ('pake', 'v'), ('baju', 'n'), ('namanya', 'n'), ('full', None), ('ketutup', 'n'), ('pake', 'v'), ('masker', 'n'), ('kacamata', 'n'), ('aja', 'n'), ('orang', 'n'), ('ngenalin', 'n')]",HOAKS
1.59E+12,3/31/2020 6:59,67831804,lokalyee,🦊,kalau temen gua yang jual masker  handsanitizer dengan harga mahal ceramah soal agama depan gua   gua bakal ngomong kontlo depan mukanya langsung ,https://twitter.com/lokalyee/status/1244776174984675328,"[('temen', 'n'), ('gua', 'v'), ('jual', None), ('masker', 'n'), ('handsanitizer', 'n'), ('harga', 'n'), ('mahal', 'n'), ('ceramah', 'n'), ('agama', 'n'), ('gua', 'n'), ('gua', 'n'), ('ngomong', None), ('kontlo', 'n'), ('mukanya', 'n'), ('langsung', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,1.22E+18,Yurika01326264,ヨヨン, berita  cara ini membuat masker kita bisa dipakai ulang  tonton      ,https://twitter.com/Yurika01326264/status/1244776064544419840,"[('berita', 'n'), ('masker', 'n'), ('dipakai', 'n'), ('ulang', None), ('tonton', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,1.07E+18,Evikusuma14,Evikusuma🌻🇮🇩🇮🇩, hallo dok  apakah pemerintah sdh ada program utk meningkatkan jumlah ventilator yg tersedia di seluruh indonesia   mgkn itu bs menekan angka kematian  dan mengapa tidak ada program menyediakan masker utk masyarakat  krn banyak yg tdk mampu membelinya ,https://twitter.com/Evikusuma14/status/1244776043484872705,"[('hallo', 'n'), ('dok', 'n'), ('pemerintah', 'n'), ('sdh', None), ('program', 'n'), ('utk', None), ('meningkatkan', 'n'), ('ventilator', 'n'), ('yg', 'n'), ('tersedia', 'n'), ('indonesia', 'n'), ('mgkn', 'n'), ('bs', 'n'), ('menekan', 'n'), ('angka', 'n'), ('kematian', None), ('program', 'n'), ('menyediakan', 'n'), ('masker', 'n'), ('utk', None), ('masyarakat', 'n'), ('krn', 'n'), ('yg', 'n'), ('tdk', 'n'), ('membelinya', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,2534841067,Visit_Ngawi,#HUTNgawi664,sinar mas bikin pabrik masker  mulai produksi april  ,https://twitter.com/Visit_Ngawi/status/1244776036182581248,"[('sinar', 'n'), ('mas', 'n'), ('bikin', 'n'), ('pabrik', 'n'), ('masker', 'n'), ('produksi', 'n'), ('april', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,58413243,doudyTATIPANG,IG - doudytatipang,keluar rumah tetap pake masker guys,https://twitter.com/doudyTATIPANG/status/1244776026330169346,"[('rumah', 'n'), ('pake', 'v'), ('masker', 'n'), ('guys', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,1342589341,DodotCikidutsz,wwwDODOTcom, inget inspirasi materi masker limbad tuh dari aku  d cp,https://twitter.com/DodotCikidutsz/status/1244776009691312129,"[('inget', 'n'), ('inspirasi', 'n'), ('materi', 'n'), ('masker', 'n'), ('limbad', 'v'), ('tuh', None), ('d', 'n'), ('cp', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,1.24E+18,cookiemariju,Cookiemariju, kenapa g sekalian masker keju mozarelanya kaka,https://twitter.com/cookiemariju/status/1244775994914787329,"[('g', 'n'), ('masker', 'n'), ('keju', 'n'), ('mozarelanya', 'n'), ('kaka', 'n')]",HOAKS
1.59E+12,3/31/2020 6:58,68361826,andi_aswin,Andi Aswin,tips membuat keributan di whatsapp grup jika ada yang menjual masker hand sanitizer  cukup jawab dengan  kok dijual sih  mustinya tuh dibagiin dengan kondisi sekarang,https://twitter.com/andi_aswin/status/1244775943677206528,"[('tips', 'n'), ('keributan', None), ('whatsapp', 'n'), ('grup', 'n'), ('menjual', None), ('masker', 'n'), ('hand', 'n'), ('sanitizer', 'n'), ('dijual', None), ('sih', 'n'), ('mustinya', 'n'), ('tuh', 'n'), ('dibagiin', 'n'), ('kondisi', 'n')]",HOAKS
1.59E+12,3/31/2020 6:57,38767178,Ai_Sherry,Ai,ini toko drugs an ke   yang sudah memasang tanda nggak jual masker sebelum toko dibuka  sementara persediaan masker di rumah tinggal sebiji  dan nggak mungkin nyolong lab lagi ,https://twitter.com/Ai_Sherry/status/1244775867177304064,"[('toko', 'n'), ('drugs', 'n'), ('an', None), ('memasang', 'n'), ('tanda', 'n'), ('nggak', None), ('jual', None), ('masker', 'n'), ('toko', 'n'), ('dibuka', 'n'), ('persediaan', 'n'), ('masker', 'n'), ('rumah', None), ('tinggal', None), ('sebiji', 'n'), ('nggak', None), ('nyolong', 'r'), ('lab', None)]",HOAKS
1.59E+12,3/31/2020 6:57,88588232,RudhiMukhtar,Rudhi Mukhtar,lebih baik polri fokus nangkap mafia masker  apd  hand sanitizer  dan bahan kebutuhan pokok  mereka udah terbukti menyengsarakan rakyat ,https://twitter.com/RudhiMukhtar/status/1244775790291509248,"[('polri', 'n'), ('fokus', 'n'), ('nangkap', None), ('mafia', 'n'), ('masker', 'n'), ('apd', None), ('hand', 'n'), ('sanitizer', 'n'), ('bahan', 'n'), ('kebutuhan', 'v'), ('pokok', None), ('udah', None), ('terbukti', 'n'), ('menyengsarakan', 'n'), ('rakyat', 'n')]",HOAKS
1.59E+12,3/31/2020 6:57,1.18E+18,hoonffle,dal ♡,yaampun ini boy grup baru mau debut yaa gila sih ganteng ganteng banget ini tema nya juga lucu banget ada yang pake masker gitu juga lagi aduh gemas aku yakin ini bakalan jadi boy grup yang luar biasa   nomoredreamiscoming btsdebut  ,https://twitter.com/hoonffle/status/1244775726311788546,"[('yaampun', 'n'), ('boy', 'n'), ('grup', 'n'), ('debut', 'n'), ('yaa', 'v'), ('gila', None), ('sih', 'n'), ('ganteng', 'n'), ('ganteng', 'n'), ('banget', 'n'), ('tema', 'n'), ('nya', None), ('lucu', 'n'), ('banget', 'n'), ('pake', 'n'), ('masker', 'n'), ('gitu', 'n'), ('aduh', 'n'), ('gemas', 'n'), ('boy', 'n'), ('grup', 'n'), ('nomoredreamiscoming', 'v'), ('btsdebut', 'n')]",HOAKS
