created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1.66E+12,6/18/2022 16:42,55507370,tvOneNews,tvOne,apa penyebab varian baru virus corona kembali melonjakan di indonesia  mengapa umat muslim tidak boleh menikahi umat non muslim  apakah negara negara di seluruh dunia sudah membuka jalur wisata kembali  saksikan hot indonesia di youtube tvonenews  hotindonesiaone  ,https://twitter.com/tvOneNews/status/1538094782479671296,"[('penyebab', 'n'), ('varian', None), ('virus', 'n'), ('corona', 'n'), ('melonjakan', 'n'), ('indonesia', 'n'), ('umat', None), ('muslim', 'n'), ('menikahi', 'n'), ('umat', None), ('non', 'n'), ('muslim', 'n'), ('negara', 'n'), ('negara', 'n'), ('dunia', 'n'), ('membuka', 'n'), ('jalur', 'n'), ('wisata', 'n'), ('saksikan', None), ('hot', None), ('indonesia', 'n'), ('youtube', 'n'), ('tvonenews', 'v'), ('hotindonesiaone', 'n')]",FAKTA
1.66E+12,6/18/2022 7:19,41730943,VIVAcoid,VivaCoid,virus corona atau covid    terus bermutasi hingga memunculkan berbagai varian baru yang meresahkan dunia  seperti ba   dan ba    di indonesia  varian baru ini menjadi penyebab terjadi lonjakan kasus covid    pada pekan ini       vivacoid corona covid    ,https://twitter.com/VIVAcoid/status/1537953082465628160,"[('virus', 'n'), ('corona', 'n'), ('covid', 'n'), ('bermutasi', 'n'), ('memunculkan', 'n'), ('varian', None), ('meresahkan', 'n'), ('dunia', 'n'), ('ba', 'n'), ('ba', 'n'), ('indonesia', 'n'), ('varian', None), ('penyebab', 'n'), ('lonjakan', None), ('covid', 'n'), ('pekan', 'n'), ('vivacoid', 'n'), ('corona', 'n'), ('covid', 'n')]",FAKTA
1.66E+12,6/14/2022 19:53,7.05E+17,Berita_Corona,Berita Corona,kenapa varian dan subvarian baru virus corona terus muncul    cnn indonesia corona korona viruscorona  ,https://twitter.com/Berita_Corona/status/1536693404490420231,"[('varian', None), ('subvarian', None), ('virus', 'n'), ('corona', 'n'), ('muncul', 'n'), ('cnn', 'n'), ('indonesia', 'n'), ('corona', 'n'), ('korona', 'n'), ('viruscorona', 'n')]",FAKTA
1.66E+12,6/14/2022 19:40,17128975,CNNIndonesia,CNN Indonesia,kenapa varian dan subvarian baru virus corona terus muncul   ,https://twitter.com/CNNIndonesia/status/1536690130970619904,"[('varian', None), ('subvarian', None), ('virus', 'n'), ('corona', 'n'), ('muncul', 'n')]",FAKTA
1.66E+12,6/14/2022 12:06,1.40E+18,BroAkbar27,𝕬𝖐𝖇𝖆𝖗 ,pemerintah mewaspadai munculnya virus corona varian baru pasca libur lebaran   airlanggasolusiindonesia  ,https://twitter.com/BroAkbar27/status/1536575705550815233,"[('pemerintah', 'n'), ('mewaspadai', 'n'), ('munculnya', 'n'), ('virus', 'n'), ('corona', 'n'), ('varian', None), ('pasca', 'n'), ('libur', 'n'), ('lebaran', 'n'), ('airlanggasolusiindonesia', 'n')]",FAKTA
1.66E+12,6/14/2022 9:32,7.60E+17,kumparan,kumparan,aturan ini akan berubah bila ada varian baru virus corona yang mengkhawatirkan  kumparannews  ,https://twitter.com/kumparan/status/1536536931873325057,"[('aturan', 'n'), ('berubah', 'n'), ('varian', None), ('virus', 'n'), ('corona', 'n'), ('mengkhawatirkan', 'n'), ('kumparannews', 'n')]",FAKTA
1.66E+12,6/14/2022 8:50,2890721762,LINIKINI_ID,LINIKINI_ID,commuters  hati hati ada varian baru nih     virus corona varian ba   dan ba   dikatakan mulai muncul dan mengintai sekitar kita buat kamu yang beraktivitas tetap jaga prokesnya ya   yuk  kita saling jaga diri dan peduli sesama untuk melawan covid    ini   source   ,https://twitter.com/LINIKINI_ID/status/1536526448420261889,"[('commuters', 'n'), ('hati', 'v'), ('hati', None), ('varian', None), ('nih', 'n'), ('virus', 'n'), ('corona', 'n'), ('varian', None), ('ba', 'n'), ('ba', 'n'), ('muncul', 'n'), ('mengintai', 'n'), ('beraktivitas', 'n'), ('jaga', 'n'), ('prokesnya', 'n'), ('ya', 'n'), ('yuk', 'n'), ('jaga', 'n'), ('peduli', 'n'), ('melawan', 'n'), ('covid', 'n'), ('source', 'n')]",FAKTA
1.66E+12,6/14/2022 8:17,1.35E+18,Naraera1,Nara€ra,meski kenaikan kasus covid    di indonesia belum disebut serius  kita tetap harus waspada karena varian baru ini menjangkit orang orang yang sebelumnya terjangkit virus corona atau pernah divaksin   lawanvarianbaru  ,https://twitter.com/Naraera1/status/1536518068205068289,"[('kenaikan', 'n'), ('covid', 'n'), ('indonesia', 'n'), ('serius', 'n'), ('waspada', None), ('varian', None), ('menjangkit', 'n'), ('orang', 'n'), ('orang', 'n'), ('terjangkit', 'n'), ('virus', 'n'), ('corona', 'n'), ('divaksin', 'n'), ('lawanvarianbaru', 'n')]",FAKTA
1.66E+12,6/14/2022 8:03,1.07E+18,Alin_tan11,Alin Tan,lawanvarianbaru  tanda  omricon varian baru  gejala mirip corona virus lainnya dampaknya juga sama  ,https://twitter.com/Alin_tan11/status/1536514586987229184,"[('lawanvarianbaru', None), ('tanda', 'n'), ('omricon', 'n'), ('varian', None), ('gejala', 'n'), ('corona', 'n'), ('virus', 'n'), ('dampaknya', 'n')]",FAKTA
1.66E+12,6/13/2022 21:15,69183155,detikcom,detikcom,varian baru corona omicron ba   dan ba   kini tengah muncul di tanah air  jokowi pun telah mewanti wanti akan terjadinya peningkatan kasus positif virus corona  ,https://twitter.com/detikcom/status/1536351472987918337,"[('varian', None), ('corona', 'n'), ('omicron', 'n'), ('ba', 'n'), ('ba', 'n'), ('muncul', 'n'), ('tanah', 'n'), ('air', 'n'), ('jokowi', 'n'), ('mewanti', 'n'), ('wanti', 'n'), ('peningkatan', 'n'), ('positif', 'n'), ('virus', 'n'), ('corona', 'n')]",FAKTA
1.65E+12,3/30/2022 9:32,23343960,kompascom,Kompas.com,meski pasar tanah abang padat  pengunjung tetap terpantau menerapkan protokol kesehatan  seperti menggunakan masker di tengah penyebaran covid      ,https://twitter.com/kompascom/status/1508995452296839168,"[('pasar', 'n'), ('tanah', 'n'), ('abang', 'n'), ('padat', 'n'), ('pengunjung', 'n'), ('terpantau', 'n'), ('menerapkan', 'n'), ('protokol', 'n'), ('kesehatan', 'n'), ('masker', 'n'), ('penyebaran', 'n'), ('covid', 'n')]",FAKTA
1.65E+12,3/29/2022 16:36,23343960,kompascom,Kompas.com,unlock iphone dengan face id kini bisa dilakukan tanpa lepas masker  caranya bisa langsung lewat menu pengaturan atau memanfaatkan apple watch   ,https://twitter.com/kompascom/status/1508739763003539459,"[('unlock', 'n'), ('iphone', 'n'), ('face', 'n'), ('id', 'n'), ('lepas', 'n'), ('masker', 'n'), ('langsung', 'n'), ('menu', 'n'), ('pengaturan', 'n'), ('memanfaatkan', 'n'), ('apple', 'n'), ('watch', 'n')]",FAKTA
1.65E+12,3/27/2022 16:47,23343960,kompascom,Kompas.com,penembak kesal karena disuruh pakai masker  merasa hak haknya dilanggar  ia lalu menembak mati petugas spbu yang menyuruhnya   ,https://twitter.com/kompascom/status/1508017872131354627,"[('penembak', 'n'), ('kesal', 'n'), ('disuruh', None), ('pakai', 'n'), ('masker', 'n'), ('hak', 'n'), ('haknya', 'n'), ('dilanggar', 'n'), ('menembak', 'n'), ('mati', 'n'), ('petugas', 'n'), ('spbu', 'n'), ('menyuruhnya', 'n')]",FAKTA
1.65E+12,3/25/2022 7:55,23343960,kompascom,Kompas.com,dengan mengandalkan masker wajah alami di rumah  impian kita memeroleh kulit wajah yang glowing bisa terwujud   ,https://twitter.com/kompascom/status/1507159247913594880,"[('mengandalkan', None), ('masker', 'n'), ('wajah', 'n'), ('alami', 'n'), ('rumah', 'n'), ('impian', None), ('memeroleh', 'n'), ('kulit', 'v'), ('wajah', None), ('glowing', 'v'), ('terwujud', 'n')]",FAKTA
1.65E+12,3/24/2022 18:02,23343960,kompascom,Kompas.com,cara mencegah tbc bisa dengan sering cuci tangan dengan sabun dan air mengalir  pakai masker di tempat berisiko terjadi penularan  sampai vaksin bcg   ,https://twitter.com/kompascom/status/1506949624489123841,"[('mencegah', 'n'), ('tbc', 'n'), ('cuci', 'n'), ('tangan', 'n'), ('sabun', None), ('air', 'n'), ('mengalir', None), ('pakai', 'n'), ('masker', 'n'), ('berisiko', 'n'), ('penularan', 'n'), ('vaksin', 'n'), ('bcg', 'n')]",FAKTA
1.65E+12,3/24/2022 13:46,23343960,kompascom,Kompas.com,hidup berdampingan dengan covid     pemerintah singapura membolehkan warganya tidak memakai masker di luar ruangan mulai    maret        ,https://twitter.com/kompascom/status/1506885035734933507,"[('hidup', 'n'), ('berdampingan', 'n'), ('covid', None), ('pemerintah', 'n'), ('singapura', 'n'), ('membolehkan', 'n'), ('warganya', 'n'), ('memakai', 'n'), ('masker', 'n'), ('ruangan', None), ('maret', 'n')]",FAKTA
