created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1.65384E+12,5/29/2022 23:42,215839128,hendra_roestoe,HendraRoestoeMulyana,saya lebih percaya kpd dr  siti fadilah supari  karena beliau juga yg membuka topeng virus flu burung dl untuk di jadikan lahan bisnis vaksin,https://twitter.com/hendra_roestoe/status/1530952637507506177,"[('percaya', 'n'), ('kpd', 'n'), ('dr', 'n'), ('siti', 'n'), ('fadilah', 'n'), ('supari', 'n'), ('beliau', 'n'), ('yg', 'n'), ('membuka', 'n'), ('topeng', 'n'), ('virus', 'n'), ('flu', 'n'), ('burung', 'n'), ('dl', 'n'), ('jadikan', 'n'), ('lahan', 'n'), ('bisnis', 'n'), ('vaksin', 'n')]",HOAKS
1.65373E+12,5/28/2022 15:11,1.36224E+18,wahiidin,wahiidin, smoga sj bukan jd bisnis  ada yg bilang klo bisnisnya senjata spy laku harus ada perang  takutnya jd gitu jg  ada bisnis vaksin tentunya harus ada penyakit  bisa disebut senjata biologis gak itu ya   entahlah ,https://twitter.com/wahiidin/status/1530461634774577152,"[('smoga', 'n'), ('sj', 'n'), ('jd', 'n'), ('bisnis', 'n'), ('yg', 'n'), ('bilang', 'n'), ('klo', 'v'), ('bisnisnya', None), ('senjata', 'n'), ('spy', 'v'), ('laku', None), ('perang', 'n'), ('takutnya', 'n'), ('jd', 'n'), ('gitu', 'n'), ('jg', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('penyakit', 'n'), ('senjata', 'v'), ('biologis', 'n'), ('gak', 'n'), ('ya', 'n')]",HOAKS
1.65371E+12,5/28/2022 11:05,1.52828E+18,UmJihan69,Um Jihan, logikanya  kenapa ke afrika  afrika daya belinya gak ada   gimana mau buat bisnis vaksin  salah  malah suruh diminta bantuan  ,https://twitter.com/UmJihan69/status/1530399823932731392,"[('logikanya', 'n'), ('afrika', None), ('afrika', None), ('daya', None), ('belinya', None), ('gak', None), ('gimana', None), ('bisnis', 'n'), ('vaksin', 'n'), ('salah', 'n'), ('suruh', 'n'), ('bantuan', 'n')]",HOAKS
1.65367E+12,5/28/2022 0:24,1.42625E+18,KaiAndromeda,Mandroid|Kai,wajar   komnas ini ada hanya utk menguatkan bisnis vaksin ini terus berjalan mulus  ketika ada gugatan dipengadilan  komnas ini pasti jdi saksi pelindung negara  coba aja statementnya begini   rata rata pasien meninggal setelah di vaksin  lbp   bubarkan komnas kipi  ,https://twitter.com/KaiAndromeda/status/1530238547902734336,"[('wajar', 'n'), ('komnas', 'n'), ('utk', None), ('menguatkan', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('berjalan', 'n'), ('mulus', None), ('gugatan', 'n'), ('dipengadilan', 'n'), ('komnas', None), ('jdi', 'n'), ('saksi', 'n'), ('pelindung', 'n'), ('negara', 'n'), ('coba', 'n'), ('aja', 'n'), ('statementnya', 'n'), ('pasien', 'n'), ('meninggal', None), ('vaksin', 'n'), ('lbp', 'n'), ('bubarkan', 'n'), ('komnas', 'n'), ('kipi', 'v')]",HOAKS
1.65364E+12,5/27/2022 15:58,1.13126E+18,MasN4jib,71B, bisnis vaksin ga diitung  ,https://twitter.com/MasN4jib/status/1530111177573175297,"[('bisnis', 'n'), ('vaksin', 'n'), ('ga', 'n'), ('diitung', 'n')]",HOAKS
1.65362E+12,5/27/2022 10:33,1.53003E+18,Orasi_Id,Orasi.Id, virus ohvirus  padahal kita bisa menolak dari awal  nyatanya kalau banyak kepentingan dalam bisnis vaksin,https://twitter.com/Orasi_Id/status/1530029521726222336,"[('virus', 'n'), ('ohvirus', 'n'), ('menolak', 'n'), ('kepentingan', 'v'), ('bisnis', 'n'), ('vaksin', 'n')]",HOAKS
1.65361E+12,5/27/2022 7:42,366549945,andri_anto7121,andrianto,itu penjanjian tipuan yg di gunakan utk penghubung  bisnis vaksin  perhutangan  amp  penarikan sumbangan berkedok kemanusiaan setelah mereka melakukan penyebarkan tipuan wabah ,https://twitter.com/andri_anto7121/status/1529986241403400192,"[('penjanjian', None), ('tipuan', 'n'), ('yg', 'n'), ('utk', None), ('penghubung', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('perhutangan', 'n'), ('amp', None), ('penarikan', 'n'), ('sumbangan', None), ('berkedok', 'n'), ('kemanusiaan', 'n'), ('penyebarkan', None), ('tipuan', 'n'), ('wabah', 'n')]",HOAKS
1.65361E+12,5/27/2022 6:55,1.34027E+18,ZPembayun,Zidnia Pembayun,  amp  bisnis vaksin pastinya,https://twitter.com/ZPembayun/status/1529974623143505921,"[('amp', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('pastinya', 'n')]",HOAKS
1.65358E+12,5/26/2022 23:16,1.34468E+18,AndiPitopang6,Andi Pitopang, bentar lagi bisnis vaksin cacar monyet ,https://twitter.com/AndiPitopang6/status/1529859031036092418,"[('bentar', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('cacar', 'n'), ('monyet', 'n')]",HOAKS
1.5803E+12,1/29/2020 20:03,8.9534E+17,mhmmd_khaedir,Khaedir,masa ada yang percaya sih virus corona menyebar lewat hp xiaomi  yaelah  gobloknya stadium berapa itu   parah bett,https://twitter.com/mhmmd_khaedir/status/1222505541160714240,"[('percaya', 'n'), ('sih', 'n'), ('virus', 'n'), ('corona', 'n'), ('menyebar', 'n'), ('hp', 'n'), ('xiaomi', 'n'), ('yaelah', 'n'), ('gobloknya', 'n'), ('stadium', 'n'), ('parah', 'n'), ('bett', 'n')]",HOAKS
