created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1655094730000.0,2022-06-13 11:32:10,1381941698910019588,Istiqom99644171,Istiqomah, kalau ada rudal simpanan tolong bom laboratorium pencipta virus covid    dimanapun berada  ayo miskinkan bill gates dan kroninya  bosan kita divaksin terus dibatasi terus   mereka rauf untung,https://twitter.com/Istiqom99644171/status/1536204760537108480,"[('rudal', 'n'), ('simpanan', 'n'), ('tolong', None), ('bom', 'n'), ('laboratorium', 'n'), ('pencipta', 'n'), ('virus', 'n'), ('covid', 'n'), ('dimanapun', 'n'), ('ayo', 'n'), ('miskinkan', None), ('bill', 'n'), ('gates', 'v'), ('kroninya', None), ('bosan', None), ('divaksin', 'n'), ('dibatasi', 'n'), ('rauf', 'n'), ('untung', 'n')]",0
1651861267000.0,2022-05-07 01:21:07,1485731446992281601,Tunku_Adam2,Adam, julukan bill gates   dulu  org terkaya no   di dunia pencipta microsof  sekarang  org terkaya no   di dunia pencipta virus konspirasi   ,https://twitter.com/Tunku_Adam2/status/1522642632912310272,"[('julukan', 'n'), ('bill', 'n'), ('gates', 'v'), ('org', None), ('terkaya', 'n'), ('no', None), ('dunia', 'v'), ('pencipta', None), ('microsof', 'n'), ('org', None), ('terkaya', 'n'), ('no', None), ('dunia', 'v'), ('pencipta', None), ('virus', 'n'), ('konspirasi', 'n')]",0
1642896227000.0,2022-01-23 07:03:47,1247110025102782465,IrawanHaidar,MH IRAWAN, virus paling mematikan di dunia ini ya   pencipta copet,https://twitter.com/IrawanHaidar/status/1485040531034210305,"[('virus', 'n'), ('mematikan', None), ('dunia', 'n'), ('ya', 'n'), ('pencipta', 'n'), ('copet', 'n')]",1
1638423929000.0,2021-12-02 12:45:29,962473665404129280,SopirPormulaE,Jhon_Simare-Mare™,kalian percaya gak orang  terkaya di dunia seperti billgates dkk berkolaborasi dengan pencipta tehnologi mutakhir robotik ada kaitannya dgn virus yg menjadi pandemik di seluruh dunia robot ini nantinya akan mnggtikan tnga manusia so menurut saya semua mengrh ksna    ,https://twitter.com/SopirPormulaE/status/1466282351999086593,"[('percaya', 'n'), ('gak', 'n'), ('orang', 'n'), ('terkaya', 'n'), ('dunia', 'n'), ('billgates', 'v'), ('dkk', None), ('berkolaborasi', 'n'), ('pencipta', 'n'), ('tehnologi', 'n'), ('mutakhir', 'n'), ('robotik', 'n'), ('kaitannya', 'n'), ('dgn', 'n'), ('virus', 'n'), ('yg', 'n'), ('pandemik', 'n'), ('dunia', 'n'), ('robot', 'n'), ('mnggtikan', 'n'), ('tnga', 'n'), ('manusia', 'n'), ('so', 'r'), ('mengrh', 'n'), ('ksna', 'n')]",0
1623394325000.0,2021-06-11 13:52:05,2876041760,yan_tsy,TSY,  tanya ke sang maha pencipta virus ,https://twitter.com/yan_tsy/status/1403243625467703304,"[('sang', 'v'), ('maha', None), ('pencipta', 'n'), ('virus', 'n')]",1
1622976645000.0,2021-06-06 17:50:45,974940271493304320,IATeam___,+62 d̸i̸k̸u̸a̸s̸a̸i̸ o̸l̸e̸h̸ p̸e̸n̸g̸h̸i̸a̸n̸a̸t̸,viral bill gates ditangkap fbi karena dianggap teroris konspirasi pencipta virus corona  ,https://twitter.com/IATeam___/status/1401491746681364486,"[('viral', None), ('bill', 'n'), ('gates', 'v'), ('ditangkap', None), ('fbi', None), ('dianggap', 'n'), ('teroris', 'n'), ('konspirasi', 'n'), ('pencipta', 'n'), ('virus', 'n'), ('corona', 'n')]",0
1608009674000.0,2020-12-15 12:21:14,64635651,serambinews,Serambi Indonesia,billgates  bill gates  sempat disebut sebut sebagai pencipta virus corona  covid      nah  belum usai kontroversi itu  bill gates kembali memprediksi masa depan amerika serikat  as    ,https://twitter.com/serambinews/status/1338715721765773312,"[('billgates', 'n'), ('bill', 'n'), ('gates', 'v'), ('pencipta', None), ('virus', 'n'), ('corona', 'n'), ('covid', 'n'), ('kontroversi', 'n'), ('bill', 'n'), ('gates', 'v'), ('memprediksi', 'n'), ('amerika', 'r'), ('serikat', 'n'), ('as', None)]",0
1590874704000.0,2020-05-31 04:38:24,1116592448484986883,ptangkasajaya,frnd.ntls, percaya ngga percaya sih  soalnya ada benernya juga sih  ngga semua teori konspirasi salah  mungkin saja misalnya bill gates pencipta ms windows sama orang terkaya no   di dunia menciptakan virus juga biar orang lain bisa beli antivirus yg bagus ya kan,https://twitter.com/ptangkasajaya/status/1266846446612967424,"[('percaya', 'n'), ('ngga', None), ('percaya', 'n'), ('sih', 'n'), ('benernya', 'n'), ('sih', 'n'), ('ngga', None), ('teori', 'n'), ('konspirasi', 'n'), ('salah', 'n'), ('bill', 'n'), ('gates', 'v'), ('pencipta', None), ('ms', 'n'), ('windows', 'n'), ('orang', None), ('terkaya', 'n'), ('no', None), ('dunia', 'v'), ('menciptakan', None), ('virus', 'n'), ('biar', 'n'), ('orang', 'n'), ('beli', None), ('antivirus', 'n'), ('yg', 'n'), ('bagus', 'n'), ('ya', 'n')]",0
1590192533000.0,2020-05-23 07:08:53,282563920,monitorindo,HARIAN TERBIT,fbi tangkap bill gates terkait teroris biologis  tudingan di balik pencipta virus covid            viruscorona covid   billgates,https://twitter.com/monitorindo/status/1263985216101560321,"[('fbi', 'n'), ('tangkap', 'n'), ('bill', 'n'), ('gates', 'v'), ('terkait', None), ('teroris', None), ('biologis', 'n'), ('tudingan', 'n'), ('pencipta', 'n'), ('virus', 'n'), ('covid', 'n'), ('viruscorona', 'n'), ('covid', 'n'), ('billgates', 'n')]",0
1590098240000.0,2020-05-22 04:57:20,282563920,monitorindo,HARIAN TERBIT,fbi tangkap bill gates terkait teroris biologis  tudingan di balik pencipta virus covid       viruscorona covid   billgates,https://twitter.com/monitorindo/status/1263589720589692934,"[('fbi', 'n'), ('tangkap', 'n'), ('bill', 'n'), ('gates', 'v'), ('terkait', None), ('teroris', None), ('biologis', 'n'), ('tudingan', 'n'), ('pencipta', 'n'), ('virus', 'n'), ('covid', 'n'), ('viruscorona', 'n'), ('covid', 'n'), ('billgates', 'n')]",0
1589751631000.0,2020-05-18 04:40:31,1234664269821534210,Aswad69038386,ASWAD_PARAMASUKA,heboh  fbi tangkap bill gates   benarkah ia pencipta virus covid      ,https://twitter.com/Aswad69038386/status/1262135937481404416,"[('heboh', 'n'), ('fbi', 'n'), ('tangkap', 'n'), ('bill', 'n'), ('gates', 'v'), ('pencipta', 'n'), ('virus', 'n'), ('covid', 'n')]",0
1589682868000.0,2020-05-17 09:34:28,100322652,salmanrasyidin,salman rasyidin,dituding pencipta virus covid     heboh bill gates   lewat ,https://twitter.com/salmanrasyidin/status/1261847525578833920,"[('dituding', 'v'), ('pencipta', 'n'), ('virus', 'n'), ('covid', 'n'), ('heboh', 'n'), ('bill', 'n'), ('gates', 'v')]",0
1589317085000.0,2020-05-13 03:58:05,1117480521313837056,BJEKKKK,Jendri Hermawan,saya percaya kalau virus corona itu ada  cuma cara menghadapi nya aja kita salah  kita ga percaya jrx bicara karena dia ga ada sangkut paut nya dgn dunia medis  lantas kenapa kita begitu percaya dengan who yang kepala ny tidak dr tenaga medis  amp  bill gates si pencipta microsoft ,https://twitter.com/BJEKKKK/status/1260313318662651904,"[('percaya', 'n'), ('virus', 'n'), ('corona', 'n'), ('menghadapi', 'n'), ('nya', None), ('aja', 'n'), ('salah', 'n'), ('ga', None), ('percaya', 'n'), ('jrx', 'n'), ('bicara', 'n'), ('ga', 'n'), ('sangkut', 'n'), ('paut', 'n'), ('nya', None), ('dgn', 'n'), ('dunia', 'n'), ('medis', 'n'), ('lantas', 'n'), ('percaya', 'n'), ('who', None), ('kepala', 'v'), ('ny', None), ('dr', 'n'), ('tenaga', 'n'), ('medis', 'n'), ('amp', 'n'), ('bill', 'n'), ('gates', 'v'), ('si', None), ('pencipta', 'n'), ('microsoft', 'n')]",0
1589167691000.0,2020-05-11 10:28:11,706277545,siddiqsalman116,Salman Faris Siddiq,yang bilang bill gates pencipta virus corona mending nonton ini dulu deh  ,https://twitter.com/siddiqsalman116/status/1259686715934953474,"[('bilang', 'n'), ('bill', 'n'), ('gates', 'v'), ('pencipta', None), ('virus', 'n'), ('corona', 'n'), ('mending', 'v'), ('nonton', None), ('deh', 'n')]",0
1589037351000.0,2020-05-09 22:15:51,200144577,ko2w,Koko,jokowi bilang untuk hidup berdamai dengan virus    siapa yang selama ini hidup berdamai dengan virus  pengguna windows   siapa pencipta windows  bill gates   jrx benar     indonesia ingin diubah jadi windows     ,https://twitter.com/ko2w/status/1259140028577443842,"[('jokowi', 'n'), ('bilang', 'n'), ('hidup', 'n'), ('berdamai', 'n'), ('virus', 'n'), ('hidup', 'n'), ('berdamai', 'n'), ('virus', 'n'), ('pengguna', 'n'), ('windows', 'v'), ('pencipta', 'n'), ('windows', 'n'), ('bill', 'n'), ('gates', 'v'), ('jrx', None), ('indonesia', 'n'), ('diubah', 'n'), ('windows', 'n')]",0
1588604925000.0,2020-05-04 22:08:45,1129571125455872001,maniissssss,Manusia,bill gates penemu   pencipta corona virus  amerika yg membuat sehingga memfitnah warga wuhan yg menjadi penyebab     coba deh kalian pikir  vaksin buat corona virus udah ada tinggal di beli dengan harga tinggi  sedangkan membuat vaksin itu tidaklah mudah hampir bertahun tahun ,https://twitter.com/maniissssss/status/1257326302714986497,"[('bill', 'n'), ('gates', 'v'), ('penemu', None), ('pencipta', None), ('corona', 'n'), ('virus', 'n'), ('amerika', None), ('yg', 'n'), ('memfitnah', 'n'), ('warga', 'n'), ('wuhan', 'n'), ('yg', 'n'), ('penyebab', 'n'), ('coba', 'n'), ('deh', 'n'), ('pikir', 'n'), ('vaksin', 'n'), ('corona', 'n'), ('virus', 'n'), ('udah', None), ('tinggal', 'n'), ('beli', 'n'), ('harga', 'n'), ('vaksin', 'n'), ('mudah', 'n'), ('bertahun', 'n')]",0
1588243259000.0,2020-04-30 17:40:59,1096486344451186688,maruu_snk,Mal マル,ini yang ngomongin konspirasi bill gates  siapa tau plot twist ternyata bill gates bukan pencipta konspirasi virus ini dan bener  buat vaksin yg ampuh  ternyata orang  yang nuduh bill gates lah pembuat konspirasi sebenarnya ,https://twitter.com/maruu_snk/status/1255809365056999424,"[('ngomongin', 'v'), ('konspirasi', 'n'), ('bill', 'n'), ('gates', 'v'), ('tau', 'n'), ('plot', 'n'), ('twist', 'n'), ('bill', 'n'), ('gates', 'v'), ('pencipta', None), ('konspirasi', 'n'), ('virus', 'n'), ('bener', 'n'), ('vaksin', 'n'), ('yg', 'n'), ('ampuh', 'n'), ('orang', 'n'), ('nuduh', None), ('bill', 'n'), ('gates', 'v'), ('pembuat', None), ('konspirasi', 'n')]",0
1588236215000.0,2020-04-30 15:43:35,1167426622372249600,aji_rajin,Kang Bully,  tapi pidato founder microsoft tersebut malah dijadikan bahan konspirasi sekelompok orang  beberapa bahkan menuduh bill gates sebagai pencipta virus corona   yang berniat menggantikan microchip ke tubuh semua orang  padahal bill gates justru salah satu orang terdepan dalam,https://twitter.com/aji_rajin/status/1255779822971817985,"[('pidato', 'n'), ('founder', 'n'), ('microsoft', 'n'), ('dijadikan', 'n'), ('bahan', 'n'), ('konspirasi', 'v'), ('sekelompok', 'n'), ('orang', None), ('menuduh', 'n'), ('bill', 'n'), ('gates', 'v'), ('pencipta', None), ('virus', 'n'), ('corona', 'n'), ('berniat', 'n'), ('menggantikan', None), ('microchip', 'n'), ('tubuh', 'n'), ('orang', 'v'), ('bill', 'n'), ('gates', 'v'), ('salah', None), ('orang', None), ('terdepan', 'n')]",0
