created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1609434380000.0,2021-01-01 00:06:20,983808816159506437,syams_azhar,Azhar Syams, udah pada budeg dok  kelamaan dirumah  ditambah pinjeman rentenir bank harian  masih dikit  cukuplah buat jalan  sewa mobil ke tempat yang rame  gausah pake masker  pengap  apalagi pake sanitizer  mahal minum jamu  makan nasi kucing  goyang ubur  covid lewat,https://twitter.com/syams_azhar/status/1344691368703135744,"[('udah', None), ('budeg', 'n'), ('dok', 'n'), ('dirumah', 'n'), ('ditambah', 'n'), ('pinjeman', 'n'), ('rentenir', 'v'), ('bank', 'n'), ('harian', None), ('dikit', 'n'), ('jalan', 'n'), ('sewa', 'v'), ('mobil', 'n'), ('rame', 'n'), ('gausah', None), ('pake', 'n'), ('masker', 'n'), ('pengap', 'n'), ('pake', 'n'), ('sanitizer', 'n'), ('mahal', None), ('minum', 'n'), ('jamu', 'n'), ('makan', 'n'), ('nasi', None), ('kucing', 'v'), ('goyang', 'n'), ('ubur', None), ('covid', 'n')]",0
1609320219000.0,2020-12-30 16:23:39,61449335,adiwisnugraha,#SemangatBaru #GresikMbois,para tetangga ngajak bikin acara makan makan malam tahun baru  di tengah situasi penularan covid    yang meningkat saya sarankan menu nasi kucing saja biar aman gak kena corona,https://twitter.com/adiwisnugraha/status/1344212546216083456,"[('tetangga', 'n'), ('ngajak', None), ('bikin', 'n'), ('acara', 'n'), ('makan', 'n'), ('makan', 'n'), ('malam', 'n'), ('situasi', 'n'), ('penularan', 'n'), ('covid', 'n'), ('meningkat', 'n'), ('sarankan', None), ('menu', 'n'), ('nasi', 'n'), ('kucing', 'v'), ('biar', 'n'), ('aman', 'n'), ('gak', 'n'), ('kena', 'n'), ('corona', 'n')]",0
1609314603000.0,2020-12-30 14:50:03,1256115929923981317,perupadata,perupadata,  penumpang kedapatan positif covid    saat tiba di pontianak  gubernur kalbar wajibkan semua penumpang pesawat tujuan kalbar bawa surat hasil swab rt pcr negatif   kemenhub tidak tinggal diam   mungkin pak gub perlu ubah syaratnya jadi surat keterangan sudah makan nasi kucing  ,https://twitter.com/perupadata/status/1344188987452243969,"[('penumpang', 'n'), ('kedapatan', 'v'), ('positif', 'n'), ('covid', 'n'), ('pontianak', 'n'), ('gubernur', 'n'), ('kalbar', 'n'), ('wajibkan', 'n'), ('penumpang', 'n'), ('pesawat', 'n'), ('tujuan', None), ('kalbar', 'n'), ('bawa', 'n'), ('surat', 'n'), ('hasil', 'n'), ('swab', 'n'), ('rt', 'n'), ('pcr', 'n'), ('negatif', None), ('kemenhub', 'n'), ('tinggal', None), ('diam', 'n'), ('gub', 'n'), ('ubah', None), ('syaratnya', 'n'), ('surat', 'n'), ('keterangan', 'v'), ('makan', None), ('nasi', 'n'), ('kucing', 'n')]",0
1609240055000.0,2020-12-29 18:07:35,1105428923913891841,Muhamad88810476,ANIS - NUR, di    kebanyakan alasan dulu mereka bilang iklim di   tahan terhadap covid makan nasi kucing bisa sembuh sekarang semuanya kebakaran jengot,https://twitter.com/Muhamad88810476/status/1343876313057148935,"[('kebanyakan', 'n'), ('alasan', None), ('bilang', 'n'), ('iklim', None), ('tahan', 'n'), ('covid', 'n'), ('makan', 'n'), ('nasi', None), ('kucing', 'v'), ('sembuh', 'n'), ('kebakaran', 'v'), ('jengot', 'n')]",0
1609239562000.0,2020-12-29 17:59:22,2211557161,s_erfa,S_erfa,  katanya orang indonesia kebal covid karena sering makan nasi kucing,https://twitter.com/s_erfa/status/1343874242404708352,"[('orang', 'n'), ('indonesia', 'n'), ('kebal', 'n'), ('covid', 'n'), ('makan', None), ('nasi', 'n'), ('kucing', 'v')]",0
1609220515000.0,2020-12-29 12:41:55,1583975413,MeTekTek,xuxxes, tenang  makan nasi kucing aja  nanti sembuh sendiri  klo kena covid varian lain  ganti varian lauknya jga,https://twitter.com/MeTekTek/status/1343794355362877440,"[('tenang', 'n'), ('makan', 'n'), ('nasi', None), ('kucing', 'v'), ('aja', None), ('sembuh', 'n'), ('klo', None), ('kena', 'n'), ('covid', 'n'), ('varian', None), ('ganti', 'n'), ('varian', None), ('lauknya', 'n'), ('jga', 'n')]",0
1609213745000.0,2020-12-29 10:49:05,1117293264535601152,manggalasss,Manggalas, covid    yang baru itu ga akan kuat lama lama indonesia karna kan cuaca di indonesia  terus karna kita suka makan nasi kucing jadi ga akan sampe indonesia tenang aja,https://twitter.com/manggalasss/status/1343765960159711232,"[('covid', 'n'), ('ga', 'n'), ('kuat', 'n'), ('indonesia', 'n'), ('karna', None), ('cuaca', 'n'), ('indonesia', 'n'), ('karna', None), ('suka', 'n'), ('makan', 'n'), ('nasi', None), ('kucing', 'v'), ('ga', 'n'), ('sampe', 'n'), ('indonesia', 'n'), ('tenang', 'n'), ('aja', 'n')]",0
1609176672000.0,2020-12-29 00:31:12,479766947,Fauzarozi,fzr,  bukan gitu dong  mau nntangain covid jenis baru dengan yg sakit aja yg pake masker dan kita udah terbiasa makan nasi kucing,https://twitter.com/Fauzarozi/status/1343610464861712385,"[('gitu', 'n'), ('nntangain', 'n'), ('covid', 'n'), ('jenis', 'n'), ('yg', None), ('sakit', 'n'), ('aja', 'n'), ('yg', 'n'), ('pake', 'v'), ('masker', 'n'), ('udah', 'n'), ('terbiasa', 'n'), ('makan', 'n'), ('nasi', None), ('kucing', 'v')]",0
1609148485000.0,2020-12-28 16:41:25,1175341509593292800,gowryeee,lembayung, coba pemerintah swiss ke mari  mengantisipasi covid sg goyang ubur ubur makan rawon sama nasi kucing  ubah negaranya jd bercuaca panas biar covid ga bisa berkembang laksanakan pilkada buat menekan covid  tar klo masih banyak korban dan pasien positif salahkan aja rakyatnya ,https://twitter.com/gowryeee/status/1343492240153329665,"[('coba', 'n'), ('pemerintah', 'n'), ('swiss', None), ('mari', 'n'), ('mengantisipasi', 'n'), ('covid', 'n'), ('sg', 'n'), ('goyang', 'n'), ('ubur', None), ('ubur', None), ('makan', 'n'), ('rawon', 'v'), ('nasi', None), ('kucing', 'v'), ('ubah', None), ('negaranya', None), ('jd', 'n'), ('bercuaca', 'n'), ('panas', 'n'), ('biar', 'n'), ('covid', 'n'), ('ga', 'n'), ('berkembang', 'n'), ('laksanakan', None), ('pilkada', 'n'), ('menekan', 'n'), ('covid', 'n'), ('tar', 'n'), ('klo', 'n'), ('korban', 'n'), ('pasien', 'n'), ('positif', 'n'), ('salahkan', None), ('aja', 'n'), ('rakyatnya', 'n')]",0
1609111293000.0,2020-12-28 06:21:33,558412554,arifin_alif,Kurupuk_Ojay🇮🇩,covid udah nyebar malah nyuruh tiktokan  makan nasi kucing  covid ga bisa msk swiss krn beriklim tropis  buka pariwisata diskon  bayar bazer  ,https://twitter.com/arifin_alif/status/1343336243539505152,"[('covid', 'n'), ('udah', None), ('nyebar', 'n'), ('nyuruh', None), ('tiktokan', None), ('makan', 'n'), ('nasi', 'n'), ('kucing', 'v'), ('covid', None), ('ga', 'n'), ('msk', 'n'), ('swiss', None), ('krn', 'n'), ('beriklim', 'n'), ('tropis', 'n'), ('buka', 'n'), ('pariwisata', 'n'), ('diskon', 'n'), ('bayar', 'n'), ('bazer', 'n')]",0
