created_at,date,user_id,username,name,tweet,link
1648171041000.0,2022-03-25 08:17:21,215099720,bdleonanda,Ir. Benny Dwika Leonanda,"Ada upaya membentuk nama-nama baru dengan menggabungkan nama varian-varian sebelumnya seperti Delmicron, son of omicron, dan nama-nama lainnya, tapi itu adalah nama non-formal, dan tidak diakui secara saintifik, atau formal.",https://twitter.com/bdleonanda/status/1507164703373807617
1648157915000.0,2022-03-25 04:38:35,231355136,SINDOnews,SINDOnews,"Tidak Mengkhawatirkan, Menkes Budi Gunadi Sebut Delmicron seperti Varian Lambda   #Sindonews #BukanBeritaBiasa . https://t.co/oEcBPuALb0",https://twitter.com/SINDOnews/status/1507109646548742146
1648035391000.0,2022-03-23 18:36:31,2656544672,mrchezzy,ᴊᴏɴ sɴᴏᴡ,Ada varian delmicron? Si delta ama si omicron seks bebas gitu?,https://twitter.com/mrchezzy/status/1506595745272532992
1647868231000.0,2022-03-21 20:10:31,86487030,nadiarlinda,four leaf clover,@chitrarubyjane Wkwkwkwk tapi tapi kentutku kan bau vanilla jadi sedih kemarin ga bisa cium🥲 varian delmicron keknya cit🤣🤣 aamiin citraa jugaa sehat2 yaa jangan sampe sakit lagii🥺,https://twitter.com/nadiarlinda/status/1505894626804133888
1647669991000.0,2022-03-19 13:06:31,1495036394947112961,MediaStatera,Statera Media siber,Menkes Budi Gunadi Jelaskan  Delmicron Seperti Varian Lambda  Tidak  Mengkhawatirkan  https://t.co/SNwt7DSYcT via @Stateranews,https://twitter.com/MediaStatera/status/1505063144624123904
1647525961000.0,2022-03-17 21:06:01,1324188902345748480,TempoeDoeloee,Tempoe Doeloe,"""Delmicron yang tadinya disebut-sebut sebagai gabungan dari varian delta dan varian omicron ternyata tidak benar.  #WaspadaDeltacron  https://t.co/B1UAgrsELi",https://twitter.com/TempoeDoeloee/status/1504459041916932101
1647525581000.0,2022-03-17 20:59:41,1264855698514436096,Anak_Senja90,Anak_Senja90,"""Delmicron yang tadinya disebut-sebut sebagai gabungan dari varian delta dan varian omicron ternyata tidak benar.  #WaspadaDeltacron  https://t.co/Rtidt3MwQL",https://twitter.com/Anak_Senja90/status/1504457446353301507
1647247928000.0,2022-03-14 15:52:08,84070879,DivAlFrmn,Diva Alfirman,Dulu bukannya dibilang ada varian Delmicron tapi ternyata ga sepenuhnya bener ya? Soalnya virus tuh ga bisa bergabung dan kawin segampang itu? . . . Ah sudahlah,https://twitter.com/DivAlFrmn/status/1503292884962852867
1647237156000.0,2022-03-14 12:52:36,1286499571649003522,AurelNovelia,Aurel Novelia,Delmicron yang tadinya disebut-sebut sebagai gabungan dari varian delta dan varian omicron ternyata tidak benar  https://t.co/Y2YcZDli2X #WaspadaDeltacron @mahesatiwi @BiLLRaY2019 @Paltiwest @LOVE_AG4EVER @ChusnulCh__ @Rizmaya__ @YRadianto @habibthink @firzahusainInc,https://twitter.com/AurelNovelia/status/1503247704394452996
1646926536000.0,2022-03-10 22:35:36,45809508,lindaikhsana,Linda Ikhsana,"Setiap baca berita tentang varian baru muncul, selalu terselip dalam hati ""akankah aku bisa selamat melewati masa ini?"" Semoga kmu bukan varian baru ya delmicron😔",https://twitter.com/lindaikhsana/status/1501944868628615172
1645640117000.0,2022-02-24 01:15:17,979394827,kalangi_lody,Lody Kalangi,"@MadebyL1zzy aneh2 ini penyakit, mungkin varian baru dri psikopat bermutasi kyak corona delmicron kali ya 😁",https://twitter.com/kalangi_lody/status/1496549237735440385
1645157479000.0,2022-02-18 11:11:19,142305302,tribunmedan,Tribun Medan,"Ada Lagi Delmicron, Varian Baru Gabungan Varian Delta dan Omicron? Begini Temuan Ahli Medis    https://t.co/FSFBbYzdus via @tribunmedan",https://twitter.com/tribunmedan/status/1494524905290821635
1645031467000.0,2022-02-17 00:11:07,1172187847224225792,nrhveeva,🧚🏽‍♀️,ini ada virus varian baru DELMICRON perkawinan antara “DELTA” dan “OMICRON”  ini yang jadi WO siapa?,https://twitter.com/nrhveeva/status/1493996374714904577
1644876143000.0,2022-02-15 05:02:23,1407926928397389828,arini_rizka,Rizka Arini,Pakar: Tetap Waspadai Varian Omicron Meski Gejalanya Ringan #covid #delmicron #florona #omicron  https://t.co/jFcxW9k2K7,https://twitter.com/arini_rizka/status/1493344897222381568
1644204369000.0,2022-02-07 10:26:09,1402456589613686784,Mbok_Ewett,Lilis Mbok Ewett,Besok anaknya disebut dengan delmicron terus punya varian baru lagi megatron habis itu cybertron dan mereka adalah kluarga bahagia transformers  https://t.co/GMej8QPEuV,https://twitter.com/Mbok_Ewett/status/1490527273895985152
1644039578000.0,2022-02-05 12:39:38,1407926928397389828,arini_rizka,Rizka Arini,"Hamil Tujuh Bulan, Siti Badriah Positif Covid-19 Varian Omicron #covid #delmicron #florona #omicron  https://t.co/xQRZZXov6u",https://twitter.com/arini_rizka/status/1489836089787707392
1643917514000.0,2022-02-04 02:45:14,499643600,jiunk_,ung,"Kemaren sempet bocor ada varian lanjutan, delmicron namanya. Udah gausah gimmick2 peringatan, emang settingan aja.",https://twitter.com/jiunk_/status/1489324116653998083
1643615572000.0,2022-01-31 14:52:52,236214632,AbuyPrat,Mohamad Agfar P,"Baru naik kasus omicron, skrg udah ada lagi aja Fusion Delta + Omicron jadi Delmicron 😂. Nanti ada lagi varian Megatron ,polytron ? 😂",https://twitter.com/AbuyPrat/status/1488057678949920769
1643611097000.0,2022-01-31 13:38:17,115544400,digimonbaik,Patamon,VARIAN BARU DELMICRON 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻☺️☺️☺️☺️☺️☺️,https://twitter.com/digimonbaik/status/1488038912773689353
