created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1653845097000.0,2022-05-30 00:24:57,1109052544796352513,AsyiFahmi,Fahmi Al Asyi فهمي الأشي,  vaksin itu bisnis dajjal,https://twitter.com/AsyiFahmi/status/1530963417477320704,"[('vaksin', 'n'), ('bisnis', 'n'), ('dajjal', 'n')]",0
1653843294000.0,2022-05-29 23:54:54,1334033424668008450,Kimberley20101,Kimberley, ngeri dan geram  tapi rakyat tak bisa berbuat banyak  semoga allah melindungi generasi bangsa ini dari efek jangka panjang vaksin bisnis para politisi ,https://twitter.com/Kimberley20101/status/1530955855004602369,"[('ngeri', None), ('geram', 'n'), ('rakyat', 'n'), ('berbuat', 'n'), ('semoga', 'n'), ('allah', 'n'), ('melindungi', 'n'), ('generasi', 'n'), ('bangsa', 'n'), ('efek', 'n'), ('jangka', 'n'), ('vaksin', 'n'), ('bisnis', 'n'), ('politisi', 'n')]",0
1653842527000.0,2022-05-29 23:42:07,215839128,hendra_roestoe,HendraRoestoeMulyana,saya lebih percaya kpd dr  siti fadilah supari  karena beliau juga yg membuka topeng virus flu burung dl untuk di jadikan lahan bisnis vaksin,https://twitter.com/hendra_roestoe/status/1530952637507506177,"[('percaya', 'n'), ('kpd', 'n'), ('dr', 'n'), ('siti', 'n'), ('fadilah', 'n'), ('supari', 'n'), ('beliau', 'n'), ('yg', 'n'), ('membuka', 'n'), ('topeng', 'n'), ('virus', 'n'), ('flu', 'n'), ('burung', 'n'), ('dl', 'n'), ('jadikan', 'n'), ('lahan', 'n'), ('bisnis', 'n'), ('vaksin', 'n')]",1
1653835993000.0,2022-05-29 21:53:13,1391273164731125760,FiinaDu,fina, bisnis ya  klo vaksin blm habis blm bisa balikin modal  jadi gasak sana sini  kejam  ,https://twitter.com/FiinaDu/status/1530925235100188672,"[('bisnis', 'n'), ('ya', None), ('klo', 'v'), ('vaksin', 'n'), ('blm', 'n'), ('habis', 'n'), ('blm', 'n'), ('balikin', None), ('modal', 'n'), ('gasak', 'n'), ('kejam', 'n')]",0
1653822454000.0,2022-05-29 18:07:34,606328025,kanitanafiza,💚Kanza💚🌄,rockefeller milyuner amerika terkenal semula jd pengusaha minyak lalu merambah dunia kesehatan farmasi yg bikin tambah kaya bill gates dr pebisnis software ke produksi obat vaksin jg nambah cuan berlipat  bisnis kesehatan akan trus ada n gurih cuannya kira  elon musk ikutan ga ,https://twitter.com/kanitanafiza/status/1530868448485863424,"[('rockefeller', 'n'), ('milyuner', 'n'), ('amerika', None), ('terkenal', None), ('jd', 'n'), ('pengusaha', 'n'), ('minyak', 'n'), ('merambah', 'n'), ('dunia', 'n'), ('kesehatan', 'n'), ('farmasi', 'n'), ('yg', 'n'), ('bikin', None), ('kaya', 'n'), ('bill', 'n'), ('gates', 'v'), ('dr', None), ('pebisnis', 'n'), ('software', 'n'), ('produksi', 'n'), ('obat', 'n'), ('vaksin', 'n'), ('jg', 'n'), ('nambah', None), ('cuan', None), ('berlipat', 'n'), ('bisnis', 'n'), ('kesehatan', 'v'), ('trus', 'n'), ('n', None), ('gurih', 'n'), ('cuannya', 'n'), ('elon', 'n'), ('musk', 'n'), ('ikutan', 'n'), ('ga', 'n')]",0
1653725462000.0,2022-05-28 15:11:02,1362243328276762626,wahiidin,wahiidin, smoga sj bukan jd bisnis  ada yg bilang klo bisnisnya senjata spy laku harus ada perang  takutnya jd gitu jg  ada bisnis vaksin tentunya harus ada penyakit  bisa disebut senjata biologis gak itu ya   entahlah ,https://twitter.com/wahiidin/status/1530461634774577152,"[('smoga', 'n'), ('sj', 'n'), ('jd', 'n'), ('bisnis', 'n'), ('yg', 'n'), ('bilang', 'n'), ('klo', 'v'), ('bisnisnya', None), ('senjata', 'n'), ('spy', 'v'), ('laku', None), ('perang', 'n'), ('takutnya', 'n'), ('jd', 'n'), ('gitu', 'n'), ('jg', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('penyakit', 'n'), ('senjata', 'v'), ('biologis', 'n'), ('gak', 'n'), ('ya', 'n')]",1
1653722924000.0,2022-05-28 14:28:44,1467654128029474816,RizkiarPP,Komando INti Rizky,  ane jawab beh   krena kalao anis komentar dan menolak vaksin  jabatan akan di pecat oleh mendagri ats printah presiden  krena menghalangi rezim berbisnis shingga mengorban kan nyawa rakyat sbgai tumbal bisnis mereka  jalan satu satunya adalah perlawanan dr rakyat indonesia  ,https://twitter.com/RizkiarPP/status/1530450987252858881,"[('ane', 'n'), ('beh', 'n'), ('krena', 'n'), ('kalao', 'n'), ('anis', 'n'), ('komentar', 'n'), ('menolak', 'n'), ('vaksin', 'n'), ('jabatan', 'n'), ('pecat', 'n'), ('mendagri', 'n'), ('ats', 'n'), ('printah', 'v'), ('presiden', None), ('krena', 'n'), ('menghalangi', 'n'), ('rezim', 'n'), ('berbisnis', 'n'), ('shingga', None), ('mengorban', 'n'), ('nyawa', None), ('rakyat', 'n'), ('sbgai', 'n'), ('tumbal', None), ('bisnis', 'n'), ('jalan', 'n'), ('satunya', 'n'), ('perlawanan', 'n'), ('dr', 'n'), ('rakyat', 'n'), ('indonesia', 'n')]",0
1653715912000.0,2022-05-28 12:31:52,1465587620616884230,MprAldo,BabehAldoMPR,bisnis luar biasa     vaksin udah siap dari          link      keluardariwho  keluardariwho  ,https://twitter.com/MprAldo/status/1530421576688369664,"[('bisnis', 'n'), ('vaksin', 'n'), ('udah', None), ('link', 'n'), ('keluardariwho', 'n'), ('keluardariwho', 'v')]",0
1653712053000.0,2022-05-28 11:27:33,118646322,Bisniscom,Bisnis.com,ini progres pembuatan vaksin penyakit mulut dan kuku  ,https://twitter.com/Bisniscom/status/1530405390441017345,"[('progres', 'n'), ('pembuatan', 'v'), ('vaksin', None), ('penyakit', 'n'), ('mulut', 'n'), ('kuku', 'n')]",0
1653710726000.0,2022-05-28 11:05:26,1528282299091275777,UmJihan69,Um Jihan, logikanya  kenapa ke afrika  afrika daya belinya gak ada   gimana mau buat bisnis vaksin  salah  malah suruh diminta bantuan  ,https://twitter.com/UmJihan69/status/1530399823932731392,"[('logikanya', 'n'), ('afrika', None), ('afrika', None), ('daya', None), ('belinya', None), ('gak', None), ('gimana', None), ('bisnis', 'n'), ('vaksin', 'n'), ('salah', 'n'), ('suruh', 'n'), ('bantuan', 'n')]",1
1653672274000.0,2022-05-28 00:24:34,1426251818527444992,KaiAndromeda,Mandroid|Kai,wajar   komnas ini ada hanya utk menguatkan bisnis vaksin ini terus berjalan mulus  ketika ada gugatan dipengadilan  komnas ini pasti jdi saksi pelindung negara  coba aja statementnya begini   rata rata pasien meninggal setelah di vaksin  lbp   bubarkan komnas kipi  ,https://twitter.com/KaiAndromeda/status/1530238547902734336,"[('wajar', 'n'), ('komnas', 'n'), ('utk', None), ('menguatkan', 'n'), ('bisnis', 'n'), ('vaksin', 'n'), ('berjalan', 'n'), ('mulus', None), ('gugatan', 'n'), ('dipengadilan', 'n'), ('komnas', None), ('jdi', 'n'), ('saksi', 'n'), ('pelindung', 'n'), ('negara', 'n'), ('coba', 'n'), ('aja', 'n'), ('statementnya', 'n'), ('pasien', 'n'), ('meninggal', None), ('vaksin', 'n'), ('lbp', 'n'), ('bubarkan', 'n'), ('komnas', 'n'), ('kipi', 'v')]",1
