created_at,date,user_id,username,name,tweet,link,POS tagged,Label
1659109204000.0,2022-07-29 22:40:04,1257562492324114432,bemfkm_unhas,BEM FKM UNHAS, press release   hai teman teman mahasiswa kesehatan masyarakat   covid    merupakan penyakit akibat infeksi virus sars  cov   yang  menginfeksi sistem pernapasan sehingga dapat menyebabkan kematian   ,https://twitter.com/bemfkm_unhas/status/1553042681877909504,"[('press', 'n'), ('release', 'n'), ('hai', None), ('teman', None), ('teman', 'n'), ('mahasiswa', 'n'), ('kesehatan', 'n'), ('masyarakat', 'n'), ('covid', 'n'), ('penyakit', 'n'), ('akibat', 'n'), ('infeksi', 'n'), ('virus', 'n'), ('sars', 'n'), ('cov', 'v'), ('menginfeksi', None), ('sistem', 'n'), ('pernapasan', None), ('menyebabkan', 'n'), ('kematian', 'n')]",1
1659017314000.0,2022-07-28 21:08:34,974822094591574019,inawrldlikethis,anu struggle tweet,pemerintah sekarang peka karena pandemi covid    ini prediksinya berakhir agak lama  then ketidakteraturan selalu meningkat yang bisa menyebabkan virusnya trs bermutasi  dan ikuti aja lah lagian bukti vaksinasi sudah terpampang jelas bisa mereduksi jumlah kematian      gratis jg,https://twitter.com/inawrldlikethis/status/1552657266993930240,"[('pemerintah', 'n'), ('peka', 'n'), ('pandemi', 'n'), ('covid', 'n'), ('prediksinya', 'n'), ('then', 'r'), ('ketidakteraturan', 'v'), ('meningkat', 'n'), ('menyebabkan', 'n'), ('virusnya', 'n'), ('trs', 'n'), ('bermutasi', 'n'), ('ikuti', 'n'), ('aja', 'n'), ('bukti', 'n'), ('vaksinasi', 'n'), ('terpampang', 'n'), ('mereduksi', 'n'), ('kematian', None), ('gratis', 'n'), ('jg', 'n')]",1
1658970405000.0,2022-07-28 08:06:45,1031549094,andikceritanya,andikceritanya,di mana menurut who ada      juta org meninggal akibat penyakit tbc di thn       penyakit ini mjd penyakit dg urutan ke    lho yg plg banyak menyebabkan kematian  dan mjd penyakit menular nomer   yg plg mematikan setelah covid      ayolawantbc,https://twitter.com/andikceritanya/status/1552460519835320321,"[('who', None), ('juta', 'n'), ('org', None), ('meninggal', None), ('akibat', 'n'), ('penyakit', 'n'), ('tbc', 'n'), ('thn', 'n'), ('penyakit', 'n'), ('mjd', 'n'), ('penyakit', 'n'), ('dg', 'n'), ('urutan', None), ('lho', 'n'), ('yg', 'n'), ('plg', 'n'), ('menyebabkan', 'n'), ('kematian', None), ('mjd', 'n'), ('penyakit', 'n'), ('menular', None), ('nomer', 'n'), ('yg', 'n'), ('plg', 'n'), ('mematikan', 'n'), ('covid', 'n'), ('ayolawantbc', 'n')]",1
1658718131000.0,2022-07-25 10:02:11,91965564,harakahdailyHD,Harakahdaily | الحركة,rokok boleh menyebabkan penyakit kepada pengguna dan orang yang berada di sekelilingnya               status covid        julai       kes sembuh         kes baharu positif            import  jumlah kes positif             kes kematian        bid  kes aktif                    ,https://twitter.com/harakahdailyHD/status/1551402403144278017,"[('rokok', 'n'), ('menyebabkan', None), ('penyakit', 'n'), ('pengguna', 'n'), ('orang', 'n'), ('sekelilingnya', 'n'), ('status', 'n'), ('covid', 'n'), ('julai', 'n'), ('kes', 'n'), ('sembuh', 'v'), ('kes', 'n'), ('baharu', 'v'), ('positif', None), ('import', 'n'), ('kes', 'n'), ('positif', 'v'), ('kes', 'n'), ('kematian', None), ('bid', 'n'), ('kes', 'n'), ('aktif', 'v')]",1
1658556655000.0,2022-07-23 13:10:55,1249972882626637824,lawancovid19_id,KPCPEN #PakaiMasker,beredar video menampilkan pernyataan bahwa vaksin covid    yang telah diberikan kepada masyarakat indonesia merupakan vaksin yang belum dilakukan pengujian dan dapat menyebabkan kematian   ,https://twitter.com/lawancovid19_id/status/1550725124231286784,"[('beredar', 'n'), ('video', 'n'), ('menampilkan', 'n'), ('pernyataan', 'n'), ('vaksin', 'n'), ('covid', 'n'), ('masyarakat', 'n'), ('indonesia', 'n'), ('vaksin', 'n'), ('pengujian', None), ('menyebabkan', 'n'), ('kematian', 'n')]",1
1657336331000.0,2022-07-09 10:12:11,755673247660650497,kominfodiy,Kominfo DIY,lelaki tersebut membuat pernyataan tentang vaksin covid    yang telah diberikan kepada mayoritas masyarakat indonesia  seperti vaksin sinovac  pfizer  moderna  dan astrazeneca  merupakan vaksin yang belum dilakukan pengujian dan dapat menyebabkan kematian ,https://twitter.com/kominfodiy/status/1545606715735146496,"[('lelaki', 'n'), ('pernyataan', 'n'), ('vaksin', 'n'), ('covid', 'n'), ('mayoritas', 'n'), ('masyarakat', 'v'), ('indonesia', None), ('vaksin', 'n'), ('sinovac', 'n'), ('pfizer', 'n'), ('moderna', None), ('astrazeneca', 'n'), ('vaksin', 'n'), ('pengujian', None), ('menyebabkan', 'n'), ('kematian', 'n')]",1
1656751190000.0,2022-07-02 15:39:50,1530790391049441280,dinagustavsson,Dina NataliaLee,dr  robert malone penemu teknologi mrna yang digunakan oleh pfizer dan moderna untuk mengembangkan covid     semakin banyak dosis yang anda terima  akan semakin tinggi resiko anda terinfeksi penyakit yang kemungkinan bisa menyebabkan kematian  ,https://twitter.com/dinagustavsson/status/1543152456174972928,"[('dr', 'n'), ('robert', 'n'), ('malone', 'n'), ('penemu', 'n'), ('teknologi', 'n'), ('mrna', 'n'), ('pfizer', 'n'), ('moderna', 'n'), ('mengembangkan', 'n'), ('covid', 'n'), ('dosis', 'n'), ('terima', 'n'), ('resiko', 'n'), ('terinfeksi', 'n'), ('penyakit', 'n'), ('menyebabkan', 'n'), ('kematian', 'n')]",1
1656399241000.0,2022-06-28 13:54:01,22126902,republikaonline,Republika.co.id,covid    secara resmi telah menyebabkan kematian lebih dari     juta orang   ,https://twitter.com/republikaonline/status/1541676273122308096,"[('covid', 'n'), ('resmi', 'n'), ('menyebabkan', 'n'), ('kematian', None), ('juta', 'n'), ('orang', 'n')]",1
1655775391000.0,2022-06-21 08:36:31,2899430220,bowosusilo94,Bowo Susilo,fyi ya gengs  penyakit tbc merupakan penyakit dengan urutan ke    yang paling banyak menyebabkan kematian  dan menjadi penyakit menular nomor dua yang paling mematikan setelah covid     bersamalawantbc,https://twitter.com/bowosusilo94/status/1539059656739368960,"[('fyi', 'n'), ('ya', 'n'), ('gengs', 'n'), ('penyakit', 'v'), ('tbc', None), ('penyakit', 'n'), ('urutan', None), ('menyebabkan', None), ('kematian', None), ('penyakit', 'n'), ('menular', None), ('nomor', 'n'), ('mematikan', None), ('covid', 'n'), ('bersamalawantbc', 'n')]",1
1655774627000.0,2022-06-21 08:23:47,86970239,WiedWidya,Wiwied Widya,masi dr data who  penyakit tbc merupakan urutan ke    yang paling banyak menyebabkan kematian  dan jd penyakit menular ke   yg paling mematikan setelah covid     bersamalawantbc,https://twitter.com/WiedWidya/status/1539056452106846208,"[('masi', 'n'), ('dr', 'n'), ('data', 'n'), ('who', None), ('penyakit', 'v'), ('tbc', None), ('urutan', None), ('menyebabkan', None), ('kematian', None), ('jd', 'n'), ('penyakit', 'n'), ('menular', None), ('yg', 'n'), ('mematikan', None), ('covid', 'n'), ('bersamalawantbc', 'n')]",1
