created_at,date,user_id,username,name,tweet,link
1658223619000.0,2022-07-19 16:40:19,1444353323264462848,SlametKasan,Slamet Suhandoko Kasan Widjoyo,@achmadbuzrizal @tuti_embeeeeer @ardisaputro1999 @stopplandemit virus covid-19=sars=h5n1=h1n 1 berawal dari negara china tiongkok semuanya itu berasal,https://twitter.com/SlametKasan/status/1549328268863881217
1657625273000.0,2022-07-12 18:27:53,1488712320495009792,SekuritasBahana,Bahana Sekuritas,"pandemi covid-19 memang berasal dari china dan kini kembali merebak di china. terkait covid-19, pemerintah china punya langkah tegas dalam menangani wabah lewat kebijakan nol-covid.",https://twitter.com/SekuritasBahana/status/1546818626220539906
1657012560000.0,2022-07-05 16:16:00,241936971,FitRadioBandung,94.8 FM FIT Radio Bandung,"mui mengeluarkan fatwa menetapkan vaksin covid-19 buatan cansino china, convidecia, adalah haram.  hal ini dikarenakan dalam proses produksi vaksin cansino ternyata memanfaatkan bagian tubuh manusia, yaitu sel yg berasal dari ginjal embrio bayi manusia.  #staysafe #stayfitforlife  https://t.co/3sszuulwyy",https://twitter.com/FitRadioBandung/status/1544248719939362821
1656701475000.0,2022-07-02 01:51:15,980097559736721408,AlbertSolo2,Albert Solo,"badan kesehatan dunia who hingga saat ini masih melakukan penyelidikan terkait dari mana asal muasal virus corona atau covid-19 tersebut berasal, selama ini, sejumlah negara barat seperti amerika serikat dan uni eropa menuduh china adalah negara asal covid-19 tersebut.",https://twitter.com/AlbertSolo2/status/1542943936640978944
1656480507000.0,2022-06-29 12:28:27,1385409536148729858,OmegaF1998,Omega1998,"@b_dzoel @ownerradikal1 @dina4rtya tka aseng yang berasal dari china(awal mula covid) didatangkan lalu rakyat difitnah sebagai penyebar covid  migor langka, rakyat yang difitnah sebagai biang kelangkaan migor #bukadraftrkuhp  #bukadraftrkuhp",https://twitter.com/OmegaF1998/status/1542017129725427712
1656151930000.0,2022-06-25 17:12:10,980097559736721408,AlbertSolo2,Albert Solo,kasus harian covid-19 di wilayah khusus makau china kembali melonjak.akibatnya pemerintah negara bekas protektorat portugal tersebut kembali menutup semua bisnis kecuali rumah judi di negara tersebut.penghasilan utama makau china memang berasal dari pajak rumah judi.,https://twitter.com/AlbertSolo2/status/1540638977702895617
1655447199000.0,2022-06-17 13:26:39,980097559736721408,AlbertSolo2,Albert Solo,"antisipasi masuknya virus omicron yang berasal dari luar korea utara, pemerintah korea utara larang keras warga negara asing, masuk ke wilayah mereka, termasuk turis asal china dan russia, yang merupakan sekutu terdekat korea utara, sejak dulu.korea utara darurat covid-19",https://twitter.com/AlbertSolo2/status/1537683121688104960
1654384829000.0,2022-06-05 06:20:29,459817858,mawardinurullah,HIPOTESIS,neocov disebut-sebut sebagai varian baru dari covid-19 usai era omicron. varian ini dilaporkan berasal dari china. apakah kejang² berdarah yg akhir² ini melanda china berasal dr neocov?,https://twitter.com/mawardinurullah/status/1533227217995845632
1651067598000.0,2022-04-27 20:53:18,1450764175341277187,hazelhartley_,Azel,"ni virus namanya covid soalnya berasal dari china, kalo dari bandung namanya jadi kangvid.",https://twitter.com/hazelhartley_/status/1519313743838330881
1650765607000.0,2022-04-24 09:00:07,1298198664100212736,GoodDoggo107,Good Doggo,"covid-19: tiongkok daratan (mainland china) melaporkan 39 kasus kematian harian covid-19, semua berasal dari shanghai. ini merupakan peningkatan kematian harian terbesar sejak wabah wuhan 2020 lalu, kasus harian bergejala berada di 1,580, terendah dalam 2 minggu terakhir.",https://twitter.com/GoodDoggo107/status/1518047101741010944
