created_at,date,user_id,username,name,tweet,link,tweet_preproc
1656633254000.0,2022-07-01 06:54:14,1386763327527800832,atiduduwesi,Sepele,kasus covid semakin menurun memunculkan optimisme ekonomi akan kembali bergerak presidensi  indonesia diharapkan mampu mendorong pemulihan sektor pariwisata,https://twitter.com/atiduduwesi/status/1542657796939796480,"['kasus', 'covid', 'makin', 'turun', 'muncul', 'optimisme', 'ekonomi', 'akan', 'kembali', 'gerak', 'presidensi', 'indonesia', 'harap', 'mampu', 'dorong', 'pulih', 'sektor', 'pariwisata']"
1656633013000.0,2022-07-01 06:50:13,1488298069129297924,NoviRoose,Novi Roose,kasus covid semakin menurun memunculkan optimisme ekonomi akan kembali bergerak,https://twitter.com/NoviRoose/status/1542656784753500162,"['kasus', 'covid', 'makin', 'turun', 'muncul', 'optimisme', 'ekonomi', 'akan', 'kembali', 'gerak']"
1656632998000.0,2022-07-01 06:49:58,1479239414857408513,nvroost,Nvroost,kasus covid semakin menurun memunculkan optimisme ekonomi akan kembali bergerak,https://twitter.com/nvroost/status/1542656724410044416,"['kasus', 'covid', 'makin', 'turun', 'muncul', 'optimisme', 'ekonomi', 'akan', 'kembali', 'gerak']"
1656630351000.0,2022-07-01 06:05:51,1479223936101470209,TremmorB,TremmorBanget,kasus covid yang semakin menurun memunculkan optimisme ekonomi akan kembali bergerak,https://twitter.com/TremmorB/status/1542645620560629761,"['kasus', 'covid', 'yang', 'makin', 'turun', 'muncul', 'optimisme', 'ekonomi', 'akan', 'kembali', 'gerak']"
1656630105000.0,2022-07-01 06:01:45,1510144662312402944,Arrayaa17,Arrayaa,angka kasus covid semakin menurun hal ini memunculkan optimisme pemerintah,https://twitter.com/Arrayaa17/status/1542644588728717315,"['angka', 'kasus', 'covid', 'makin', 'turun', 'hal', 'ini', 'muncul', 'optimisme', 'perintah']"
1656630080000.0,2022-07-01 06:01:20,1516741198425206787,Lulalolipop3,Lulalolipop,pastinya kasus covid yang semakin menurun memunculkan optimisme bahwa ekonomi akan kembali bergerak,https://twitter.com/Lulalolipop3/status/1542644485418414081,"['pasti', 'kasus', 'covid', 'yang', 'makin', 'turun', 'muncul', 'optimisme', 'bahwa', 'ekonomi', 'akan', 'kembali', 'gerak']"
1656630041000.0,2022-07-01 06:00:41,1494828349625024512,Hyenn20,Hyenn,kasus covid yang semakin menurun memunculkan optimisme bahwa ekonomi akan kembali bergerak,https://twitter.com/Hyenn20/status/1542644319139397633,"['kasus', 'covid', 'yang', 'makin', 'turun', 'muncul', 'optimisme', 'bahwa', 'ekonomi', 'akan', 'kembali', 'gerak']"
1656630039000.0,2022-07-01 06:00:39,1379331515243393025,Juan92410252,Juan,kasus covid yg semakin menurun memunculkan optimisme ekonomi akan kembali bergerak,https://twitter.com/Juan92410252/status/1542644310570504192,"['kasus', 'covid', 'yang', 'makin', 'turun', 'muncul', 'optimisme', 'ekonomi', 'akan', 'kembali', 'gerak']"
1656630002000.0,2022-07-01 06:00:02,1444998456213311488,Vivi99vi,Vivi,kasus covid yang semakin menurun memunculkan optimisme akan kembali bergeraknya perekonomianpemerintah juga berkomitmen untuk terus mendorong umkm dan mendorong masyarakat,https://twitter.com/Vivi99vi/status/1542644156316602368,"['kasus', 'covid', 'yang', 'makin', 'turun', 'muncul', 'optimisme', 'akan', 'kembali', 'gerak', 'perekonomianpemerintah', 'juga', 'komitmen', 'untuk', 'terus', 'dorong', 'umkm', 'dan', 'dorong', 'masyarakat']"
1656630002000.0,2022-07-01 06:00:02,1464767698555052036,BeckleyPringgan,Beckley Pringganti,kasus covid yang semakin menurun memunculkan optimisme ekonomi akan kembali bergerak,https://twitter.com/BeckleyPringgan/status/1542644155351912448,"['kasus', 'covid', 'yang', 'makin', 'turun', 'muncul', 'optimisme', 'ekonomi', 'akan', 'kembali', 'gerak']"
