created_at,date,user_id,username,name,tweet,link,tweet_preproc
1595919813000.0,2020-07-28 14:03:33,47596019,liputan6dotcom,LIPUTAN6,foto psbb dilonggarkan pasar apartemen sewa masih tertekan,https://twitter.com/liputan6dotcom/status/1288007165932797954,"['foto', 'psbb', 'longgar', 'pasar', 'apartemen', 'sewa', 'masih', 'tekan']"
1595913243000.0,2020-07-28 12:14:03,47596019,liputan6dotcom,LIPUTAN6,belanja pemerintah terganggu kebijakan psbb,https://twitter.com/liputan6dotcom/status/1287979609661665286,"['belanja', 'perintah', 'ganggu', 'bijak', 'psbb']"
1595493904000.0,2020-07-23 15:45:04,47596019,liputan6dotcom,LIPUTAN6,survei indikator politik pengusaha dan masyarakat kompak minta psbb dihentikan,https://twitter.com/liputan6dotcom/status/1286220774269808641,"['survei', 'indikator', 'politik', 'usaha', 'dan', 'masyarakat', 'kompak', 'minta', 'psbb', 'henti']"
1595294134000.0,2020-07-21 08:15:34,47596019,liputan6dotcom,LIPUTAN6,sejumlah kota di indonesia kerja sama dengan waze untuk pantau psbb,https://twitter.com/liputan6dotcom/status/1285382880349184000,"['jumlah', 'kota', 'di', 'indonesia', 'kerja', 'sama', 'dengan', 'waze', 'untuk', 'pantau', 'psbb']"
1595246705000.0,2020-07-20 19:05:05,47596019,liputan6dotcom,LIPUTAN6,relaksasi psbb jumlah pasien suspect covid yang dirujuk ke rshs meningkat,https://twitter.com/liputan6dotcom/status/1285183946821480448,"['relaksasi', 'psbb', 'jumlah', 'pasien', 'suspect', 'covid', 'yang', 'rujuk', 'ke', 'rshs', 'tingkat']"
1595226813000.0,2020-07-20 13:33:33,47596019,liputan6dotcom,LIPUTAN6,video pemberlakuan kembali psbb di amerika,https://twitter.com/liputan6dotcom/status/1285100515823505408,"['video', 'laku', 'kembali', 'psbb', 'di', 'amerika']"
1595200263000.0,2020-07-20 06:11:03,47596019,liputan6dotcom,LIPUTAN6,masa psbb proporsional bodebek diperpanjang hingga agustus,https://twitter.com/liputan6dotcom/status/1284989155777232896,"['masa', 'psbb', 'proporsional', 'bodebek', 'panjang', 'hingga', 'agustus']"
1594952523000.0,2020-07-17 09:22:03,47596019,liputan6dotcom,LIPUTAN6,denda pelanggaran psbb di jakarta capai rp miliar,https://twitter.com/liputan6dotcom/status/1283950059986415619,"['denda', 'langgar', 'psbb', 'di', 'jakarta', 'capai', 'rp', 'miliar']"
1594942442000.0,2020-07-17 06:34:02,47596019,liputan6dotcom,LIPUTAN6,meski psbb diperpanjang hingga juli pemkab bogor beri kelonggaran aturan,https://twitter.com/liputan6dotcom/status/1283907775290937344,"['meski', 'psbb', 'panjang', 'hingga', 'juli', 'pemkab', 'bogor', 'beri', 'longgar', 'atur']"
1594912927000.0,2020-07-16 22:22:07,47596019,liputan6dotcom,LIPUTAN6,psbb transisi diperpanjang anies tunda operasional bioskop hingga tempat hiburan,https://twitter.com/liputan6dotcom/status/1283783981482209281,"['psbb', 'transisi', 'panjang', 'anies', 'tunda', 'operasional', 'bioskop', 'hingga', 'tempat', 'hibur']"
1594905362000.0,2020-07-16 20:16:02,47596019,liputan6dotcom,LIPUTAN6,anies kembali perpanjang psbb masa transisi selama pekan,https://twitter.com/liputan6dotcom/status/1283752251824017408,"['anies', 'kembali', 'panjang', 'psbb', 'masa', 'transisi', 'lama', 'pekan']"
1594903682000.0,2020-07-16 19:48:02,47596019,liputan6dotcom,LIPUTAN6,disparekraf dki segel tempat hiburan selama psbb transisi,https://twitter.com/liputan6dotcom/status/1283745207570190337,"['disparekraf', 'dki', 'segel', 'tempat', 'hibur', 'lama', 'psbb', 'transisi']"
1594691522000.0,2020-07-14 08:52:02,47596019,liputan6dotcom,LIPUTAN6,langgar psbb transisi restoran makanan jepang di jakbar didenda rp juta,https://twitter.com/liputan6dotcom/status/1282855341345009666,"['langgar', 'psbb', 'transisi', 'restoran', 'makan', 'jepang', 'di', 'jakbar', 'denda', 'rp', 'juta']"
1594681502000.0,2020-07-14 06:05:02,47596019,liputan6dotcom,LIPUTAN6,politikus pdip pesimistis dki jakarta bisa terapkan kembali psbb,https://twitter.com/liputan6dotcom/status/1282813317031981056,"['politikus', 'pdip', 'pesimistis', 'dki', 'jakarta', 'bisa', 'terap', 'kembali', 'psbb']"
1594631852000.0,2020-07-13 16:17:32,47596019,liputan6dotcom,LIPUTAN6,anies kasus baru covid muncul selama psbb transisi,https://twitter.com/liputan6dotcom/status/1282605065933447169,"['anies', 'kasus', 'baru', 'covid', 'muncul', 'lama', 'psbb', 'transisi']"
1594628792000.0,2020-07-13 15:26:32,47596019,liputan6dotcom,LIPUTAN6,kasus covid melonjak dprd dki minta anies perpanjang psbb,https://twitter.com/liputan6dotcom/status/1282592233976291329,"['kasus', 'covid', 'lonjak', 'dprd', 'dki', 'minta', 'anies', 'panjang', 'psbb']"
1594623966000.0,2020-07-13 14:06:06,47596019,liputan6dotcom,LIPUTAN6,psbb diperpanjang skytrain bandara soetta tetap tak beroperasi,https://twitter.com/liputan6dotcom/status/1282571991787028480,"['psbb', 'panjang', 'skytrain', 'bandara', 'soetta', 'tetap', 'tak', 'operasi']"
1594606141000.0,2020-07-13 09:09:01,47596019,liputan6dotcom,LIPUTAN6,meski psbb tangerang diperpanjang pemda beri sejumlah kelonggaran,https://twitter.com/liputan6dotcom/status/1282497229987606529,"['meski', 'psbb', 'tangerang', 'panjang', 'pemda', 'beri', 'jumlah', 'longgar']"
1594604222000.0,2020-07-13 08:37:02,47596019,liputan6dotcom,LIPUTAN6,ingin jadi zona hijau alasan psbb tangerang raya diperpanjang,https://twitter.com/liputan6dotcom/status/1282489179167879169,"['ingin', 'jadi', 'zona', 'hijau', 'alas', 'psbb', 'tangerang', 'raya', 'panjang']"
1594601883000.0,2020-07-13 07:58:03,47596019,liputan6dotcom,LIPUTAN6,metro sepekan pesan terakhir editor metro tv hingga psbb tangerang raya diperpanjang,https://twitter.com/liputan6dotcom/status/1282479368111943680,"['metro', 'pek', 'pesan', 'akhir', 'editor', 'metro', 'tv', 'hingga', 'psbb', 'tangerang', 'raya', 'panjang']"
1594546024000.0,2020-07-12 16:27:04,47596019,liputan6dotcom,LIPUTAN6,psbb tangerang raya kembali diperpanjang hingga juli,https://twitter.com/liputan6dotcom/status/1282245080007405568,"['psbb', 'tangerang', 'raya', 'kembali', 'panjang', 'hingga', 'juli']"
1594519862000.0,2020-07-12 09:11:02,47596019,liputan6dotcom,LIPUTAN6,mulai buka saat psbb ini waktu operasional pusat kebugaran hingga lapangan golf,https://twitter.com/liputan6dotcom/status/1282135348034678790,"['mulai', 'buka', 'saat', 'psbb', 'ini', 'waktu', 'operasional', 'pusat', 'bugar', 'hingga', 'lapang', 'golf']"
1594366023000.0,2020-07-10 14:27:03,47596019,liputan6dotcom,LIPUTAN6,kasus baru covid melonjak ketua mpr minta daerah ini kembali terapkan psbb,https://twitter.com/liputan6dotcom/status/1281490098865836032,"['kasus', 'baru', 'covid', 'lonjak', 'ketua', 'mpr', 'minta', 'daerah', 'ini', 'kembali', 'terap', 'psbb']"
1594339713000.0,2020-07-10 07:08:33,47596019,liputan6dotcom,LIPUTAN6,beroperasi di masa psbb tempat karaoke di cilandak didenda rp juta,https://twitter.com/liputan6dotcom/status/1281379748984131584,"['operasi', 'di', 'masa', 'psbb', 'tempat', 'karaoke', 'di', 'cilandak', 'denda', 'rp', 'juta']"
1594210356000.0,2020-07-08 19:12:36,47596019,liputan6dotcom,LIPUTAN6,foto psbb transisi penjualan sambel dalam kemasan turun persen,https://twitter.com/liputan6dotcom/status/1280837186078732288,"['foto', 'psbb', 'transisi', 'jual', 'sambel', 'dalam', 'kemas', 'turun', 'persen']"
1594168112000.0,2020-07-08 07:28:32,47596019,liputan6dotcom,LIPUTAN6,disparekraf dki peringatkan diskotek top one karena buka di masa psbb,https://twitter.com/liputan6dotcom/status/1280660000650620928,"['disparekraf', 'dki', 'ingat', 'diskotek', 'top', 'one', 'karena', 'buka', 'di', 'masa', 'psbb']"
1594163822000.0,2020-07-08 06:17:02,47596019,liputan6dotcom,LIPUTAN6,pelanggar psbb di mangga besar dan gondangdia ditindak tegas,https://twitter.com/liputan6dotcom/status/1280642007128395776,"['langgar', 'psbb', 'di', 'mangga', 'besar', 'dan', 'gondangdia', 'tindak', 'tegas']"
1594109763000.0,2020-07-07 15:16:03,47596019,liputan6dotcom,LIPUTAN6,selain bioskop warga juga boleh nobar saat psbb transisi dki,https://twitter.com/liputan6dotcom/status/1280415266485104642,"['selain', 'bioskop', 'warga', 'juga', 'boleh', 'nobar', 'saat', 'psbb', 'transisi', 'dki']"
1594102624000.0,2020-07-07 13:17:04,47596019,liputan6dotcom,LIPUTAN6,pt kci juli jumlah pengguna krl capai rekor tertinggi selama psbb transisi,https://twitter.com/liputan6dotcom/status/1280385323034308610,"['pt', 'kci', 'juli', 'jumlah', 'guna', 'krl', 'capai', 'rekor', 'tinggi', 'lama', 'psbb', 'transisi']"
