created_at,date,user_id,username,name,tweet,link
1658380113000.0,2022-07-21 12:08:33,995850815184105472,aduankonten,aduankonten,"Sobatkom, pada 20 Juli 2022 kasus harian Covid-19 bertambah 5.653 kasus. Lindungi diri dengan vaksinasi dan selalu memakai masker di dalam dan di luar ruangan. Selain itu, penting juga nih untuk melindungi diri kita dari [HOAKS] dan [DISINFORMASI]. Yuk, #CekFakta-nya👇 #covid19  https://t.co/z9ztQJya0G",https://twitter.com/aduankonten/status/1549984653268090880
1658140943000.0,2022-07-18 17:42:23,1472029225,henizt,runi,untuk melindungi diri sendiri maupun orang di sekitar kita agar terhindar dari bahaya Covid-19 jangan lupa untuk selalu memakai masker ya #HumanisSigapMelayani Tumbuh Harapan Kepedulian  https://t.co/g2dF65vno8,https://twitter.com/henizt/status/1548981501068341248
1658115273000.0,2022-07-18 10:34:33,1388895911137353732,ykri_org,Yayasan Kausa Resiliensi Indonesia,"Halo Sobat Resilient, tahukah kamu? Ternyata masker sekali pakai yang sering kita gunakan untuk melindungi diri kita dari virus Covid-19 limbahnya memiliki dampak yang buruk bagi lingkungan loh, karena bahan utama dari pembuatan masker ini adalah polipropilen atau salah satu  https://t.co/Mr46rQ2I2h",https://twitter.com/ykri_org/status/1548873835557953536
1658024260000.0,2022-07-17 09:17:40,1272953532535062529,chinta_chintata,💕Indomiee Seleraku ❤️,@kalla_jengking Tetap pakai Masker BESTie untuk melindungi diri dari Covid 19 #SegeraBoosterPerketatProkes Minggu Pagi,https://twitter.com/chinta_chintata/status/1548492099674206216
1657766199000.0,2022-07-14 09:36:39,1508689475324772357,FauzanWibowow,Fauzan Wibowo,gunakan masker untuk melindungi diri dari bahaya virus Covid 19 di wilayah SUmut......  https://t.co/PLV2gVpbVZ,https://twitter.com/FauzanWibowow/status/1547409711707803649
1657766069000.0,2022-07-14 09:34:29,1508674217226559488,IrfanMaulagih,Irfan Maulana,gunakan masker ntuk melindungi diri dari bahaya virus Covid 19 di wilayah Sumut … …  https://t.co/wh8gk4j7yg,https://twitter.com/IrfanMaulagih/status/1547409167333224453
1657765824000.0,2022-07-14 09:30:24,1508351424685494273,WisnuHerdiano,Wisnu Herdian,gunakan masker untuk melindungi diri dari bahaya virus Covid 19 di wilayah SUmut......  https://t.co/MHCUrjsbwT,https://twitter.com/WisnuHerdiano/status/1547408137648451584
1657765714000.0,2022-07-14 09:28:34,1508306209719599106,GalihPrasojoss,Galih Prasojo,gunakan masker ntuk melindungi diri dari bahaya virus Covid 19 di wilayah Sumut … …  https://t.co/VK66NhsTRM,https://twitter.com/GalihPrasojoss/status/1547407676589903873
1657765466000.0,2022-07-14 09:24:26,1528757654511702017,RKasmirah,Ratna Kasmirah,gunakan masker untuk melindungi diri dari bahaya virus Covid 19 di wilayah SUmut......  https://t.co/XDMBCsu6Y5,https://twitter.com/RKasmirah/status/1547406635962101761
1657765119000.0,2022-07-14 09:18:39,1466637003995312130,MLindazahra,Mala Lindazahra,gunakan masker untuk melindungi diri dari bahaya virus Covid 19 di wilayah SUmut......  https://t.co/TV0Qb6Uf3I,https://twitter.com/MLindazahra/status/1547405180655677440
1657232896000.0,2022-07-08 05:28:16,1498040684485681152,teleklencung6,🇺🇸🇺🇸🇺🇸telek lencung 🇺🇲🇺🇸🇺🇲,"@dr_koko28 Terkadang rakyat kita jg ndablek nggak mau pake masker, pake masker itu wajib guna melindungi diri dan orang laen dari covid",https://twitter.com/teleklencung6/status/1545172878706233344
1657096066000.0,2022-07-06 15:27:46,15682472,piotrj,Piotr Jakubowski,Gara2 di Jakarta sudah PPKM Level 2 (or not) ini adalah cara untuk melindungi diri sendiri dari resiko penularan COVID.  Saya pribadi pakai masker 3M 9210 (bukan earloop) agar ada fit lebih tight.,https://twitter.com/piotrj/status/1544598970650861569
1656910046000.0,2022-07-04 11:47:26,1079671739364167680,lampungpostid,LampungPostId,"MASKER adalah tameng atau perisai yang tujuannya untuk melindungi diri dari serangan musuh. Kalau pada masa peperangan, musuh adalah lawan perang, maka kala pandemi Covid-19, musuhnya adalah virus corona.   #Masker #Pakaimasker #COVID19  #lampungpostid  https://t.co/Q6uKwutqXQ",https://twitter.com/lampungpostid/status/1543818747664044032
1656813862000.0,2022-07-03 09:04:22,2907040202,Anggita_lung,Loli,@KangCendol_33 @TaniaRozi Masker bisa  melindungi diri kita  dari  penularan covid-19  #TetapWaspadaTerapkanProkes #TimnasDay,https://twitter.com/Anggita_lung/status/1543415320928342017
1656119304000.0,2022-06-25 08:08:24,4863077292,polresjembrana,Polres Jembrana,“Ops Patuh Agung”  Gunakan Masker Untuk Melindungi Diri Dari Birus Covid-19  #polresjembrana  #opspatuhagung2022  https://t.co/0d1GygQwJk,https://twitter.com/polresjembrana/status/1540502131962425344
1655985731000.0,2022-06-23 19:02:11,1339459184769691648,scaramouczhe,Q,"Dianjurkan bahagia, seperti masker, untuk melindungi diri dari Covid-19. Tentu saja ada orang yang memilih tidak melakukannya karena berbagai alasan",https://twitter.com/scaramouczhe/status/1539941889805549569
1655852125000.0,2022-06-22 05:55:25,68304724,fahiraidris,Fahira Idris DPD RI,"Pesan Pak Wiku: Di tengah tren kenaikan kasus Covid-19, sangat penting u/ bisa melindungi diri sendiri &amp; orang lain dgn terus mengenakan masker &amp; mencuci tangan dengan rutin. Masing2 individu dapat berkontribusi dalam menekan kasus Covid-19 di Indonesia dimulai dari diri sendiri.",https://twitter.com/fahiraidris/status/1539381501942714368
1655273872000.0,2022-06-15 13:17:52,151371864,rsprotinsulu,RS Paru Rotinsulu,Berikut ini adalah langkah mudah untuk melindungi diri dari penyebaran Virus Covid-19 : 1. Senantiasa membersihkan tangan menggunakan sabun dan air mengalir atau handrub. 2. Tutup mulut saat batuk/ bersin menggunakan lengan atas bagian bawah. 3. Gunakan Masker dengan benar,https://twitter.com/rsprotinsulu/status/1536956135239913472
1653995447000.0,2022-05-31 18:10:47,334069024,CISDI_ID,CISDI #SehatAdilSetara,"Kedua, penggunaan masker melindungi diri dari potensi infeksi COVID-19 dari orang tanpa gejala",https://twitter.com/CISDI_ID/status/1531594031754399744
