created_at,date,user_id,username,name,tweet,link
1593475164000.0,2020-06-30 06:59:24,558397223,JenderalAD,Giring,@christian_stvgr @Dennysiregar7 @eko_kuntadhi @yusuf_dumdum @_CHChotimah @yunartowijaya @AvatarPemburu @LOVE_AG4EVER @_YusufMuhamad_ @TeddyGusnaidi @GunRomli Semua berawal dari sini 🤣🤣🤣 untung ada anies....semua terbukti bahkan PSBB pun diikuti kepala2 daerah yg lain....  https://t.co/mYKNVdAVoK,https://twitter.com/JenderalAD/status/1277753568313765889
1593475101000.0,2020-06-30 06:58:21,109555488,703_BK,Phoenix,"@muhalif91 PSbB, Lip..",https://twitter.com/703_BK/status/1277753303028264961
1593475001000.0,2020-06-30 06:56:41,74983930,bangjeck,bang jeck,"@kurawa ya elaahhh..dia yg ambil keputusan stop psbb koq, makanya surabaya zona hitam. skrg nangis2, pemimpin koq emosionil gitu",https://twitter.com/bangjeck/status/1277752881408434176
1593473976000.0,2020-06-30 06:39:36,1187000254022860801,PolsekPusat,Polsek Cikarang Pusat,"#Sentuh waralaba, piket Sabhara Polsek Cikarang pusat Patroli ke Sentra Ekonomo, pemukiman antisipasi,pencurian rumsong, Waralaba, 3C dan himbauan PSBB*  *1. WAKTU* Hari Selasa Tanggal 30 juni 2020, Jam 01.01…  https://t.co/ScmxKY6rf6",https://twitter.com/PolsekPusat/status/1277748583031341056
1593473902000.0,2020-06-30 06:38:22,78544110,SamsulImamSy,Samsul Imam Syafii,"@ataufan74 @infoGRESIK Ga onok petugas sing menertibkan, atau mmg blm ada aturan pasca psbb berakhir. Dadi tdk ada landasan hukum pol pp menegur...",https://twitter.com/SamsulImamSy/status/1277748272925298689
1593473789000.0,2020-06-30 06:36:29,388190238,idntimes,IDN Times,Gubernur Banten Perpanjang PSBB Sampai Nol Kasus COVID-19  https://t.co/1o9j1zKafw  https://t.co/AhZEhpsf0I,https://twitter.com/idntimes/status/1277747798990114817
1593473725000.0,2020-06-30 06:35:25,1187000254022860801,PolsekPusat,Polsek Cikarang Pusat,"#PADAL Gabung patko 801 melaksanakan giat patroli mobile *Patroli Sentra Ekonomo, pemukiman antisipasi,pencurian rumsong, Waralaba, 3C dan himbauan PSBB*  *1. WAKTU* Hari Selasa Tanggal 30 juni 2020, Jam 00.10…  https://t.co/KQDt5nHOHO",https://twitter.com/PolsekPusat/status/1277747532676755457
1593473724000.0,2020-06-30 06:35:24,1597798873,wandaauliaaa,wanda.,"@firdaitsme Tpi dibnjr ampih lo psbb, dikapuas masih tpi orgnya keluaran dah🤣",https://twitter.com/wandaauliaaa/status/1277747528855719937
1593473435000.0,2020-06-30 06:30:35,132400992,_chocomatcha,Mei,Bjb masih psbb kah yo??,https://twitter.com/_chocomatcha/status/1277746313740742656
1593473343000.0,2020-06-30 06:29:03,18129942,tempodotco,tempo.co,Kota Tangerang Perpanjang Masa PSBB Hingga 12 Juli  https://t.co/CNqMBr3krZ,https://twitter.com/tempodotco/status/1277745927512440833
