created_at,date,user_id,username,name,tweet,link,tweet_preproc
1655094730000.0,2022-06-13 11:32:10,1381941698910019588,Istiqom99644171,Istiqomah,kalau ada rudal simpanan tolong bom laboratorium pencipta virus covid dimanapun beradaayo miskinkan bill gates dan kroninyabosan kita divaksin terus dibatasi terusmereka rauf untung,https://twitter.com/Istiqom99644171/status/1536204760537108480,"['kalau', 'ada', 'rudal', 'simpan', 'tolong', 'bom', 'laboratorium', 'cipta', 'virus', 'covid', 'mana', 'beradaayo', 'miskin', 'bill', 'gates', 'dan', 'kroninyabosan', 'kita', 'vaksin', 'terus', 'batas', 'terusmereka', 'rauf', 'untung']"
1651861267000.0,2022-05-07 01:21:07,1485731446992281601,Tunku_Adam2,Adam,marm julukan bill gates dulu org terkaya no di dunia pencipta microsof sekarang org terkaya no di dunia pencipta virus konspirasi,https://twitter.com/Tunku_Adam2/status/1522642632912310272,"['marm', 'juluk', 'bill', 'gates', 'dulu', 'org', 'kaya', 'no', 'di', 'dunia', 'cipta', 'microsof', 'sekarang', 'org', 'kaya', 'no', 'di', 'dunia', 'cipta', 'virus', 'konspirasi']"
1642896227000.0,2022-01-23 07:03:47,1247110025102782465,IrawanHaidar,MH IRAWAN,virus paling mematikan di dunia ini ya pencipta copet,https://twitter.com/IrawanHaidar/status/1485040531034210305,"['virus', 'paling', 'mati', 'di', 'dunia', 'ini', 'ya', 'cipta', 'copet']"
1638423929000.0,2021-12-02 12:45:29,962473665404129280,SopirPormulaE,Jhon_Simare-Mare™,kalian percaya gak orang terkaya di dunia seperti billgates dkk berkolaborasi dengan pencipta tehnologi mutakhirrobotikada kaitannya dgn virus yg menjadi pandemik di seluruh duniarobotini nantinya akan mnggtikan tnga manusiaso menurut saya semua mengrh ksna,https://twitter.com/SopirPormulaE/status/1466282351999086593,"['kalian', 'percaya', 'tidak', 'orang', 'kaya', 'di', 'dunia', 'seperti', 'billgates', 'dkk', 'kolaborasi', 'dengan', 'cipta', 'tehnologi', 'mutakhirrobotikada', 'kait', 'dengan', 'virus', 'yang', 'jadi', 'pandemik', 'di', 'seluruh', 'duniarobotini', 'nanti', 'akan', 'mnggtikan', 'tnga', 'manusiaso', 'turut', 'saya', 'semua', 'mengrh', 'ksna']"
1623394325000.0,2021-06-11 13:52:05,2876041760,yan_tsy,TSY,tanya ke sang maha pencipta virus,https://twitter.com/yan_tsy/status/1403243625467703304,"['tanya', 'ke', 'sang', 'maha', 'cipta', 'virus']"
1622976645000.0,2021-06-06 17:50:45,974940271493304320,IATeam___,+62 d̸i̸k̸u̸a̸s̸a̸i̸ o̸l̸e̸h̸ p̸e̸n̸g̸h̸i̸a̸n̸a̸t̸,viral bill gates ditangkap fbi karena dianggap teroris konspirasi pencipta virus corona,https://twitter.com/IATeam___/status/1401491746681364486,"['viral', 'bill', 'gates', 'tangkap', 'fbi', 'karena', 'anggap', 'teroris', 'konspirasi', 'cipta', 'virus', 'corona']"
1608009674000.0,2020-12-15 12:21:14,64635651,serambinews,Serambi Indonesia,bill gates sempat disebutsebut sebagai pencipta virus corona covid nah belum usai kontroversi itu bill gates kembali memprediksi masa depan amerika serikat as,https://twitter.com/serambinews/status/1338715721765773312,"['bill', 'gates', 'sempat', 'disebutsebut', 'bagai', 'cipta', 'virus', 'corona', 'covid', 'nah', 'belum', 'usai', 'kontroversi', 'itu', 'bill', 'gates', 'kembali', 'prediksi', 'masa', 'depan', 'amerika', 'serikat', 'as']"
1590874704000.0,2020-05-31 04:38:24,1116592448484986883,ptangkasajaya,frnd.ntls,percaya ngga percaya sih soalnya ada benernya juga sih ngga semua teori konspirasi salah mungkin saja misalnya bill gates pencipta ms windows sama orang terkaya no di dunia menciptakan virus juga biar orang lain bisa beli antivirus yg bagus ya kan,https://twitter.com/ptangkasajaya/status/1266846446612967424,"['percaya', 'tidak', 'percaya', 'sih', 'soal', 'ada', 'benernya', 'juga', 'sih', 'tidak', 'semua', 'teori', 'konspirasi', 'salah', 'mungkin', 'saja', 'misal', 'bill', 'gates', 'cipta', 'ms', 'windows', 'sama', 'orang', 'kaya', 'no', 'di', 'dunia', 'cipta', 'virus', 'juga', 'biar', 'orang', 'lain', 'bisa', 'beli', 'antivirus', 'yang', 'bagus', 'ya', 'kan']"
1590192533000.0,2020-05-23 07:08:53,282563920,monitorindo,HARIAN TERBIT,fbi tangkap bill gates terkait teroris biologis tudingan di balik pencipta virus covid,https://twitter.com/monitorindo/status/1263985216101560321,"['fbi', 'tangkap', 'bill', 'gates', 'kait', 'teroris', 'biologis', 'tuding', 'di', 'balik', 'cipta', 'virus', 'covid']"
1590098240000.0,2020-05-22 04:57:20,282563920,monitorindo,HARIAN TERBIT,fbi tangkap bill gates terkait teroris biologis tudingan di balik pencipta virus covid,https://twitter.com/monitorindo/status/1263589720589692934,"['fbi', 'tangkap', 'bill', 'gates', 'kait', 'teroris', 'biologis', 'tuding', 'di', 'balik', 'cipta', 'virus', 'covid']"
