created_at,date,user_id,username,name,tweet,link,tweet_preproc
1653845097000.0,2022-05-30 00:24:57,1109052544796352513,AsyiFahmi,Fahmi Al Asyi فهمي الأشي,dguzel vaksin itu bisnis dajjal,https://twitter.com/AsyiFahmi/status/1530963417477320704,"['dguzel', 'vaksin', 'itu', 'bisnis', 'dajjal']"
1653843294000.0,2022-05-29 23:54:54,1334033424668008450,Kimberley20101,Kimberley,ngeri dan geram tapi rakyat tak bisa berbuat banyak semoga allah melindungi generasi bangsa ini dari efek jangka panjang vaksin bisnis para politisi,https://twitter.com/Kimberley20101/status/1530955855004602369,"['ngeri', 'dan', 'geram', 'tapi', 'rakyat', 'tak', 'bisa', 'buat', 'banyak', 'moga', 'allah', 'lindung', 'generasi', 'bangsa', 'ini', 'dari', 'efek', 'jangka', 'panjang', 'vaksin', 'bisnis', 'para', 'politis']"
1653842527000.0,2022-05-29 23:42:07,215839128,hendra_roestoe,HendraRoestoeMulyana,saya lebih percaya kpd dr siti fadilah supari karena beliau juga yg membuka topeng virus flu burung dl untuk di jadikan lahan bisnis vaksin,https://twitter.com/hendra_roestoe/status/1530952637507506177,"['saya', 'lebih', 'percaya', 'kepada', 'dari', 'siti', 'fadilah', 'supari', 'karena', 'beliau', 'juga', 'yang', 'buka', 'topeng', 'virus', 'flu', 'burung', 'dulu', 'untuk', 'di', 'jadi', 'lahan', 'bisnis', 'vaksin']"
1653835993000.0,2022-05-29 21:53:13,1391273164731125760,FiinaDu,fina,bisnis ya klo vaksin blm habis blm bisa balikin modal jadi gasak sana sini kejam,https://twitter.com/FiinaDu/status/1530925235100188672,"['bisnis', 'ya', 'kalau', 'vaksin', 'belum', 'habis', 'belum', 'bisa', 'balikin', 'modal', 'jadi', 'gasak', 'sana', 'sini', 'kejam']"
1653822454000.0,2022-05-29 18:07:34,606328025,kanitanafiza,💚Kanza💚🌄,rockefeller milyuner amerika terkenal semula jd pengusaha minyak lalu merambah dunia kesehatanfarmasi yg bikin tambah kaya bill gates dr pebisnis software ke produksi obatvaksin jg nambah cuan berlipat bisnis kesehatan akan trus ada  gurih cuannya kira elon musk ikutan ga,https://twitter.com/kanitanafiza/status/1530868448485863424,"['rockefeller', 'milyuner', 'amerika', 'kenal', 'mula', 'jadi', 'usaha', 'minyak', 'lalu', 'rambah', 'dunia', 'kesehatanfarmasi', 'yang', 'bikin', 'tambah', 'kaya', 'bill', 'gates', 'dari', 'bisnis', 'software', 'ke', 'produksi', 'obatvaksin', 'juga', 'nambah', 'cuan', 'lipat', 'bisnis', 'sehat', 'akan', 'terus', 'ada', 'gurih', 'cuannya', 'kira', 'elon', 'musk', 'ikut', 'tidak']"
1653725462000.0,2022-05-28 15:11:02,1362243328276762626,wahiidin,wahiidin,smoga sj bukan jd bisnis ada yg bilang klo bisnisnya senjata spy laku harus ada perang takutnya jd gitu jg ada bisnis vaksin tentunya harus ada penyakit bisa disebut senjata biologis gak itu ya entahlah,https://twitter.com/wahiidin/status/1530461634774577152,"['moga', 'saja', 'bukan', 'jadi', 'bisnis', 'ada', 'yang', 'bilang', 'kalau', 'bisnis', 'senjata', 'supaya', 'laku', 'harus', 'ada', 'perang', 'takut', 'jadi', 'gitu', 'juga', 'ada', 'bisnis', 'vaksin', 'tentu', 'harus', 'ada', 'sakit', 'bisa', 'sebut', 'senjata', 'biologis', 'tidak', 'itu', 'ya', 'entah']"
1653722924000.0,2022-05-28 14:28:44,1467654128029474816,RizkiarPP,Komando INti Rizky,ane jawab beh krena kalao anis komentar dan menolak vaksin jabatan akan di pecat oleh mendagri ats printah presiden krena menghalangi rezim berbisnis shingga mengorban kan nyawa rakyat sbgai tumbal bisnis mereka jalan satusatunya adalah perlawanan dr rakyat indonesia,https://twitter.com/RizkiarPP/status/1530450987252858881,"['ane', 'jawab', 'beh', 'karena', 'kalao', 'anis', 'komentar', 'dan', 'tolak', 'vaksin', 'jabat', 'akan', 'di', 'pecat', 'oleh', 'mendagri', 'ats', 'perintah', 'presiden', 'karena', 'halang', 'rezim', 'bisnis', 'sehingga', 'korban', 'kan', 'nyawa', 'rakyat', 'bagai', 'tumbal', 'bisnis', 'mereka', 'jalan', 'satusatunya', 'adalah', 'lawan', 'dari', 'rakyat', 'indonesia']"
1653715912000.0,2022-05-28 12:31:52,1465587620616884230,MprAldo,BabehAldoMPR,bisnis luar biasa vaksin udah siap dari link,https://twitter.com/MprAldo/status/1530421576688369664,"['bisnis', 'luar', 'biasa', 'vaksin', 'udah', 'siap', 'dari', 'link']"
1653712053000.0,2022-05-28 11:27:33,118646322,Bisniscom,Bisnis.com,ini progres pembuatan vaksin penyakit mulut dan kuku,https://twitter.com/Bisniscom/status/1530405390441017345,"['ini', 'progres', 'buat', 'vaksin', 'sakit', 'mulut', 'dan', 'kuku']"
1653710726000.0,2022-05-28 11:05:26,1528282299091275777,UmJihan69,Um Jihan,logikanya kenapa ke afrika afrika daya belinya gak ada gimana mau buat bisnis vaksin salah malah suruh diminta bantuan,https://twitter.com/UmJihan69/status/1530399823932731392,"['logika', 'kenapa', 'ke', 'afrika', 'afrika', 'daya', 'beli', 'tidak', 'ada', 'gimana', 'mau', 'buat', 'bisnis', 'vaksin', 'salah', 'malah', 'suruh', 'minta', 'bantu']"
1653672274000.0,2022-05-28 00:24:34,1426251818527444992,KaiAndromeda,Mandroid|Kai,wajar komnas ini ada hanya utk menguatkan bisnis vaksin ini terus berjalan mulus ketika ada gugatan dipengadilan komnas ini pasti jdi saksi pelindung negara coba aja statementnya begini rata rata pasien meninggal setelah di vaksin lbp bubarkan komnas kipi,https://twitter.com/KaiAndromeda/status/1530238547902734336,"['wajar', 'komnas', 'ini', 'ada', 'hanya', 'untuk', 'kuat', 'bisnis', 'vaksin', 'ini', 'terus', 'jalan', 'mulus', 'ketika', 'ada', 'gugat', 'adil', 'komnas', 'ini', 'pasti', 'jadi', 'saksi', 'lindung', 'negara', 'coba', 'aja', 'statementnya', 'begini', 'rata', 'rata', 'pasien', 'tinggal', 'telah', 'di', 'vaksin', 'lbp', 'bubar', 'komnas', 'kipi']"
1653641907000.0,2022-05-27 15:58:27,1131257783486013440,MasN4jib,71B,bisnis vaksin ga diitung,https://twitter.com/MasN4jib/status/1530111177573175297,"['bisnis', 'vaksin', 'tidak', 'diitung']"
1653633491000.0,2022-05-27 13:38:11,1193096656176025600,Neng_Anyar,Nêng Añyâr ﷽,wow ada peluang bisnis baru dan dpt cuan lagi ini lumayan pemburu rente vaksin dan antigen virus hendra pikir para mafia vaksin,https://twitter.com/Neng_Anyar/status/1530075879925161985,"['wow', 'ada', 'peluang', 'bisnis', 'baru', 'dan', 'dapat', 'cuan', 'lagi', 'ini', 'lumayan', 'buru', 'rente', 'vaksin', 'dan', 'antigen', 'virus', 'hendra', 'pikir', 'para', 'mafia', 'vaksin']"
1653622439000.0,2022-05-27 10:33:59,1530026270582419457,Orasi_Id,Orasi.Id,virus ohvirus padahal kita bisa menolak dari awal nyatanya kalau banyak kepentingan dalam bisnis vaksin,https://twitter.com/Orasi_Id/status/1530029521726222336,"['virus', 'ohvirus', 'padahal', 'kita', 'bisa', 'tolak', 'dari', 'awal', 'nyata', 'kalau', 'banyak', 'penting', 'dalam', 'bisnis', 'vaksin']"
1653619125000.0,2022-05-27 09:38:45,178951042,Kevinpram,Kevin,setuju bisnis pcr vaksin dan masker tp formula  sempet ada kelebihan bayar setelah dikulik publik monas diacak,https://twitter.com/Kevinpram/status/1530015622515822592,"['tuju', 'bisnis', 'pcr', 'vaksin', 'dan', 'masker', 'tapi', 'formula', 'sempet', 'ada', 'lebih', 'bayar', 'telah', 'lik', 'publik', 'monas', 'acak']"
1653612120000.0,2022-05-27 07:42:00,366549945,andri_anto7121,andrianto,itu penjanjian tipuan yg di gunakan utk penghubung bisnis vaksin perhutangan amp penarikan sumbangan berkedok kemanusiaan setelah mereka melakukan penyebarkan tipuan wabah,https://twitter.com/andri_anto7121/status/1529986241403400192,"['itu', 'janji', 'tipu', 'yang', 'di', 'guna', 'untuk', 'hubung', 'bisnis', 'vaksin', 'hutang', 'amp', 'tari', 'sumbang', 'kedok', 'manusia', 'telah', 'mereka', 'laku', 'sebar', 'tipu', 'wabah']"
1653609350000.0,2022-05-27 06:55:50,1340273082926125057,ZPembayun,Zidnia Pembayun,amp bisnis vaksin pastinya,https://twitter.com/ZPembayun/status/1529974623143505921,"['amp', 'bisnis', 'vaksin', 'pasti']"
1653608055000.0,2022-05-27 06:34:15,957912758774775810,adit_youtuber,adit pecinta Habaib 🇯🇴,betul sekali pak di era pandemi boongan ini yang untung bisnis pcr antigen dan vaksin beserta mandatorynya,https://twitter.com/adit_youtuber/status/1529969191293689858,"['betul', 'sekali', 'pak', 'di', 'era', 'pandemi', 'boongan', 'ini', 'yang', 'untung', 'bisnis', 'pcr', 'antigen', 'dan', 'vaksin', 'serta', 'mandatorynya']"
