created_at,date,user_id,username,name,tweet,link,tweet_preproc
1609434380000.0,2021-01-01 00:06:20,983808816159506437,syams_azhar,Azhar Syams,koko udah pada budeg dok kelamaan dirumah ditambah pinjeman rentenirbank harian masih dikit cukuplah buat jalan sewa mobil ke tempat yang rame gausah pake masker pengap apalagi pake sanitizer mahal minum jamu makan nasi kucing goyang ubur covid lewat,https://twitter.com/syams_azhar/status/1344691368703135744,"['koko', 'udah', 'pada', 'tuli', 'dokter', 'lama', 'rumah', 'tambah', 'pinjeman', 'rentenirbank', 'hari', 'masih', 'sedikit', 'cukup', 'buat', 'jalan', 'sewa', 'mobil', 'ke', 'tempat', 'yang', 'rame', 'gausah', 'pake', 'masker', 'pengap', 'apalagi', 'pake', 'sanitizer', 'mahal', 'minum', 'jamu', 'makan', 'nasi', 'kucing', 'goyang', 'ubur', 'covid', 'lewat']"
1609320219000.0,2020-12-30 16:23:39,61449335,adiwisnugraha,#SemangatBaru #GresikMbois,para tetangga ngajak bikin acara makanmakan malam tahun baru di tengah situasi penularan covid yang meningkat saya sarankan menu nasi kucing saja biar aman gak kena corona,https://twitter.com/adiwisnugraha/status/1344212546216083456,"['para', 'tetangga', 'ngajak', 'bikin', 'acara', 'makanmakan', 'malam', 'tahun', 'baru', 'di', 'tengah', 'situasi', 'tular', 'covid', 'yang', 'tingkat', 'saya', 'saran', 'menu', 'nasi', 'kucing', 'saja', 'biar', 'aman', 'tidak', 'kena', 'corona']"
1609314603000.0,2020-12-30 14:50:03,1256115929923981317,perupadata,perupadata,penumpang kedapatan positif covid saat tiba di pontianak gubernur kalbar wajibkan semua penumpang pesawat tujuan kalbar bawa surat hasil swab rtpcr negatif kemenhub tidak tinggal diam mungkin pak gub perlu ubah syaratnya jadi surat keterangan sudah makan nasi kucing,https://twitter.com/perupadata/status/1344188987452243969,"['tumpang', 'dapat', 'positif', 'covid', 'saat', 'tiba', 'di', 'pontianak', 'gubernur', 'kalbar', 'wajib', 'semua', 'tumpang', 'pesawat', 'tuju', 'kalbar', 'bawa', 'surat', 'hasil', 'swab', 'rtpcr', 'negatif', 'kemenhub', 'tidak', 'tinggal', 'diam', 'mungkin', 'pak', 'gub', 'perlu', 'ubah', 'syarat', 'jadi', 'surat', 'terang', 'sudah', 'makan', 'nasi', 'kucing']"
1609240055000.0,2020-12-29 18:07:35,1105428923913891841,Muhamad88810476,ANIS - NUR,di kebanyakan alasandulu mereka bilang iklim di tahan terhadap covidmakan nasi kucing bisa sembuhsekarang semuanya kebakaran jengot,https://twitter.com/Muhamad88810476/status/1343876313057148935,"['di', 'banyak', 'alasandulu', 'mereka', 'bilang', 'iklim', 'di', 'tahan', 'hadap', 'covidmakan', 'nasi', 'kucing', 'bisa', 'sembuhsekarang', 'semua', 'bakar', 'jengot']"
1609239562000.0,2020-12-29 17:59:22,2211557161,s_erfa,S_erfa,as katanya orang indonesia kebal covid karena sering makan nasi kucing,https://twitter.com/s_erfa/status/1343874242404708352,"['as', 'kata', 'orang', 'indonesia', 'kebal', 'covid', 'karena', 'sering', 'makan', 'nasi', 'kucing']"
1609220515000.0,2020-12-29 12:41:55,1583975413,MeTekTek,xuxxes,tenang makan nasi kucing aja nanti sembuh sendiri klo kena covid varian lain ganti varian lauknya jga,https://twitter.com/MeTekTek/status/1343794355362877440,"['tenang', 'makan', 'nasi', 'kucing', 'aja', 'nanti', 'sembuh', 'sendiri', 'kalau', 'kena', 'covid', 'varian', 'lain', 'ganti', 'varian', 'lauk', 'jga']"
1609213745000.0,2020-12-29 10:49:05,1117293264535601152,manggalasss,Manggalas,covid yang baru itu ga akan kuat lamalama indonesia karna kan cuaca di indonesia terus karna kita suka makan nasi kucing jadi ga akan sampe indonesia tenang aja,https://twitter.com/manggalasss/status/1343765960159711232,"['covid', 'yang', 'baru', 'itu', 'tidak', 'akan', 'kuat', 'lamalama', 'indonesia', 'karena', 'kan', 'cuaca', 'di', 'indonesia', 'terus', 'karena', 'kita', 'suka', 'makan', 'nasi', 'kucing', 'jadi', 'tidak', 'akan', 'sampe', 'indonesia', 'tenang', 'aja']"
1609176672000.0,2020-12-29 00:31:12,479766947,Fauzarozi,fzr,bukan gitu dong mau nntangain covid jenis baru dengan yg sakit aja yg pake masker dan kita udah terbiasa makan nasi kucing,https://twitter.com/Fauzarozi/status/1343610464861712385,"['bukan', 'gitu', 'dong', 'mau', 'nntangain', 'covid', 'jenis', 'baru', 'dengan', 'yang', 'sakit', 'aja', 'yang', 'pake', 'masker', 'dan', 'kita', 'udah', 'biasa', 'makan', 'nasi', 'kucing']"
1609148485000.0,2020-12-28 16:41:25,1175341509593292800,gowryeee,lembayung,coba pemerintah swiss ke mari mengantisipasi covid sg goyang ubur uburmakan rawon sama nasi kucing ubah negaranya jd bercuaca panas biar covid ga bisa berkembanglaksanakan pilkada buat menekan covid tar klo masih banyak korban dan pasien positifsalahkan aja rakyatnya,https://twitter.com/gowryeee/status/1343492240153329665,"['coba', 'perintah', 'swiss', 'ke', 'mari', 'antisipasi', 'covid', 'sg', 'goyang', 'ubur', 'uburmakan', 'rawon', 'sama', 'nasi', 'kucing', 'ubah', 'negara', 'jadi', 'cuaca', 'panas', 'biar', 'covid', 'tidak', 'bisa', 'berkembanglaksanakan', 'pilkada', 'buat', 'tekan', 'covid', 'tar', 'kalau', 'masih', 'banyak', 'korban', 'dan', 'pasien', 'positifsalahkan', 'aja', 'rakyat']"
1609111293000.0,2020-12-28 06:21:33,558412554,arifin_alif,Kurupuk_Ojay🇮🇩,covid udah nyebar malah nyuruh tiktokan makan nasi kucing covid ga bisa msk swiss krn beriklim tropis buka pariwisatadiskon bayar bazer,https://twitter.com/arifin_alif/status/1343336243539505152,"['covid', 'udah', 'nyebar', 'malah', 'nyuruh', 'tiktokan', 'makan', 'nasi', 'kucing', 'covid', 'tidak', 'bisa', 'masuk', 'swiss', 'karena', 'iklim', 'tropis', 'buka', 'pariwisatadiskon', 'bayar', 'bazer']"
