created_at,date,user_id,username,name,tweet,link,tweet_preproc
1658101935000.0,2022-07-18 06:52:15,1469528120277405698,mr_palu2,Drs. Ir. Garong Perjuangan M.ck.,karena mereka tidak menggunakan protokol mematikan  mungkin ada yg mati kerana terlanjur gunakan protokol mematikan tsb dan saat ini kita tak pernah lagi mendengar sakit flu pilek demam sakit kepala batuk panas dingin dll krn sdh diganti lambada ninja omicron besok sumo,https://twitter.com/mr_palu2/status/1548817890832371713,"['karena', 'mereka', 'tidak', 'guna', 'protokol', 'mati', 'mungkin', 'ada', 'yang', 'mati', 'rana', 'lanjur', 'guna', 'protokol', 'mati', 'tsb', 'dan', 'saat', 'ini', 'kita', 'tak', 'pernah', 'lagi', 'dengar', 'sakit', 'flu', 'pilek', 'demam', 'sakit', 'kepala', 'batuk', 'panas', 'dingin', 'dan lain lain', 'karena', 'sudah', 'ganti', 'lambada', 'ninja', 'omicron', 'besok', 'sumo']"
1656555338000.0,2022-06-30 09:15:38,59450032,meow_leader,Lucky Meow 🍀,kalau warga negaranya tetap disiplin prokes dan sudah full vaksin harusnya ga terlalu ngeri dampaknya kayak kemaren omicron aja menyebar cepat tapi tidak terlalu mematikan severti varian delta karena sudah banyak yg vaksin,https://twitter.com/meow_leader/status/1542330994061365248,"['kalau', 'warga', 'negara', 'tetap', 'disiplin', 'prokes', 'dan', 'sudah', 'full', 'vaksin', 'harus', 'tidak', 'terlalu', 'ngeri', 'dampak', 'kayak', 'kemarin', 'omicron', 'aja', 'sebar', 'cepat', 'tapi', 'tidak', 'terlalu', 'mati', 'severti', 'varian', 'delta', 'karena', 'sudah', 'banyak', 'yang', 'vaksin']"
1655401887000.0,2022-06-17 00:51:27,980097559736721408,AlbertSolo2,Albert Solo,direktur teknis badan kesehatan dunia who dokter maria van kherkove menyatakan bahwa varian omicron ba dan ba tidak mematikan seperti halnya omicron varian delta namun tingkat penularannya sangat cepat indonesia laporkan kasus varian omicron ba dan ba,https://twitter.com/AlbertSolo2/status/1537493070568366081,"['direktur', 'teknis', 'badan', 'sehat', 'dunia', 'who', 'dokter', 'maria', 'van', 'kherkove', 'nyata', 'bahwa', 'varian', 'omicron', 'baru', 'dan', 'baru', 'tidak', 'mati', 'seperti', 'hal', 'omicron', 'varian', 'delta', 'namun', 'tingkat', 'tular', 'sangat', 'cepat', 'indonesia', 'lapor', 'kasus', 'varian', 'omicron', 'baru', 'dan', 'baru']"
1655351527000.0,2022-06-16 10:52:07,759692754985242625,kumparan,kumparan,namun di sisi lain angka kematian kasusnya akan jauh lebih rendah omicron ba dan ba tidak lebih mematikan dari omicron lama maupun delta,https://twitter.com/kumparan/status/1537281842541260800,"['namun', 'di', 'sisi', 'lain', 'angka', 'mati', 'kasus', 'akan', 'jauh', 'lebih', 'rendah', 'omicron', 'baru', 'dan', 'baru', 'tidak', 'lebih', 'mati', 'dari', 'omicron', 'lama', 'maupun', 'delta']"
1649080247000.0,2022-04-04 20:50:47,1279643013455605760,Cintada16,LALA🇮🇩,bisa jadi walau tidak mematikan omicron ternyata bisa merepotkan,https://twitter.com/Cintada16/status/1510978190730096647,"['bisa', 'jadi', 'walau', 'tidak', 'mati', 'omicron', 'nyata', 'bisa', 'repot']"
1648727329000.0,2022-03-31 18:48:49,1473616759806562304,i_nasution1,Iqbal Nasutiion,bosku ribu orang jika saja mengidap virus itu apalagi katanya omicron menyebar dgn cepat sama saja dengan berapa banyak pun bos sudah cek tidak bahwa mereka yg full dosis pun tetap kena kok masalahnya kan tidak mematikan jadi biarkan saja kena asal jgn dikasi obt cacing,https://twitter.com/i_nasution1/status/1509497941723332616,"['bos', 'ribu', 'orang', 'jika', 'saja', 'idap', 'virus', 'itu', 'apalagi', 'kata', 'omicron', 'sebar', 'dengan', 'cepat', 'sama', 'saja', 'dengan', 'berapa', 'banyak', 'pun', 'bos', 'sudah', 'cek', 'tidak', 'bahwa', 'mereka', 'yang', 'full', 'dosis', 'pun', 'tetap', 'kena', 'kok', 'masalah', 'kan', 'tidak', 'mati', 'jadi', 'biar', 'saja', 'kena', 'asal', 'jangan', 'kasi', 'obt', 'cacing']"
1648466198000.0,2022-03-28 18:16:38,224482827,achmadhandoko,α¢нмα∂ нαη∂σкσ | hand,meski penambahan kasus hanya tetapi angka kematian tertinggi di asean seperti kita ketahui bahwa omicron tetap mematikan bagi penderita dengan komorbid artinya masyarakat indonesia punya faktor komorbid tertinggi di asean atau pola hidup tidak sehat,https://twitter.com/achmadhandoko/status/1508402679311368192,"['meski', 'tambah', 'kasus', 'hanya', 'tetapi', 'angka', 'mati', 'tinggi', 'di', 'asean', 'seperti', 'kita', 'tahu', 'bahwa', 'omicron', 'tetap', 'mati', 'bagi', 'derita', 'dengan', 'komorbid', 'arti', 'masyarakat', 'indonesia', 'punya', 'faktor', 'komorbid', 'tinggi', 'di', 'asean', 'atau', 'pola', 'hidup', 'tidak', 'sehat']"
1648259328000.0,2022-03-26 08:48:48,1057105358076825600,Bagoesbagus7,Bagoesbagus,banyoe ini namanya survivorship bias anda selamat dengan demikian maka pendapat anda benar volatilitas di tengah tidak diperhitungkan varian delta mematikan itu benar varian omicron kurang mematikan juga benar terapi baru perlu waktu sampai tegak baik buruknya,https://twitter.com/Bagoesbagus7/status/1507535004548874245,"['banyoe', 'ini', 'nama', 'survivorship', 'bias', 'anda', 'selamat', 'dengan', 'demikian', 'maka', 'dapat', 'anda', 'benar', 'volatilitas', 'di', 'tengah', 'tidak', 'hitung', 'varian', 'delta', 'mati', 'itu', 'benar', 'varian', 'omicron', 'kurang', 'mati', 'juga', 'benar', 'terapi', 'baru', 'perlu', 'waktu', 'sampai', 'tegak', 'baik', 'buruk']"
1647183284000.0,2022-03-13 21:54:44,1319543043775582208,ProfesorZubairi,Zubairi Djoerban,apakah deltacron lebih menular dan mematikan mungkin sekali tidak berbahaya ketimbang varian omicron belum bisa dipastikan karena jumlah kasusnya masih amat sedikit,https://twitter.com/ProfesorZubairi/status/1503021749926969346,"['apakah', 'deltacron', 'lebih', 'tular', 'dan', 'mati', 'mungkin', 'sekali', 'tidak', 'bahaya', 'ketimbang', 'varian', 'omicron', 'belum', 'bisa', 'pasti', 'karena', 'jumlah', 'kasus', 'masih', 'amat', 'sedikit']"
1646877928000.0,2022-03-10 09:05:28,1061055325334196224,KokohBadakIjo,Kokoh Badak,ini menurut gua batuk omicron ini emang menyiksa gua ngerasain batuk ini paling parah seumur idup gua batuknya sampe bikin sesak tp bersyukur karena udah vaksin  plus booster makanya tidak mematikan sama halnya kaya dulu pandemi cacar sebelum vaksin kan mematikan,https://twitter.com/KokohBadakIjo/status/1501740991673356291,"['ini', 'turut', 'saya', 'batuk', 'omicron', 'ini', 'emang', 'siksa', 'saya', 'ngerasain', 'batuk', 'ini', 'paling', 'parah', 'umur', 'idup', 'saya', 'batuk', 'sampe', 'bikin', 'sesak', 'tapi', 'syukur', 'karena', 'udah', 'vaksin', 'plus', 'booster', 'makanya', 'tidak', 'mati', 'sama', 'hal', 'kaya', 'dulu', 'pandemi', 'cacar', 'belum', 'vaksin', 'kan', 'mati']"
1646794540000.0,2022-03-09 09:55:40,78797985,aditioismail,Aditio Suyitno,ini kena mah kena aja saya sudah booster pun tetap kena yg kemungkinan ini varian omicron dari gejalanya efeknya aja yg tidak parah atau mematikan itu aja vaksin bantunya supaya tidak perlu sampai mendapat perawatan rs pentingnya prokes tetap di jaga pakai masker,https://twitter.com/aditioismail/status/1501391239593148422,"['ini', 'kena', 'mah', 'kena', 'aja', 'saya', 'sudah', 'booster', 'pun', 'tetap', 'kena', 'yang', 'mungkin', 'ini', 'varian', 'omicron', 'dari', 'gejala', 'efek', 'aja', 'yang', 'tidak', 'parah', 'atau', 'mati', 'itu', 'aja', 'vaksin', 'bantu', 'supaya', 'tidak', 'perlu', 'sampai', 'dapat', 'awat', 'rs', 'penting', 'prokes', 'tetap', 'di', 'jaga', 'pakai', 'masker']"
1646317717000.0,2022-03-03 21:28:37,72188442,naniiinnn,anindya wardhani,dalam salah satu meeting grup pas omicron mulai datang saya nyeletuk begini bacabaca di artikel katanya sih omicron itu lebih ringan dari delta istilahnya menyakiti tapi tidak mematikan ooow langsung dibayar kontan,https://twitter.com/naniiinnn/status/1499391296284536838,"['dalam', 'salah', 'satu', 'meeting', 'grup', 'pas', 'omicron', 'mulai', 'datang', 'saya', 'nyeletuk', 'begini', 'bacabaca', 'di', 'artikel', 'kata', 'sih', 'omicron', 'itu', 'lebih', 'ringan', 'dari', 'delta', 'istilah', 'sakit', 'tapi', 'tidak', 'mati', 'ooow', 'langsung', 'bayar', 'kontan']"
1645434128000.0,2022-02-21 16:02:08,96704505,J_Irawan,Joseph Irawan,dulu waktu saya kena covid bulan juni kemungkinan varian delta belum vaksin cuma diberi obat batuk parasetamol dan vitamin sekarang disaat banyak orang sudah vaksin lengkap kena varian omicron yang relatif lebih tidak mematikan kok malah diberi obat keras ya mahal lagi,https://twitter.com/J_Irawan/status/1495685258582568960,"['dulu', 'waktu', 'saya', 'kena', 'covid', 'bulan', 'juni', 'mungkin', 'varian', 'delta', 'belum', 'vaksin', 'cuma', 'beri', 'obat', 'batuk', 'parasetamol', 'dan', 'vitamin', 'sekarang', 'saat', 'banyak', 'orang', 'sudah', 'vaksin', 'lengkap', 'kena', 'varian', 'omicron', 'yang', 'relatif', 'lebih', 'tidak', 'mati', 'kok', 'malah', 'beri', 'obat', 'keras', 'ya', 'mahal', 'lagi']"
1645361683000.0,2022-02-20 19:54:43,1253340541212782595,pandumahendra_,PanduMa,kalo omicron tidak mematikan kenapa haros isoman hanya me repotkan kanan kiri saja,https://twitter.com/pandumahendra_/status/1495381401083920385,"['kalau', 'omicron', 'tidak', 'mati', 'kenapa', 'haros', 'isoman', 'hanya', 'me', 'repot', 'kanan', 'kiri', 'saja']"
1645079584000.0,2022-02-17 13:33:04,405948085,Rmomadd,musyawarah mufakat,dok apa bener covid bermutasideltaomicron itu penyebarannya makin cepat tapi semakin tidak mematikan,https://twitter.com/Rmomadd/status/1494198190907994113,"['dokter', 'apa', 'bener', 'covid', 'bermutasideltaomicron', 'itu', 'sebar', 'makin', 'cepat', 'tapi', 'makin', 'tidak', 'mati']"
1645023840000.0,2022-02-16 22:04:00,249006027,infoJATIASIH,Jatiasih™,jauh lebih menular tapi tidak lebih mematikan kecuali bagi mereka yang punya komorbid,https://twitter.com/infoJATIASIH/status/1493964384074604546,"['jauh', 'lebih', 'tular', 'tapi', 'tidak', 'lebih', 'mati', 'kecuali', 'bagi', 'mereka', 'yang', 'punya', 'komorbid']"
1644882477000.0,2022-02-15 06:47:57,980097559736721408,AlbertSolo2,Albert Solo,menteri koordinator kemaritiman dan investasi luhut panjaitan menyatakan bahwa omicron memang tidak separah delta namun omicron kali mematikan dari pada flu biasapemakaian masker adalah harga mati dan tidak boleh tidakpemerintah menegaskan belum saatnya ppkm darurat,https://twitter.com/AlbertSolo2/status/1493371464346906625,"['menteri', 'koordinator', 'maritim', 'dan', 'investasi', 'luhut', 'panjaitan', 'nyata', 'bahwa', 'omicron', 'memang', 'tidak', 'parah', 'delta', 'namun', 'omicron', 'kali', 'mati', 'dari', 'pada', 'flu', 'biasapemakaian', 'masker', 'adalah', 'harga', 'mati', 'dan', 'tidak', 'boleh', 'tidakpemerintah', 'tegas', 'belum', 'saat', 'ppkm', 'darurat']"
1644751482000.0,2022-02-13 18:24:42,67281504,tsetiady,#RevisiRKUHP2022❕ RKUHP #semuabisakena #pasal352,kalau omicron itu tidak mematikan kenapa kematian sekarang naik lebih cepat dari kasus ya,https://twitter.com/tsetiady/status/1492822032907902976,"['kalau', 'omicron', 'itu', 'tidak', 'mati', 'kenapa', 'mati', 'sekarang', 'naik', 'lebih', 'cepat', 'dari', 'kasus', 'ya']"
1644712960000.0,2022-02-13 07:42:40,92878321,PambudiTri,Pam,dan virus covid omicron sudah tidak mematikan lagi karena dah vaksin so sudah kayak flu biasa,https://twitter.com/PambudiTri/status/1492660457630728195,"['dan', 'virus', 'covid', 'omicron', 'sudah', 'tidak', 'mati', 'lagi', 'karena', 'sudah', 'vaksin', 'so', 'sudah', 'kayak', 'flu', 'biasa']"
1644637613000.0,2022-02-12 10:46:53,1439086899583352841,JamesLi58668905,James Lim,awalnya kopit mematikan omicron tidak mematikan cuma bikin musni umar goblok aja,https://twitter.com/JamesLi58668905/status/1492344429713457153,"['awal', 'covid', 'mati', 'omicron', 'tidak', 'mati', 'cuma', 'bikin', 'musni', 'umar', 'goblok', 'aja']"
