created_at,date,user_id,username,name,tweet,link,tweet_preproc
1659136163000.0,2022-07-30 06:09:23,1498975739206836224,FitriKarmela,Fitri Karmela,jangan pernah berfikir kalau pandemi ini sudah berakhir ya sob karena mencegah itu lebih baik dari pada mengobati,https://twitter.com/FitriKarmela/status/1553155759562964992,"['jangan', 'pernah', 'berfikir', 'kalau', 'pandemi', 'ini', 'sudah', 'akhir', 'ya', 'sob', 'karena', 'cegah', 'itu', 'lebih', 'baik', 'dari', 'pada', 'obat']"
1659017314000.0,2022-07-28 21:08:34,974822094591574019,inawrldlikethis,anu struggle tweet,pemerintah sekarang peka karena pandemi covid ini prediksinya berakhir agak lama then ketidakteraturan selalu meningkat yang bisa menyebabkan virusnya trs bermutasi dan ikuti aja lah lagian bukti vaksinasi sudah terpampang jelas bisa mereduksi jumlah kematian gratis jg,https://twitter.com/inawrldlikethis/status/1552657266993930240,"['perintah', 'sekarang', 'peka', 'karena', 'pandemi', 'covid', 'ini', 'prediksi', 'akhir', 'agak', 'lama', 'then', 'ketidakteraturan', 'selalu', 'tingkat', 'yang', 'bisa', 'sebab', 'virus', 'terus', 'mutasi', 'dan', 'ikut', 'aja', 'lah', 'lagi', 'bukti', 'vaksinasi', 'sudah', 'pampang', 'jelas', 'bisa', 'reduksi', 'jumlah', 'mati', 'gratis', 'juga']"
1658969131000.0,2022-07-28 07:45:31,96278765,pakzam,Moch. Zamroni,pandemi berakhir sekolah kembali offline jam wib jalanan sudah ramai macet di beberapa titik jalanan dipenuhi orang berangkat kerja dan orang tua mengantar anak berangkat sekolah,https://twitter.com/pakzam/status/1552455175352516608,"['pandemi', 'akhir', 'sekolah', 'kembali', 'offline', 'jam', 'wib', 'jalan', 'sudah', 'ramai', 'macet', 'di', 'beberapa', 'titik', 'jalan', 'penuh', 'orang', 'berangkat', 'kerja', 'dan', 'orang', 'tua', 'antar', 'anak', 'berangkat', 'sekolah']"
1658899806000.0,2022-07-27 12:30:06,2326502257,EuisDiamond,Euis Marlina,bahagianya melihat anakanak yang sudah kembali ke sekolah ptm semoga pandemi covid sudah berakhir aamiin,https://twitter.com/EuisDiamond/status/1552164404363419648,"['bahagia', 'lihat', 'anakanak', 'yang', 'sudah', 'kembali', 'ke', 'sekolah', 'ptm', 'moga', 'pandemi', 'covid', 'sudah', 'akhir', 'aamiin']"
1658714684000.0,2022-07-25 09:04:44,1049711295799296001,uyaboira,Ario Bayu,btw baru liat di instagram ternyata event tahunan udah dimulai lagi bukan seneng tapi kok gue serem yah liat sebegitu banyak orang ngumpul lagi di saat pandemi belum berakhir dunia sudah aman yah,https://twitter.com/uyaboira/status/1551387944480436224,"['btw', 'baru', 'liat', 'di', 'instagram', 'nyata', 'event', 'tahun', 'udah', 'mulai', 'lagi', 'bukan', 'neng', 'tapi', 'kok', 'saya', 'rem', 'yah', 'liat', 'begitu', 'banyak', 'orang', 'ngumpul', 'lagi', 'di', 'saat', 'pandemi', 'belum', 'akhir', 'dunia', 'sudah', 'aman', 'yah']"
1658656855000.0,2022-07-24 17:00:55,1079330909172559873,yumeze,yum.,kata gurunya pandemi sudah berakhir,https://twitter.com/yumeze/status/1551145394008379393,"['kata', 'guru', 'pandemi', 'sudah', 'akhir']"
1658549748000.0,2022-07-23 11:15:48,52231525,Adiitoo,ADIT || Sudah Booster Pakai Pfizer,temanteman inashhd yang nonton langsung ke sana tolong pengertiannya ingat ini lagi pandemi jangan sampai amitamit hal buruk terjadi kalau sampai terjadi dan pertunjukan terpaksa berakhir runyam kasihan mereka yang bekerja di teater terkena dampaknya,https://twitter.com/Adiitoo/status/1550696154446176257,"['temanteman', 'inashhd', 'yang', 'nonton', 'langsung', 'ke', 'sana', 'tolong', 'erti', 'ingat', 'ini', 'lagi', 'pandemi', 'jangan', 'sampai', 'amitamit', 'hal', 'buruk', 'jadi', 'kalau', 'sampai', 'jadi', 'dan', 'tunjuk', 'paksa', 'akhir', 'runyam', 'kasihan', 'mereka', 'yang', 'kerja', 'di', 'teater', 'kena', 'dampak']"
1658332844000.0,2022-07-20 23:00:44,1464821509319503872,kaltenghits,kaltenghits,salah herd imunity pandemi sudah berakhir,https://twitter.com/kaltenghits/status/1549786395493150720,"['salah', 'herd', 'imunity', 'pandemi', 'sudah', 'akhir']"
1658305353000.0,2022-07-20 15:22:33,1008430112,s0b_4rebu,Go Sweat Go ION リキソバリ,pake masker juga harus walaupun pandemi sudah berakhir karna masker dapat melindungi dari polusi udara,https://twitter.com/s0b_4rebu/status/1549671089001107456,"['pake', 'masker', 'juga', 'harus', 'walaupun', 'pandemi', 'sudah', 'akhir', 'karena', 'masker', 'dapat', 'lindung', 'dari', 'polusi', 'udara']"
1658291118000.0,2022-07-20 11:25:18,1355434368,retno_hd,Retno Hadiatni,kayaknya aku terakhir ke sana sebelum pandemi juga sudah ada,https://twitter.com/retno_hd/status/1549611383725371392,"['kayak', 'aku', 'akhir', 'ke', 'sana', 'belum', 'pandemi', 'juga', 'sudah', 'ada']"
1658289951000.0,2022-07-20 11:05:51,229832704,iwanalidarmawan,Iwan Ali Darmawan王阿力,bakery  iyya yasmkn bersebelahan dengan smpn terakhir makan mie ayam disitu akhir sebelum pandemi sekarang sudah ramai lagi yaaa,https://twitter.com/iwanalidarmawan/status/1549606486271086592,"['bakery', 'iyya', 'yasmkn', 'bahan', 'dengan', 'smpn', 'akhir', 'makan', 'mie', 'ayam', 'situ', 'akhir', 'belum', 'pandemi', 'sekarang', 'sudah', 'ramai', 'lagi', 'yaaa']"
1658283683000.0,2022-07-20 09:21:23,322559270,forjakeu,Entien _ Ajach 🐀,prokes ketat tetap masih berlaku saat kbm di sekolah siswa dan guru wajib memakai masker meski pembelajaran tatap muka sudah normal persen pencegahan penyebaran virus corona dilakukan mengingat pandemi belum sepenuhnya berakhir pagii bengkulu,https://twitter.com/forjakeu/status/1549580196977602560,"['prokes', 'ketat', 'tetap', 'masih', 'laku', 'saat', 'kbm', 'di', 'sekolah', 'siswa', 'dan', 'guru', 'wajib', 'pakai', 'masker', 'meski', 'ajar', 'tatap', 'muka', 'sudah', 'normal', 'persen', 'cegah', 'sebar', 'virus', 'corona', 'laku', 'ingat', 'pandemi', 'belum', 'sepenuh', 'akhir', 'pagi', 'bengkulu']"
1658283639000.0,2022-07-20 09:20:39,546123555,Kabar_Tangsel,Kabartangsel.com,cek fakta salah herd imunity pandemi sudahberakhir,https://twitter.com/Kabar_Tangsel/status/1549580013791592449,"['cek', 'fakta', 'salah', 'herd', 'imunity', 'pandemi', 'sudahberakhir']"
1658283634000.0,2022-07-20 09:20:34,546123555,Kabar_Tangsel,Kabartangsel.com,cek fakta salah herd imunity pandemi sudah berakhir via tangsel,https://twitter.com/Kabar_Tangsel/status/1549579992123994114,"['cek', 'fakta', 'salah', 'herd', 'imunity', 'pandemi', 'sudah', 'akhir', 'via', 'tangsel']"
