created_at,date,user_id,username,name,tweet,link,tweet_preproc
1659274045000.0,2022-07-31 20:27:25,2295554436,saz_azis,SaZ14,semoga keluarga yg ditinggalkan diberi kekuatan dan rezeki krn dia pasti tonggak nafkah keluarganya pasti bukan krn vaksin itu sads krn menurut para dokter kebanyakan di indo vaksin tdk menyebabkan kematian hanya kipi kalau ada ada yg mau debat eaaaa,https://twitter.com/saz_azis/status/1553734078490296320,"['moga', 'keluarga', 'yang', 'tinggal', 'beri', 'kuat', 'dan', 'rezeki', 'karena', 'dia', 'pasti', 'tonggak', 'nafkah', 'keluarga', 'pasti', 'bukan', 'karena', 'vaksin', 'itu', 'sads', 'karena', 'turut', 'para', 'dokter', 'banyak', 'di', 'indo', 'vaksin', 'tidak', 'sebab', 'mati', 'hanya', 'kipi', 'kalau', 'ada', 'ada', 'yang', 'mau', 'debat', 'eaaaa']"
1659221128000.0,2022-07-31 05:45:28,892181895093526528,HadiantoBroer,Broer hadianto,rusli bisa di artikan jika vaksin itu tidak mencegah virus malah menyebabkan kematian dan berbagai efek negatif lainnya and then whose to blame,https://twitter.com/HadiantoBroer/status/1553512128065130496,"['rusli', 'bisa', 'di', 'arti', 'jika', 'vaksin', 'itu', 'tidak', 'cegah', 'virus', 'malah', 'sebab', 'mati', 'dan', 'bagai', 'efek', 'negatif', 'lain', 'and', 'then', 'whose', 'to', 'blame']"
1659188430000.0,2022-07-30 20:40:30,1377678682232254464,Ronycawang,Rooney,hoaxgak mungkin ini disebabkan oleh vaksinkarena vaksin tidak menyebabkan gejala berat apalagi kematiankata para pemuja vaksin dan sales obat,https://twitter.com/Ronycawang/status/1553374980712562688,"['hoaxgak', 'mungkin', 'ini', 'sebab', 'oleh', 'vaksinkarena', 'vaksin', 'tidak', 'sebab', 'gejala', 'berat', 'apalagi', 'kematiankata', 'para', 'puja', 'vaksin', 'dan', 'sales', 'obat']"
1659153456000.0,2022-07-30 10:57:36,1455432398892453888,bedugtengahawan,lanang gede,ingat manusia bisa bersembunyi di dunia dari tampak buruk tapi di padang mahsyar siapa siapa sales vaksin yg menyebabkan kematian rakyat tercekik ekonomi sebab di batasi aplikasi maka dokter prof siapa orgnya akan di seret dg tangan dibelenggu,https://twitter.com/bedugtengahawan/status/1553228290630230016,"['ingat', 'manusia', 'bisa', 'sembunyi', 'di', 'dunia', 'dari', 'tampak', 'buruk', 'tapi', 'di', 'padang', 'mahsyar', 'siapa', 'siapa', 'sales', 'vaksin', 'yang', 'sebab', 'mati', 'rakyat', 'cekik', 'ekonomi', 'sebab', 'di', 'batas', 'aplikasi', 'maka', 'dokter', 'prof', 'siapa', 'orgnya', 'akan', 'di', 'seret', 'dengan', 'tangan', 'belenggu']"
1659139583000.0,2022-07-30 07:06:23,2376472662,kominfokaltim,Diskominfo Kaltim,telah beredar video menampilkan pernyataan bahwa vaksin covid yang telah diberikan kepada masyarakat indonesia merupakan vaksin yang belum dilakukan pengujian dan dapat menyebabkan kematian,https://twitter.com/kominfokaltim/status/1553170102132310018,"['telah', 'edar', 'video', 'tampil', 'nyata', 'bahwa', 'vaksin', 'covid', 'yang', 'telah', 'beri', 'kepada', 'masyarakat', 'indonesia', 'rupa', 'vaksin', 'yang', 'belum', 'laku', 'uji', 'dan', 'dapat', 'sebab', 'mati']"
1659052177000.0,2022-07-29 06:49:37,1314027993816166400,hey__kamu,Name cannot be blank,cuma nanya ya ini vaksin covid kalo ada efek jangka panjang yg menyebabkan kematian ini pertanggung jawabannya ke siapa dan jg apa yg bisa dipertanggung jawabkan setelah kehilangan nyawa vaksin yg lain itu butuh bertaun taun utk pengembangannya sedangkan ini efeknya aja gak,https://twitter.com/hey__kamu/status/1552803494452957184,"['cuma', 'nanya', 'ya', 'ini', 'vaksin', 'covid', 'kalau', 'ada', 'efek', 'jangka', 'panjang', 'yang', 'sebab', 'mati', 'ini', 'tanggung', 'jawab', 'ke', 'siapa', 'dan', 'juga', 'apa', 'yang', 'bisa', 'tanggung', 'jawab', 'telah', 'hilang', 'nyawa', 'vaksin', 'yang', 'lain', 'itu', 'butuh', 'taun', 'taun', 'untuk', 'kembang', 'sedang', 'ini', 'efek', 'aja', 'tidak']"
1658830166000.0,2022-07-26 17:09:26,1277854345,mirodenan,eggboy,hmm bukan salah vaksin ni ajal maut ditangan tuhan holy water by pfizer mana ada side effects apatah lagi menyebabkan kematian btw korunks dah cucuks belums yang ke atau dokroks aa sains sampai dos ke jerw xkan jadi antivaks mcm zulyahya kottsss lemah,https://twitter.com/mirodenan/status/1551872312919883776,"['hmm', 'bukan', 'salah', 'vaksin', 'ini', 'ajal', 'maut', 'tang', 'tuhan', 'holy', 'water', 'by', 'pfizer', 'mana', 'ada', 'side', 'effects', 'apatah', 'lagi', 'sebab', 'mati', 'btw', 'korunks', 'sudah', 'cucuks', 'belums', 'yang', 'ke', 'atau', 'dokroks', 'aa', 'sains', 'sampai', 'dos', 'ke', 'jerw', 'xkan', 'jadi', 'antivaks', 'mcm', 'zulyahya', 'kottsss', 'lemah']"
1658707669000.0,2022-07-25 07:07:49,1117481271549054976,JepiGun23,Jepi_Gun🏴🇵🇸,mui fatwa keharaman beberapa vaksin sdh ada awalnya krn kegawatdaruratan yg membolekan sesuatu yg haram  gunakan sekarang kalo udah ada wcna  apakah masih dlm konteks kegawatdaruratan jika tidak  vaksin menyebabkan kematian,https://twitter.com/JepiGun23/status/1551358523426340864,"['mui', 'fatwa', 'haram', 'beberapa', 'vaksin', 'sudah', 'ada', 'awal', 'karena', 'kegawatdaruratan', 'yang', 'membolekan', 'sesuatu', 'yang', 'haram', 'guna', 'sekarang', 'kalau', 'udah', 'ada', 'wcna', 'apakah', 'masih', 'dalam', 'konteks', 'kegawatdaruratan', 'jika', 'tidak', 'vaksin', 'sebab', 'mati']"
1658579150000.0,2022-07-23 19:25:50,1507261110369787905,simbokecahakeh,Kembang_Telekan,koko orang sakit flu tingkat kesembuhan kok solusinya vaksin yg malah banyak menyebabkan kematian ngawuuur itu namanya,https://twitter.com/simbokecahakeh/status/1550819477356703746,"['koko', 'orang', 'sakit', 'flu', 'tingkat', 'sembuh', 'kok', 'solusi', 'vaksin', 'yang', 'malah', 'banyak', 'sebab', 'mati', 'ngawuuur', 'itu', 'nama']"
1658556655000.0,2022-07-23 13:10:55,1249972882626637824,lawancovid19_id,KPCPEN #PakaiMasker,beredar video menampilkan pernyataan bahwa vaksin covid yang telah diberikan kepada masyarakat indonesia merupakan vaksin yang belum dilakukan pengujian dan dapat menyebabkan kematian,https://twitter.com/lawancovid19_id/status/1550725124231286784,"['edar', 'video', 'tampil', 'nyata', 'bahwa', 'vaksin', 'covid', 'yang', 'telah', 'beri', 'kepada', 'masyarakat', 'indonesia', 'rupa', 'vaksin', 'yang', 'belum', 'laku', 'uji', 'dan', 'dapat', 'sebab', 'mati']"
