created_at,date,user_id,username,name,tweet,link,tweet_preproc
1580339545000.0,2020-01-30 06:12:25,1364102923,Ariffajar46,Arif Fajar Pamungkas,fix virus corona bisa menyebar lewat hp cina tolong yang pakek hp cina dikondisikan,https://twitter.com/Ariffajar46/status/1222658785442844675,"['fix', 'virus', 'corona', 'bisa', 'sebar', 'lewat', 'hp', 'cina', 'tolong', 'yang', 'pakek', 'hp', 'cina', 'kondisi']"
1580325131000.0,2020-01-30 02:12:11,1194649581130141696,AndiAlf2211,Andi Alfian,virus corona bisa menyebar lewat hp xiaomi jadi kalo bersentuhan dengan hp xiaomi segera cuci tangan pake sabun bang,https://twitter.com/AndiAlf2211/status/1222598328828850176,"['virus', 'corona', 'bisa', 'sebar', 'lewat', 'hp', 'xiaomi', 'jadi', 'kalau', 'sentuh', 'dengan', 'hp', 'xiaomi', 'segera', 'cuci', 'tangan', 'pake', 'sabun', 'bang']"
1580303008000.0,2020-01-29 20:03:28,895339916174925824,mhmmd_khaedir,Khaedir,masa ada yang percaya sih virus corona menyebar lewat hp xiaomi yaelah gobloknya stadium berapa itu parah bett,https://twitter.com/mhmmd_khaedir/status/1222505541160714240,"['masa', 'ada', 'yang', 'percaya', 'sih', 'virus', 'corona', 'sebar', 'lewat', 'hp', 'xiaomi', 'yaelah', 'goblok', 'stadium', 'berapa', 'itu', 'parah', 'bett']"
1580299022000.0,2020-01-29 18:57:02,481141208,GiovanniFMandal,Mas Bendot,virus corona bukan menyebar lewat hp xiaomitapi menyebar lewat mobil corola karena sama coro,https://twitter.com/GiovanniFMandal/status/1222488820605603840,"['virus', 'corona', 'bukan', 'sebar', 'lewat', 'hp', 'xiaomitapi', 'sebar', 'lewat', 'mobil', 'corola', 'karena', 'sama', 'coro']"
1580297134000.0,2020-01-29 18:25:34,1101571504460840960,difzein,Dif Zein,viral virus corona menyebar lewat hp xiaomi ini penjelasan idi,https://twitter.com/difzein/status/1222480903726723077,"['viral', 'virus', 'corona', 'sebar', 'lewat', 'hp', 'xiaomi', 'ini', 'jelas', 'idi']"
1580295638000.0,2020-01-29 18:00:38,908262533131202561,Janahara_com,Janahara.com,waspada virus corona menyebar lewat hp cinabenarkah,https://twitter.com/Janahara_com/status/1222474629136179202,"['waspada', 'virus', 'corona', 'sebar', 'lewat', 'hp', 'cinabenarkah']"
1580295635000.0,2020-01-29 18:00:35,830184202737889281,endonesia_id,Endonesia.id,waspada virus corona menyebar lewat hp cinabenarkah,https://twitter.com/endonesia_id/status/1222474614720344064,"['waspada', 'virus', 'corona', 'sebar', 'lewat', 'hp', 'cinabenarkah']"
1580295576000.0,2020-01-29 17:59:36,1073072054767767552,bagerrrrrrr,bager,virus corona menyebar lewat hp xiomi,https://twitter.com/bagerrrrrrr/status/1222474366799081472,"['virus', 'corona', 'sebar', 'lewat', 'hp', 'xiomi']"
1580282876000.0,2020-01-29 14:27:56,163126674,RinaAnak_Bundaa,Rina Syafri,soal virus corona menyebar lewat hp xiaomi ikatan dokter indonesia ingatkan hatihati barang impor lewat,https://twitter.com/RinaAnak_Bundaa/status/1222421101776490497,"['soal', 'virus', 'corona', 'sebar', 'lewat', 'hp', 'xiaomi', 'ikat', 'dokter', 'indonesia', 'ingat', 'hatihati', 'barang', 'impor', 'lewat']"
1580276886000.0,2020-01-29 12:48:06,1140215810230640640,apasihlex_,Woy.,wuhan jiayou virus corona menyebar lewat hp cina,https://twitter.com/apasihlex_/status/1222395975903391745,"['wuhan', 'jiayou', 'virus', 'corona', 'sebar', 'lewat', 'hp', 'cina']"
