created_at,date,user_id,username,name,tweet,link
1659136163000.0,2022-07-30 06:09:23,1498975739206836224,FitriKarmela,Fitri Karmela,Jangan pernah berfikir kalau pandemi ini sudah berakhir ya sob. Karena mencegah itu lebih baik dari pada mengobati,https://twitter.com/FitriKarmela/status/1553155759562964992
1659017314000.0,2022-07-28 21:08:34,974822094591574019,inawrldlikethis,anu struggle tweet,"Pemerintah sekarang peka karena pandemi covid 19 ini prediksinya berakhir agak lama, then ketidakteraturan selalu meningkat yang bisa menyebabkan virusnya trs bermutasi. Dan ikuti aja lah lagian bukti vaksinasi sudah terpampang jelas bisa mereduksi jumlah kematian...  +gratis jg",https://twitter.com/inawrldlikethis/status/1552657266993930240
1658969131000.0,2022-07-28 07:45:31,96278765,pakzam,Moch. Zamroni,"Pandemi berakhir, sekolah kembali offline. Jam 06.00 WIB jalanan sudah ramai (macet di beberapa titik). Jalanan dipenuhi orang berangkat kerja dan orang tua mengantar anak berangkat sekolah.",https://twitter.com/pakzam/status/1552455175352516608
1658899806000.0,2022-07-27 12:30:06,2326502257,EuisDiamond,Euis Marlina,"Bahagianya melihat anak-anak yang sudah kembali ke sekolah, 100% PTM. Semoga pandemi covid sudah berakhir. Aamiin.  https://t.co/uURbWboL4X",https://twitter.com/EuisDiamond/status/1552164404363419648
1658714684000.0,2022-07-25 09:04:44,1049711295799296001,uyaboira,Ario Bayu,"Btw, baru liat di Instagram, ternyata event tahunan @tomorrowland udah dimulai lagi. Bukan seneng, tapi kok gue serem yah, liat sebegitu banyak orang ngumpul lagi di saat pandemi belum berakhir. Dunia sudah aman yah? 😨",https://twitter.com/uyaboira/status/1551387944480436224
1658656855000.0,2022-07-24 17:00:55,1079330909172559873,yumeze,yum.,"kata gurunya ""pandemi sudah berakhir"" 🤨",https://twitter.com/yumeze/status/1551145394008379393
1658549748000.0,2022-07-23 11:15:48,52231525,Adiitoo,ADIT || Sudah Booster Pakai Pfizer,"Teman-teman INA-SHHD yang nonton langsung ke sana, tolong pengertiannya. Ingat, ini lagi pandemi, jangan sampai (amit-amit) hal buruk terjadi. Kalau sampai terjadi dan pertunjukan terpaksa berakhir, runyam. Kasihan mereka yang bekerja di teater terkena dampaknya.",https://twitter.com/Adiitoo/status/1550696154446176257
1658332844000.0,2022-07-20 23:00:44,1464821509319503872,kaltenghits,kaltenghits,"[SALAH] Herd Imunity, Pandemi Sudah Berakhir  https://t.co/XI0zr4Sx9q",https://twitter.com/kaltenghits/status/1549786395493150720
1658305353000.0,2022-07-20 15:22:33,1008430112,s0b_4rebu,Go Sweat Go ION リキソバリ,Pake masker juga harus walaupun pandemi sudah berakhir. Karna masker dapat melindungi dari polusi udara.,https://twitter.com/s0b_4rebu/status/1549671089001107456
1658291118000.0,2022-07-20 11:25:18,1355434368,retno_hd,Retno Hadiatni,@soklatndlewer Kayaknya aku terakhir ke sana sebelum pandemi juga sudah ada.,https://twitter.com/retno_hd/status/1549611383725371392
