created_at,date,user_id,username,name,tweet,link,tweet_preproc,Label
1659133936000.0,2022-07-30 05:32:16,1288741435332677632,Lantasresblw,satlantaspolrespelabuhanbelawan,kegiatan rutin yang ditingkatkan sat lantas polres pel blwn melaksanakan sosialisasi peraturan berlalu lintas dan penerapan prokes serta menghimbau kepada masyarakat dan para pengguna jalan agar melaksanakan vaksin dan mencegah penyebaran wabah covid,https://twitter.com/Lantasresblw/status/1553146417279291392,"['giat', 'rutin', 'yang', 'tingkat', 'sat', 'lantas', 'polres', 'pel', 'blwn', 'laksana', 'sosialisasi', 'atur', 'lalu', 'lintas', 'dan', 'terap', 'prokes', 'serta', 'menghimbau', 'kepada', 'masyarakat', 'dan', 'para', 'guna', 'jalan', 'agar', 'laksana', 'vaksin', 'dan', 'cegah', 'sebar', 'wabah', 'covid']",0
1659075925000.0,2022-07-29 13:25:25,1356456322716286976,mraldy13,mraldy,manfaat vaksin booster dokter untuk mencegah gejala berat dan long covid booster lindungi diri,https://twitter.com/mraldy13/status/1552903102944010240,"['manfaat', 'vaksin', 'booster', 'dokter', 'untuk', 'cegah', 'gejala', 'berat', 'dan', 'long', 'covid', 'booster', 'lindung', 'diri']",0
1659075655000.0,2022-07-29 13:20:55,1449326107107282950,uta41768366,Dewi Utari,jika memang vaksin cacar bisa mencegah cacar monyet apa tidak sebaiknya vaksinasi cacar diutamakan ke masyarakat daripada boster ke vaksin covid,https://twitter.com/uta41768366/status/1552901967353380865,"['jika', 'memang', 'vaksin', 'cacar', 'bisa', 'cegah', 'cacar', 'monyet', 'apa', 'tidak', 'baik', 'vaksinasi', 'cacar', 'utama', 'ke', 'masyarakat', 'daripada', 'boster', 'ke', 'vaksin', 'covid']",0
1659072397000.0,2022-07-29 12:26:37,235458355,aiistwts,aulia ika i,nanti juga dia bakal vaksin covid juga insyaallah kenapa vaksinnya buanyak ya emang penyakitnya buanyak lek aku se lebih baik mencegah daripada mengobati,https://twitter.com/aiistwts/status/1552888302881370118,"['nanti', 'juga', 'dia', 'bakal', 'vaksin', 'covid', 'juga', 'insyaallah', 'kenapa', 'vaksin', 'banyak', 'ya', 'emang', 'sakit', 'banyak', 'lek', 'aku', 'se', 'lebih', 'baik', 'cegah', 'daripada', 'obat']",0
1659071384000.0,2022-07-29 12:09:44,1145552937961177090,PklHumas,Humas Polsek Pkl. Susu,kegiatan kasium polsek pangkalan susu aiptu sugiharto melaksanakan kegiatan monitoring vaksin untuk masyarakat umum di upt puskesmas pkl susu sehingga masyarakat dapat mencegah penyebaran covid,https://twitter.com/PklHumas/status/1552884055058059265,"['giat', 'kasium', 'polsek', 'pangkal', 'susu', 'aiptu', 'sugiharto', 'laksana', 'giat', 'monitoring', 'vaksin', 'untuk', 'masyarakat', 'umum', 'di', 'upt', 'puskesmas', 'pkl', 'susu', 'sehingga', 'masyarakat', 'dapat', 'cegah', 'sebar', 'covid']",0
1659069389000.0,2022-07-29 11:36:29,4756031396,YDarmokoesumo,seeYen,jika tak mampu mencegah penularan bukan berarti vaksin covid lantas tak efektif terbukti vaksinasi booster bisa mengurangi risiko kematian covid hingga persen berdasarkan data kemenkes ri,https://twitter.com/YDarmokoesumo/status/1552875688008777728,"['jika', 'tak', 'mampu', 'cegah', 'tular', 'bukan', 'arti', 'vaksin', 'covid', 'lantas', 'tak', 'efektif', 'bukti', 'vaksinasi', 'booster', 'bisa', 'kurang', 'risiko', 'mati', 'covid', 'hingga', 'persen', 'dasar', 'data', 'kemenkes', 'ri']",0
1659068618000.0,2022-07-29 11:23:38,912850970,SuryadiGatot,No Name,katanya vaksinfucksin mencegah keparahan mencegah kematian kalau kena covid kok,https://twitter.com/SuryadiGatot/status/1552872451909988353,"['kata', 'vaksinfucksin', 'cegah', 'parah', 'cegah', 'mati', 'kalau', 'kena', 'covid', 'kok']",0
1659067388000.0,2022-07-29 11:03:08,1288741435332677632,Lantasresblw,satlantaspolrespelabuhanbelawan,kegiatan rutin yang ditingkatkan sat lantas polres pel blwn melaksanakan sosialisasi peraturan berlalu lintas dan penerapan prokes serta menghimbau kepada masyarakat dan para pengguna jalan agar melaksanakan vaksin dan mencegah penyebaran wabah covid,https://twitter.com/Lantasresblw/status/1552867295411974146,"['giat', 'rutin', 'yang', 'tingkat', 'sat', 'lantas', 'polres', 'pel', 'blwn', 'laksana', 'sosialisasi', 'atur', 'lalu', 'lintas', 'dan', 'terap', 'prokes', 'serta', 'menghimbau', 'kepada', 'masyarakat', 'dan', 'para', 'guna', 'jalan', 'agar', 'laksana', 'vaksin', 'dan', 'cegah', 'sebar', 'wabah', 'covid']",0
1659063394000.0,2022-07-29 09:56:34,1431844927961387010,Lantas_Sergai,SAT LANTAS POLRES SERGAI,ayo vaksin dan patuhi prokes dalam kehidupan sehari hari untuk mencegah penularan virus covid,https://twitter.com/Lantas_Sergai/status/1552850542875267073,"['ayo', 'vaksin', 'dan', 'patuh', 'prokes', 'dalam', 'hidup', 'hari', 'hari', 'untuk', 'cegah', 'tular', 'virus', 'covid']",0
1659061570000.0,2022-07-29 09:26:10,1460032430245654531,AdrienPdkrUtr,Adrien,vaksin booster guna mencegah penyebaran covid booster lindungi diri,https://twitter.com/AdrienPdkrUtr/status/1552842892376698880,"['vaksin', 'booster', 'guna', 'cegah', 'sebar', 'covid', 'booster', 'lindung', 'diri']",0
