created_at,date,user_id,username,name,tweet,link
1653845097000.0,2022-05-30 00:24:57,1109052544796352513,AsyiFahmi,Fahmi Al Asyi فهمي الأشي,@vienanne_ @_dguzel Vaksin itu bisnis dajjal,https://twitter.com/AsyiFahmi/status/1530963417477320704
1653843294000.0,2022-05-29 23:54:54,1334033424668008450,Kimberley20101,Kimberley,@BesseHidayah Ngeri dan geram. Tapi rakyat tak bisa berbuat banyak. Semoga Allah melindungi generasi bangsa ini dari efek jangka panjang vaksin bisnis para politisi.,https://twitter.com/Kimberley20101/status/1530955855004602369
1653842527000.0,2022-05-29 23:42:07,215839128,hendra_roestoe,HendraRoestoeMulyana,"Saya lebih Percaya kpd Dr. Siti Fadilah Supari, karena beliau juga yg membuka Topeng Virus Flu Burung dl untuk di jadikan Lahan Bisnis Vaksin",https://twitter.com/hendra_roestoe/status/1530952637507506177
1653835993000.0,2022-05-29 21:53:13,1391273164731125760,FiinaDu,fina,"@WakniSyaiful Bisnis ya, klo vaksin blm habis blm bisa balikin modal. Jadi gasak sana sini. Kejam 🤦",https://twitter.com/FiinaDu/status/1530925235100188672
1653822454000.0,2022-05-29 18:07:34,606328025,kanitanafiza,💚Kanza💚🌄,Rockefeller milyuner amerika terkenal semula jd pengusaha minyak lalu merambah dunia kesehatan/farmasi yg bikin tambah kaya Bill Gates dr pebisnis software ke produksi obat/vaksin jg nambah cuan berlipat² Bisnis kesehatan akan trus ada n gurih cuannya Kira² Elon Musk ikutan ga?,https://twitter.com/kanitanafiza/status/1530868448485863424
1653725462000.0,2022-05-28 15:11:02,1362243328276762626,wahiidin,wahiidin,"@SoftWarNews Smoga sj bukan jd bisnis, ada yg bilang klo bisnisnya senjata spy laku harus ada perang, takutnya jd gitu jg, ada bisnis vaksin tentunya harus ada penyakit, bisa disebut senjata biologis gak itu ya?? Entahlah 😅",https://twitter.com/wahiidin/status/1530461634774577152
1653722924000.0,2022-05-28 14:28:44,1467654128029474816,RizkiarPP,Komando INti Rizky,@MprAldo @aniesbaswedan Ane jawab beh @ Krena kalao Anis komentar dan menolak Vaksin. Jabatan akan di pecat oleh Mendagri Ats printah presiden. Krena menghalangi Rezim berbisnis shingga mengorban kan nyawa rakyat sbgai tumbal bisnis mereka. Jalan satu-satunya adalah perlawanan dr rakyat Indonesia!!,https://twitter.com/RizkiarPP/status/1530450987252858881
1653715912000.0,2022-05-28 12:31:52,1465587620616884230,MprAldo,BabehAldoMPR,BISNIS LUAR BIASA !!! VAKSIN UDAH SIAP DARI 2019 !!! Link :  https://t.co/i5wkfplyi7  #KeluarDariWHO  #KeluarDariWHO  https://t.co/OvFlYbHfc7,https://twitter.com/MprAldo/status/1530421576688369664
1653712053000.0,2022-05-28 11:27:33,118646322,Bisniscom,Bisnis.com,Ini Progres Pembuatan Vaksin Penyakit Mulut dan Kuku  https://t.co/zkp7iKJRpQ,https://twitter.com/Bisniscom/status/1530405390441017345
1653710726000.0,2022-05-28 11:05:26,1528282299091275777,UmJihan69,Um Jihan,"@elizabethlisa76 Logikanya, kenapa ke Afrika? Afrika daya belinya gak ada , gimana mau buat bisnis vaksin? Salah2 malah suruh diminta bantuan .",https://twitter.com/UmJihan69/status/1530399823932731392
1653672274000.0,2022-05-28 00:24:34,1426251818527444992,KaiAndromeda,Mandroid|Kai,"Wajar.. Komnas ini ada hanya utk menguatkan Bisnis Vaksin ini terus berjalan mulus. Ketika ada gugatan dipengadilan, Komnas ini pasti jdi saksi pelindung negara  Coba aja statementnya begini : Rata Rata Pasien Meninggal Setelah di Vaksin  LBP : BUBARKAN KOMNAS KIPI  https://t.co/Ur0ACkb2CT",https://twitter.com/KaiAndromeda/status/1530238547902734336
1653641907000.0,2022-05-27 15:58:27,1131257783486013440,MasN4jib,71B,@GeiszChalifah bisnis vaksin ga diitung ?,https://twitter.com/MasN4jib/status/1530111177573175297
1653633491000.0,2022-05-27 13:38:11,1193096656176025600,Neng_Anyar,Nêng Añyâr ﷽,"@alisyarief ""Wow, ada peluang bisnis baru dan dpt cuan lagi ini. Lumayan pemburu rente vaksin dan antigen virus Hendra."" pikir para mafia vaksin.",https://twitter.com/Neng_Anyar/status/1530075879925161985
