created_at,date,user_id,username,name,tweet,link
1659133936000.0,2022-07-30 05:32:16,1288741435332677632,Lantasresblw,satlantaspolrespelabuhanbelawan,KEGIATAN RUTIN YANG DITINGKATKAN SAT LANTAS POLRES PEL BLWN MELAKSANAKAN SOSIALISASI   PERATURAN BERLALU LINTAS DAN PENERAPAN PROKES SERTA MENGHIMBAU KEPADA MASYARAKAT DAN PARA PENGGUNA JALAN AGAR MELAKSANAKAN VAKSIN DAN MENCEGAH PENYEBARAN WABAH COVID 19.  https://t.co/cY2xOBlcyL,https://twitter.com/Lantasresblw/status/1553146417279291392
1659075925000.0,2022-07-29 13:25:25,1356456322716286976,mraldy13,mraldy,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 Booster Lindungi Diri  https://t.co/UBSk8OVG9i",https://twitter.com/mraldy13/status/1552903102944010240
1659075655000.0,2022-07-29 13:20:55,1449326107107282950,uta41768366,Dewi Utari,"Jika memang vaksin Cacar bisa mencegah Cacar Monyet, apa tidak sebaiknya Vaksinasi Cacar diutamakan ke Masyarakat daripada Boster ke 4 Vaksin Covid 19?",https://twitter.com/uta41768366/status/1552901967353380865
1659072397000.0,2022-07-29 12:26:37,235458355,aiistwts,aulia ika i,Nanti juga dia bakal vaksin covid juga insyaallah. Kenapa vaksinnya buanyak? Ya emang penyakitnya buanyak. Lek aku se lebih baik mencegah daripada mengobati.,https://twitter.com/aiistwts/status/1552888302881370118
1659071384000.0,2022-07-29 12:09:44,1145552937961177090,PklHumas,Humas Polsek Pkl. Susu,Kegiatan : Kasium Polsek Pangkalan Susu AIPTU SUGIHARTO melaksanakan kegiatan monitoring vaksin untuk masyarakat umum di UPT Puskesmas Pkl. Susu sehingga masyarakat dapat mencegah penyebaran covid-19.  https://t.co/kMCJEbp1m7,https://twitter.com/PklHumas/status/1552884055058059265
1659069389000.0,2022-07-29 11:36:29,4756031396,YDarmokoesumo,seeYen,"@DokterTifa Jika tak mampu mencegah penularan, bukan berarti vaksin COVID-19 lantas tak efektif. Terbukti, vaksinasi booster bisa mengurangi risiko kematian COVID-19 hingga 91 persen berdasarkan data Kemenkes RI.",https://twitter.com/YDarmokoesumo/status/1552875688008777728
1659068618000.0,2022-07-29 11:23:38,912850970,SuryadiGatot,No Name,Katanya Vaksin/Fucksin mencegah keparahan ? mencegah kematian kalau kena covid ?  Kok ?,https://twitter.com/SuryadiGatot/status/1552872451909988353
1659067388000.0,2022-07-29 11:03:08,1288741435332677632,Lantasresblw,satlantaspolrespelabuhanbelawan,KEGIATAN RUTIN YANG DITINGKATKAN SAT LANTAS POLRES PEL BLWN MELAKSANAKAN SOSIALISASI   PERATURAN BERLALU LINTAS DAN PENERAPAN PROKES SERTA MENGHIMBAU KEPADA MASYARAKAT DAN PARA PENGGUNA JALAN AGAR MELAKSANAKAN VAKSIN DAN MENCEGAH PENYEBARAN WABAH COVID 19.  https://t.co/zNH94JPSsQ,https://twitter.com/Lantasresblw/status/1552867295411974146
1659063394000.0,2022-07-29 09:56:34,1431844927961387010,Lantas_Sergai,SAT LANTAS POLRES SERGAI,Ayo Vaksin dan Patuhi Prokes dalam Kehidupan Sehari Hari  Untuk mencegah Penularan Virus Covid 19. #pandemibelumberakhir  #patuhiprotokolkesehatan  #ingat5m  #bersatulawancovid19  https://t.co/ALyV8m93gu,https://twitter.com/Lantas_Sergai/status/1552850542875267073
1659061570000.0,2022-07-29 09:26:10,1460032430245654531,AdrienPdkrUtr,Adrien,@Indrian950 Vaksin Booster guna mencegah penyebaran Covid-19  Booster Lindungi Diri,https://twitter.com/AdrienPdkrUtr/status/1552842892376698880
1659058201000.0,2022-07-29 08:30:01,2890721762,LINIKINI_ID,LINIKINI_ID,"Yeay! Udah ada vaksin booster kedua nih, #Commuters!😌  Tapi dosis keempat ini, lebih diutamakan buat tenaga kesehatan RI yang lagi berjuang ngerawat pasien Covid-19 ya😉   Untuk mencegah tingginya kasus tersebut, jangan lupa selalu patuhi prokes yang ada 😷  Source:@detikHealth  https://t.co/rTK26crkab",https://twitter.com/LINIKINI_ID/status/1552828761921695744
1658996880000.0,2022-07-28 15:28:00,825945728858021889,pemkot_salatiga,Pemkot Salatiga #salatigasatujua,"#sedulursalatiga, pemerintah terus melakukan cara untuk mencegah dan menanggulangi Covid-19. Salah satunya adalah dengan pelaksanaan vaksin dosis lanjutan (booster). Penerapan kebijakan baru ini dilatarbelakangi oleh capaian vaksinasi booster yang masih rendah.  #vaksinbooster  https://t.co/5Avr3LYL0w",https://twitter.com/pemkot_salatiga/status/1552571562632826880
1658992440000.0,2022-07-28 14:14:00,241936971,FitRadioBandung,94.8 FM FIT Radio Bandung,"Jika pandemi Covid-19 masih berlanjut, pemerintah merencakan vaksinasi booster kedua sebagai penguat antibodi.  Meski tidak mencegah penularan, vaksin terbukti ampuh untuk melawan risiko bergejala berat dan mengurangi risiko perawatan di rumah sakit.  #StaySafe #StayFitForLife  https://t.co/gUA2PyK7Xe",https://twitter.com/FitRadioBandung/status/1552552938442203138
1658988093000.0,2022-07-28 13:01:33,1413420284539928579,RezaAjj31399949,Reza Ajja,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 Prokes Lengkapi Booster  https://t.co/7fkugrCUHe",https://twitter.com/RezaAjj31399949/status/1552534706331078656
1658988031000.0,2022-07-28 13:00:31,1356692433984126976,EkaSilawati2,Eka Silawati,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 Prokes Lengkapi Booster  https://t.co/T94jYJRlsJ",https://twitter.com/EkaSilawati2/status/1552534448968978432
1658985354000.0,2022-07-28 12:15:54,1145552937961177090,PklHumas,Humas Polsek Pkl. Susu,Kegiatan Kanit Binmas Polsek Pangkalan Susu AIPDA TARMADI RAHANTO &amp; AIPDA JOKO IRMANSYAH melaksanakan kegiatan monitoring vaksin masal untuk masyarakat umum di UPT Puskesmas Pkl. Susu sehingga masyarakat dapat mencegah penyebaran covid-19.  https://t.co/YzlecvozHP,https://twitter.com/PklHumas/status/1552523220531957760
1658984598000.0,2022-07-28 12:03:18,1413384274376491014,IndonesiaSht,Indonesia Sehat,Vaksin Covid-19 teruji dan terbukti mencegah penularan varian baru Covid-19.  Prokes Lengkapi Booster  https://t.co/LrJMX6XGPD,https://twitter.com/IndonesiaSht/status/1552520048660869123
1658984595000.0,2022-07-28 12:03:15,1413384274376491014,IndonesiaSht,Indonesia Sehat,Vaksin Covid-19 teruji dan terbukti mencegah penularan varian baru Covid-19.  Prokes Lengkapi Booster  https://t.co/5foUJurqlh,https://twitter.com/IndonesiaSht/status/1552520033284550657
1658982992000.0,2022-07-28 11:36:32,1549651939016982529,KrissBee12,Kriss Bee,"Manfaat Vaksin Booster, Mencegah Gejala Berat dan Long COVID-19, Prokes Lengkapi Booster",https://twitter.com/KrissBee12/status/1552513313149714433
1658979874000.0,2022-07-28 10:44:34,1091038500,SAIFULDINDUNGUN,SAIFULDINDUNGUN,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 Prokes Lengkapi Booster  https://t.co/JpGqZqHSEc",https://twitter.com/SAIFULDINDUNGUN/status/1552500233812078592
1658978587000.0,2022-07-28 10:23:07,23343960,kompascom,Kompas.com,Vaksin Covid-19 AstraZeneca (AZD1222) sebagai booster dosis krempat terbukti efektif dalam mencegah infeksi Covid-19 akibat Omicron.  https://t.co/f0ag2lyhah,https://twitter.com/kompascom/status/1552494835658940416
1658978490000.0,2022-07-28 10:21:30,1356936099055104003,Ristyan25825085,Ristyani,Waspada hoax terkait vaksin! Vaksin yang digunakan aman untuk mencegah terjadinya penularan Covid-19. Prokes Lengkapi Booster,https://twitter.com/Ristyan25825085/status/1552494429600002048
1658978146000.0,2022-07-28 10:15:46,869493001638232065,doughneut,doughneut,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 Prokes Lengkapi Booster  https://t.co/ppcE60B96M",https://twitter.com/doughneut/status/1552492988231995392
1658976801000.0,2022-07-28 09:53:21,2946857485,ElisseJea,jea elisse fremista,Jokowi Minta Jamaah Haji Suntik Vaksin Booster Sebelum Pulang ke Rumah Masing-masing guna mencegah penyebaran Covid-19 Prokes Lengkapi Booster,https://twitter.com/ElisseJea/status/1552487343713656832
1658976673000.0,2022-07-28 09:51:13,1431844927961387010,Lantas_Sergai,SAT LANTAS POLRES SERGAI,Ayo Vaksin dan Patuhi Prokes dalam Kehidupan Sehari Hari  Untuk mencegah Penularan Virus Covid 19. #pandemibelumberakhir  #patuhiprotokolkesehatan  #ingat5m  #bersatulawancovid19  https://t.co/4BbfomZrtY,https://twitter.com/Lantas_Sergai/status/1552486808109592576
1658973935000.0,2022-07-28 09:05:35,2324939318,EnnyLowe,enny,Jokowi Minta Jamaah Haji Suntik Vaksin Booster Sebelum Pulang ke Rumah Masing-masing guna mencegah penyebaran Covid-19 Prokes Lengkapi Booster  https://t.co/svOgswLuFC,https://twitter.com/EnnyLowe/status/1552475324180336640
1658973675000.0,2022-07-28 09:01:15,1143085007193329664,Ranisor,Rani soraya,@forjakeu @Anggita_lung Vaksin dan  booster mencegah penularan covid-19  #VaksinProkesCegahCovid Kamis Pagii Hindari Asumsi,https://twitter.com/Ranisor/status/1552474231723544577
1658970722000.0,2022-07-28 08:12:02,1272953532535062529,chinta_chintata,💕Indomiee Seleraku ❤️,"Juru Bicara Satgas Penanganan COVID-19 Wiku Adisasmito menyampaikan tiga manfaat pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona.  #VaksinProkesCegahCovid Kamis Pagii Hindari Asumsi  https://t.co/sWul7VJFri",https://twitter.com/chinta_chintata/status/1552461848435236865
1658964035000.0,2022-07-28 06:20:35,1288741435332677632,Lantasresblw,satlantaspolrespelabuhanbelawan,KEGIATAN RUTIN YANG DITINGKATKAN SAT LANTAS POLRES PEL BLWN MELAKSANAKAN SOSIALISASI   PERATURAN BERLALU LINTAS DAN PENERAPAN PROKES SERTA MENGHIMBAU KEPADA MASYARAKAT DAN PARA PENGGUNA JALAN AGAR MELAKSANAKAN VAKSIN DAN MENCEGAH PENYEBARAN WABAH COVID 19.  https://t.co/UK5PVDr4pX,https://twitter.com/Lantasresblw/status/1552433802198536192
1658927053000.0,2022-07-27 20:04:13,1236540381078024193,emha_baraja,Quid Pro Quo,"Udah vaksin brp kali? Katanya vaksin mencegah keparahan dan kematian akibat covid, kok narasi sekarang justru berkebalikan kampanye vaksinasi sblmnya?  Akun jualan kopit dan vaksinajis begini udah ga bisa gerak, maju kena mundur kena. Ambyar!!  Lu kira masyarakat masih percaya?!",https://twitter.com/emha_baraja/status/1552278686472146944
1658916657000.0,2022-07-27 17:10:57,1418819663824310272,bobi_kunku,Bobi Kun,"@EricHermansyah Masa sudah vaksin lengkap plus booster masih bisa kena covid??? Sampai meninggal dunia pulak, katanya vaksin mencegah kematian?? Buat apa vaksin kalo gitu. Gak ada gunanya!!",https://twitter.com/bobi_kunku/status/1552235084110893056
1658907808000.0,2022-07-27 14:43:28,3067368570,etibers,Muhammad Efendy Gazali,@_Banyoe Udah vaksin msh kena  covid?  Vaksin bukan utk mencegah covid tp agar tdk terpapar parah bila kena covid,https://twitter.com/etibers/status/1552197969016852480
1658902389000.0,2022-07-27 13:13:09,1357977957143248898,KambuayaDaniel,Daniel Kambuaya,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/FoS7Ziq2IW Vaksin Imun Kuat",https://twitter.com/KambuayaDaniel/status/1552175237789233152
1658898291000.0,2022-07-27 12:04:51,1549651939016982529,KrissBee12,Kriss Bee,"Manfaat Vaksin Booster Untuk Mencegah Gejala Berat dan Long COVID-19, Vaksin Imun Kuat",https://twitter.com/KrissBee12/status/1552158048588005377
1658897315000.0,2022-07-27 11:48:35,1412690254260178944,MantapDavid,David Mantap Mantap,Vaksinasi Booster Untuk Mencegah Penyebaran Kasus Covid 19 Vaksin Imun Kuat,https://twitter.com/MantapDavid/status/1552153958067499010
1658896054000.0,2022-07-27 11:27:34,1539810899107926016,suciyaniy34,Suciyani Yani,Vaksin Booster merupakan upaya pemerintah mencegah penularan covid-19.Vaksin Imun Kuat,https://twitter.com/suciyaniy34/status/1552148665757990913
1658894617000.0,2022-07-27 11:03:37,1356960461657309184,setiadi8770,@yenny_setiadi8770,Penerapan Vaksinasi Booster untuk mencegah peningkatan paparan covid. Vaksin Imun Kuat,https://twitter.com/setiadi8770/status/1552142640136695814
1658893962000.0,2022-07-27 10:52:42,1357030478608441344,novitadewe,novitadewi,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/vncqtDBESP kCegah Kasus Covid Naik Lagi, DPRD dan Pemprov Jateng Kompak Akselerasi Vaksin Booster | Vaksin Imun Kuat #RiauDamai  https://t.co/FYWL7lPeGO",https://twitter.com/novitadewe/status/1552139891877679105
1658893952000.0,2022-07-27 10:52:32,1357030478608441344,novitadewe,novitadewi,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/vncqtDBESP",https://twitter.com/novitadewe/status/1552139850219790336
1658893847000.0,2022-07-27 10:50:47,1356999943932706817,CandraLepi,Candra Lepi,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/yjVmOmyGLc VAKSIN IMUN KUAT",https://twitter.com/CandraLepi/status/1552139409956675584
1658893808000.0,2022-07-27 10:50:08,1460032430245654531,AdrienPdkrUtr,Adrien,@Indrian950 Yuk terapkan protokol kesehatan demi mencegah penularan Covid-19 varian baru  Vaksin Imun Kuat,https://twitter.com/AdrienPdkrUtr/status/1552139248459218944
1658893414000.0,2022-07-27 10:43:34,1431844927961387010,Lantas_Sergai,SAT LANTAS POLRES SERGAI,Ayo Vaksin dan Patuhi Prokes dalam Kehidupan Sehari Hari  Untuk mencegah Penularan Virus Covid 19. #pandemibelumberakhir  #patuhiprotokolkesehatan  #ingat5m  #bersatulawancovid19  https://t.co/r8KvJ88YEk,https://twitter.com/Lantas_Sergai/status/1552137596331261952
1658893347000.0,2022-07-27 10:42:27,252350697,aldhopriskap,Aldho Priskap,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/5NIldDHwSn",https://twitter.com/aldhopriskap/status/1552137315195072513
1658892983000.0,2022-07-27 10:36:23,1042645707214094336,salsabilah415,salsa.bilah,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/a4zZuQlxYl",https://twitter.com/salsabilah415/status/1552135785327263745
1658892947000.0,2022-07-27 10:35:47,1357064271750864896,AzkilaBrahmana,Azkila Brahmana,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/UfQLHLYQBi",https://twitter.com/AzkilaBrahmana/status/1552135634998812672
1658892863000.0,2022-07-27 10:34:23,1513708786800017415,SajaJarwo,Jarwo Saja,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/zr1ChpAmeQ Vaksin Imun Kuat",https://twitter.com/SajaJarwo/status/1552135283046744064
1658892853000.0,2022-07-27 10:34:13,1509828718302498817,Gundala36586459,Gundala Putra,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/xtVKCg5KO6 Vaksin Imun Kuat",https://twitter.com/Gundala36586459/status/1552135241179209728
1658892618000.0,2022-07-27 10:30:18,1357951418527670272,opposlte6890,Opposite6890,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/lT7KGKlKXa",https://twitter.com/opposlte6890/status/1552134257375854593
1658892608000.0,2022-07-27 10:30:08,1385772904198012931,kalalo_fitri,Fitri kalalo,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/6YbPvzDrxR  Vaksin Imun Kuat",https://twitter.com/kalalo_fitri/status/1552134213402783744
1658892607000.0,2022-07-27 10:30:07,389302720,GufronPutra5,Gufron Putra,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/HWzNvw8lpu  Vaksin Imun Kuat",https://twitter.com/GufronPutra5/status/1552134208306708480
1658892385000.0,2022-07-27 10:26:25,895695243542003712,churrnos,churrnos,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 Vaksin Imun Kuat  https://t.co/IgP4oeviCg",https://twitter.com/churrnos/status/1552133279138324480
1658892282000.0,2022-07-27 10:24:42,1509828718302498817,Gundala36586459,Gundala Putra,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/xtVKCg5KO6 Vaksin Imun Kuat",https://twitter.com/Gundala36586459/status/1552132844696539136
1658892279000.0,2022-07-27 10:24:39,1513708786800017415,SajaJarwo,Jarwo Saja,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/zr1ChpAmeQ Vaksin Imun Kuat",https://twitter.com/SajaJarwo/status/1552132832348483585
1658892162000.0,2022-07-27 10:22:42,343945359,AlvinaAulya,Alvina aulya putrie,"Manfaat Vaksin Booster, Untuk Mencegah Gejala Berat dan Long COVID-19 --- Vaksin Imun Kuat",https://twitter.com/AlvinaAulya/status/1552132345234595840
1658892088000.0,2022-07-27 10:21:28,1396063466096500737,dari_papua,Dari Papua Untuk Indonesia,@sebarberitacov Dengan vaksin dan prokes dapat mencegah penularan covid 19. Kita senang semua aman,https://twitter.com/dari_papua/status/1552132033396510720
1658892083000.0,2022-07-27 10:21:23,1357049031994695684,RizkaEak,rizka fitriani,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19 | Vaksin Imun Kuat #RiauDamai  https://t.co/ammK9EyVsr",https://twitter.com/RizkaEak/status/1552132010503655424
1658891915000.0,2022-07-27 10:18:35,1396689894571855880,Sintia38708070,Sintia,"Manfaat Vaksin Booster, Dokter: Untuk Mencegah Gejala Berat dan Long COVID-19  https://t.co/eDZwAu8h8w  Vaksin Imun Kuat",https://twitter.com/Sintia38708070/status/1552131305352994818
