created_at,date,user_id,username,name,tweet,link
1580339545000.0,2020-01-30 06:12:25,1364102923,Ariffajar46,Arif Fajar Pamungkas,"Fix, virus corona bisa menyebar lewat hp cina, tolong yang pakek hp cina dikondisikan 😒",https://twitter.com/Ariffajar46/status/1222658785442844675
1580325131000.0,2020-01-30 02:12:11,1194649581130141696,AndiAlf2211,Andi Alfian,@qorygore Virus Corona bisa menyebar lewat hp Xiaomi. Jadi kalo bersentuhan dengan hp Xiaomi segera cuci tangan pake sabun bang #bacotansantuy,https://twitter.com/AndiAlf2211/status/1222598328828850176
1580303008000.0,2020-01-29 20:03:28,895339916174925824,mhmmd_khaedir,Khaedir,"Masa ada yang percaya sih virus corona menyebar lewat hp xiaomi, yaelah  gobloknya stadium berapa itu ? Parah bett",https://twitter.com/mhmmd_khaedir/status/1222505541160714240
1580299022000.0,2020-01-29 18:57:02,481141208,GiovanniFMandal,Mas Bendot,"Virus corona bukan menyebar lewat hp xiaomi,tapi menyebar lewat mobil corola...  Karena sama2 CORO!!",https://twitter.com/GiovanniFMandal/status/1222488820605603840
1580297134000.0,2020-01-29 18:25:34,1101571504460840960,difzein,Dif Zein,"Viral Virus Corona Menyebar Lewat HP Xiaomi, Ini Penjelasan IDI  https://t.co/YWBuO1u6Q1",https://twitter.com/difzein/status/1222480903726723077
1580295638000.0,2020-01-29 18:00:38,908262533131202561,Janahara_com,Janahara.com,"Waspada! Virus Corona Menyebar Lewat Hp Cina, Benarkah?  https://t.co/idu7t8HMc5  https://t.co/S3oCz7QvOl",https://twitter.com/Janahara_com/status/1222474629136179202
1580295635000.0,2020-01-29 18:00:35,830184202737889281,endonesia_id,Endonesia.id,"Waspada! Virus Corona Menyebar Lewat Hp Cina, Benarkah?  https://t.co/n26X13yKNP  https://t.co/ZTnv1LNaqj",https://twitter.com/endonesia_id/status/1222474614720344064
1580295576000.0,2020-01-29 17:59:36,1073072054767767552,bagerrrrrrr,bager,virus corona menyebar lewat hp xiomi,https://twitter.com/bagerrrrrrr/status/1222474366799081472
1580282876000.0,2020-01-29 14:27:56,163126674,RinaAnak_Bundaa,Rina Syafri,"Soal Virus Corona Menyebar lewat Hp Xiaomi, Ikatan Dokter Indonesia Ingatkan Hati-hati Barang Impor  https://t.co/zFBDU05aAI lewat @Repelita",https://twitter.com/RinaAnak_Bundaa/status/1222421101776490497
1580276886000.0,2020-01-29 12:48:06,1140215810230640640,apasihlex_,Woy.,"[wuhan jiayou] ""virus corona menyebar lewat hp cina""",https://twitter.com/apasihlex_/status/1222395975903391745
1580272587000.0,2020-01-29 11:36:27,64635651,serambinews,Serambi Indonesia,#VirusCorona  #Xiaomi #Kominfo  Akun Facebook Pineappel tampak mengunggah sebuah pesan bberantai di WhatsApp yang menyebutkan bahwa virus corona dapat menyebar lewat hp xiaomi. Bagaimana tanggapan Kominfo?  https://t.co/et0e4URLCU,https://twitter.com/serambinews/status/1222377945353744384
1580269553000.0,2020-01-29 10:45:53,262026799,MSNindonesia,MSNIndonesia,Viral Virus Corona Menyebar Lewat HP Xiaomi dan Penjelasan IDI  https://t.co/s8UpKjwhkP,https://twitter.com/MSNindonesia/status/1222365217692078081
1580268302000.0,2020-01-29 10:25:02,864608695,najibonel,6:00pm,virus corona menyebar lewat hp xiaomi,https://twitter.com/najibonel/status/1222359971012067328
1580263767000.0,2020-01-29 09:09:27,1216634267184164864,FinansialkuNews,Finansialku News,"Katanya virus corona bisa menyebar lewat Hp Xiaomi, Fakta atau Hoax ya? Daripada gagal paham yuk baca artikel ini #Corona  #coronarvirues #coronavirus    https://t.co/Hh8pd42wJs",https://twitter.com/FinansialkuNews/status/1222340952888463360
1580255821000.0,2020-01-29 06:57:01,1220455209169612800,ArisBudiSulist1,Aris Budi Sulistyo,Virus Corona menyebar lewat hp xiomi 😁,https://twitter.com/ArisBudiSulist1/status/1222307621681557504
1580255051000.0,2020-01-29 06:44:11,1039113883175120896,jundarpriyanto,Mr. J,"Virus corona dapat menyebar lewat HP Xiaomi (buatan china) melalui speaker.  Wtf dude.. Klo misalnya lugu akan teknologi, seenggaknya ngga bodoh2 amat lah. Yakali virus bisa berkembang biak dalam benda mati, dan gimana caranya virus menyebar lewat speaker😪",https://twitter.com/jundarpriyanto/status/1222304391983583232
1580217135000.0,2020-01-28 20:12:15,2150563345,arksaputra,Adi Saputra,Daro joke Virus Corona menyebar lewat hp Xiaomi jadi viral melalui pesan berantai WA,https://twitter.com/arksaputra/status/1222145363106099200
1580214583000.0,2020-01-28 19:29:43,1085366701514866688,rfldrkptr_,Rifaldi Raka Putra,Virus corona menyebar lewat hp xiaomi. Jika ada teman yg ngajak salaman dan dia make hape xiaomi segeralah cuci tangan.  Me : untung aing make redmi,https://twitter.com/rfldrkptr_/status/1222134657442934784
1580209696000.0,2020-01-28 18:08:16,790992674,fajrierza,anagata.,Corona Virus menyebar lewat hp xiaomi  #ChinaVirusSesungguhnya,https://twitter.com/fajrierza/status/1222114161527668736
1580207770000.0,2020-01-28 17:36:10,1131138896962580482,VerliaYoga,Yoga verlia putra,Virus corona Setelah di kabarkan menyebar lewat hp xiomi di kabarkan virus Corona juga menyebar melalui termos yang di pakai mama di dapur🥺,https://twitter.com/VerliaYoga/status/1222106081389731843
